WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
22217,1966,16.0,25.0,46.0,22.0,35.0,102.0,103.0,58.0,96.0,92.0,48.0,54.0
22217,1967,30.0,31.0,60.0,24.0,41.0,37.0,46.0,74.0,57.0,93.0,30.0,18.0
22217,1968,27.0,25.0,42.0,43.0,24.0,68.0,36.0,84.0,38.0,62.0,35.0,27.0
22217,1969,24.0,20.0,22.0,13.0,10.0,13.0,54.0,47.0,68.0,64.0,59.0,28.0
22217,1970,21.0,14.0,46.0,24.0,33.0,18.0,71.0,36.0,106.0,45.0,17.0,39.0
22217,1971,41.0,54.0,25.0,24.0,16.0,18.0,92.0,60.0,83.0,42.0,36.0,38.0
22217,1972,15.0,22.0,24.0,46.0,20.0,38.0,32.0,70.0,96.0,31.0,48.0,37.0
22217,1973,71.0,18.0,20.0,43.0,23.0,56.0,0.0,73.0,35.0,25.0,39.0,37.0
22217,1974,54.0,48.0,4.0,10.0,15.0,63.0,74.0,71.0,89.0,32.0,42.0,56.0
22217,1975,36.0,15.0,29.0,51.0,61.0,64.0,61.0,21.0,94.0,49.0,34.0,63.0
22217,1976,44.0,13.0,18.0,25.0,20.0,31.0,44.0,46.0,28.0,23.0,48.0,22.0
22217,1977,36.0,20.0,45.0,42.0,72.0,79.0,67.0,45.0,48.0,54.0,65.0,10.0
22217,1978,22.0,25.0,24.0,30.0,6.0,25.0,111.0,62.0,46.0,81.0,29.0,24.0
22217,1979,40.0,31.0,33.0,19.0,93.0,44.0,40.0,77.0,72.0,33.0,57.0,50.0
22217,1980,37.0,12.0,17.0,23.0,27.0,47.0,14.0,48.0,50.0,65.0,43.0,48.0
22217,1981,43.0,28.0,25.0,15.0,37.0,110.0,115.0,88.0,25.0,62.0,35.0,47.0
22217,1982,22.0,18.0,32.0,37.0,84.0,56.0,62.0,80.0,27.0,41.0,60.0,45.4
22217,1983,69.0,18.0,39.0,25.0,66.0,53.0,79.0,31.0,48.0,90.0,45.0,42.0
22217,1984,61.0,40.0,30.0,26.0,24.0,53.0,148.0,49.0,25.0,51.0,48.0,34.0
22217,1985,14.7,12.0,40.5,17.5,33.5,20.8,33.9,80.6,76.0,68.8,57.2,
22217,1986,23.5,8.3,21.5,32.3,71.3,24.3,60.2,38.8,59.3,49.8,53.6,19.2
22217,1987,6.2,38.7,39.1,9.2,39.4,27.3,92.3,61.2,62.9,17.9,23.1,
22217,1988,32.4,33.1,22.7,14.6,30.9,31.4,55.0,,49.5,42.4,25.5,16.5
22217,1989,58.2,,38.7,27.5,36.5,78.3,107.3,36.1,31.4,39.2,60.4,23.5
22217,1990,27.4,51.9,21.2,16.8,20.3,63.0,58.3,60.1,9.5,,37.7,37.9
22217,1991,30.8,10.5,29.5,5.9,46.2,68.8,,,,,,
22217,1992,24.7,39.5,39.3,17.5,28.4,53.8,95.9,95.8,95.6,8.6,53.2,40.5
22217,1993,29.8,12.3,38.0,31.0,24.7,72.9,57.1,44.8,16.9,41.2,6.6,57.6
22217,1994,48.1,15.9,24.4,37.6,43.4,62.2,95.9,39.8,47.4,44.0,29.7,45.8
22217,1995,24.6,46.9,16.8,25.4,48.8,40.1,58.3,73.9,28.6,132.3,66.7,12.2
22217,1996,9.0,25.5,9.9,26.7,59.3,43.4,82.9,36.5,21.8,52.2,106.4,32.4
22217,1997,42.1,39.5,63.4,31.4,34.9,40.3,64.2,46.6,83.0,17.8,23.2,14.7
22217,1998,,,,,,,,,,,,
22217,1999,43.6,37.4,43.4,10.7,18.8,49.0,96.9,58.6,48.3,92.8,32.7,45.2
22217,2000,87.4,39.6,34.6,57.8,37.6,60.6,59.0,33.0,51.5,53.0,59.8,54.4
22217,2001,20.9,41.5,16.5,50.1,33.0,13.9,65.2,18.1,20.3,57.2,31.9,8.5
22217,2002,38.2,65.7,21.6,17.8,28.1,46.6,151.9,56.7,46.0,24.0,27.2,14.4
22217,2003,52.8,18.3,23.4,9.4,72.2,12.8,53.5,55.6,35.6,72.4,39.2,64.0
22217,2004,36.3,45.9,25.2,41.7,37.0,48.4,64.4,66.2,110.0,28.7,37.2,53.9
22217,2005,63.1,15.0,12.6,34.5,74.0,25.8,102.8,68.4,103.7,48.5,69.1,54.5
22217,2006,43.3,17.6,11.3,44.7,74.6,48.0,43.0,21.0,71.5,58.4,51.9,57.4
22217,2007,58.7,14.3,57.8,39.7,64.5,42.4,88.6,85.6,61.0,48.7,46.4,39.8
22217,2008,49.0,26.3,30.6,25.6,33.1,96.3,68.9,98.4,34.2,55.2,64.3,45.5
22217,2009,24.4,27.7,19.6,9.0,38.5,68.2,98.2,105.3,72.7,42.0,41.9,37.1
22217,2010,7.2,59.1,34.1,19.3,97.5,73.2,45.2,71.2,64.9,52.5,10.8,20.4
22217,2011,48.3,17.1,28.9,15.0,67.9,23.5,94.5,59.5,44.4,63.0,37.0,55.6
22217,2012,37.4,40.7,29.2,28.1,46.7,64.9,71.5,22.2,90.5,77.8,52.8,47.9
22217,2013,44.7,27.1,17.4,32.3,25.3,77.5,64.1,37.5,26.2,74.9,41.3,48.2
22217,2014,29.9,39.4,33.5,15.6,23.7,43.9,101.4,104.4,79.5,36.5,27.4,49.8
22217,2015,45.6,23.1,38.5,45.5,38.9,110.2,113.8,55.8,59.0,32.2,61.8,61.2
22217,2016,38.7,71.1,12.7,37.9,17.1,71.3,78.1,119.0,64.2,18.8,55.2,44.8
22217,2017,26.9,17.2,46.8,24.8,22.8,46.4,57.3,177.9,44.5,66.7,51.4,84.4
22217,2018,62.3,11.3,16.4,29.4,34.6,86.7,30.2,45.7,53.0,23.9,29.0,32.7
22217,2019,47.4,65.2,49.3,5.5,59.4,76.1,77.7,30.8,27.9,58.3,72.3,82.1
22217,2020,51.1,52.1,42.5,40.9,33.7,34.3,92.6,57.2,42.5,69.3,70.2,36.2
