Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.577419,0.941379,0.345161,0.626667,0.8,1.05667,1.55484,1.22581,0.943333,1.05484,1.69333,0.403226
1902,0.674194,1.06897,0.616129,0.273333,0.825806,1.65667,2.48065,1.75484,2.24667,0.967742,0.876667,0.829032
1903,0.564516,1.32414,0.503226,1.09333,0.76129,1.73667,2.52903,1.58065,1.18333,1.40968,1.30667,0.63871
1904,0.487097,0.4,0.506452,0.9,1.07419,1.16667,1.40645,1.48065,0.906667,1.35161,1.05667,1.59032
1905,0.735484,1.33103,0.554839,0.89,1.17419,1.05,2.64839,1.31613,2.39,1.4129,1.2,0.909678
1906,0.970968,0.637931,0.745161,1.12333,1.37419,1.58667,1.77097,2.58065,0.573333,0.496774,1.0,0.729032
1907,0.570968,0.689655,0.43871,0.316667,0.529032,1.43,3.31935,1.74194,1.27667,1.26452,0.626667,0.574194
1908,0.709677,0.717241,0.193548,0.89,0.625806,1.77667,1.65484,0.787097,2.58,0.7,1.08,0.93871
1909,0.835484,0.548276,0.696774,0.256667,0.7,0.873333,2.25161,1.98065,1.56333,1.74516,0.796667,0.66129
1910,0.874194,0.344828,0.245161,1.34,0.464516,2.36333,3.26452,1.36774,1.13,0.445161,1.15,0.441935
1911,0.296774,0.32069,0.964516,0.703333,0.322581,2.41333,3.21613,1.79355,0.856667,1.28387,0.76,0.641935
1912,0.470968,0.744828,0.648387,0.376667,1.19355,2.02667,1.2,2.39677,2.4,0.396774,1.66333,0.480645
1913,0.483871,0.613793,0.483871,0.506667,0.616129,1.11333,0.912903,2.31613,1.0,1.52903,0.736667,0.73871
1914,1.2,0.644828,0.519355,0.73,1.25161,2.74333,1.25484,1.54194,1.67667,0.835484,0.953333,0.916129
1915,0.690323,0.710345,0.767742,0.573333,0.790323,1.62667,1.65806,1.1,1.34,0.522581,1.35667,0.264516
1916,0.667742,0.6,0.670968,0.223333,1.15484,1.80667,1.74516,1.39032,1.14667,0.451613,1.47667,0.803226
1917,0.380645,1.01034,0.406452,1.16,0.783871,1.62667,1.64516,1.69032,2.46,2.00323,1.63,0.451613
1918,0.609677,0.641379,0.506452,0.536667,0.63871,1.95667,0.748387,0.845161,1.76333,1.8871,0.846667,0.670968
1919,0.564516,0.634483,0.716129,1.05,0.141936,1.44667,0.822581,2.18064,2.44333,0.612903,0.99,0.358065
1920,0.625806,0.551724,0.729032,1.02667,1.15806,1.66,3.51613,2.32581,1.3,1.09677,0.606667,0.725806
1921,0.796774,0.658621,0.735484,0.833333,1.62903,3.02,2.10323,2.07419,2.94667,1.54194,0.766667,0.735484
1922,0.493548,0.565517,0.709677,0.973333,1.08065,1.84667,1.14839,2.15806,1.07333,1.6,1.17333,1.28387
1923,0.822581,0.641379,0.209677,0.483333,1.28387,1.98667,2.24516,0.945161,2.37333,1.68387,1.03667,0.716129
1924,0.703226,0.662069,0.741935,0.823333,0.741935,0.88,0.654839,1.00323,2.62667,0.990323,1.26333,0.851613
1925,0.825806,0.7,0.76129,0.736667,0.774194,1.78667,2.60645,1.57419,1.64667,0.822581,0.676667,0.83871
1926,0.432258,0.444828,1.07742,0.806667,0.590323,2.84667,0.825806,2.30968,1.40667,1.8,1.22667,0.76129
1927,1.02581,0.896552,0.512903,0.473333,0.977419,2.05667,1.99032,1.19032,1.52,1.00645,0.783333,0.687097
1928,0.422581,0.6,0.464516,0.6,1.06452,1.75,3.14516,1.09032,0.766667,1.32581,0.64,0.745161
1929,0.822581,0.444828,0.880645,0.62,1.00323,1.05667,1.57097,2.47097,0.87,1.99355,1.45,1.02258
1930,0.829032,0.644828,0.674194,0.663333,0.648387,0.67,1.42258,1.69677,1.1,1.29677,1.44667,0.245161
1931,0.567742,0.47931,1.06774,0.513333,1.63548,3.19667,1.49355,3.83871,0.8,1.34839,0.736667,1.04194
1932,1.0,0.768966,0.654839,0.99,1.64839,1.41667,4.16129,2.7871,3.78333,1.5,0.84,0.748387
1933,0.470968,0.672414,1.0871,0.776667,0.503226,0.733333,2.96129,0.709677,0.74,1.10968,0.793333,1.00323
1934,0.590323,0.948276,0.674194,0.876667,1.41935,2.58667,1.46774,1.72581,1.02,0.970968,1.20333,0.693548
1935,1.1129,1.32414,0.532258,1.16333,1.04194,1.97333,1.53548,1.85806,1.64333,1.26774,1.05,1.27742
1936,0.722581,0.655172,0.4,0.92,0.329032,1.44333,3.32258,2.14516,0.936667,1.8871,1.17667,1.05161
1937,0.367742,0.475862,0.8,0.36,0.719355,1.12667,0.83871,0.996774,2.28,0.783871,0.953333,0.374194
1938,0.8,1.01379,0.883871,0.79,0.793548,2.11667,3.21935,1.94516,2.25,0.83871,1.15333,0.335484
1939,0.383871,0.772414,0.335484,0.883333,1.27097,2.28,1.61935,1.26452,1.44667,0.445161,1.28,0.506452
1940,0.964516,0.572414,0.483871,0.63,0.209677,1.95,4.07097,2.77097,1.36,0.606452,0.743333,0.603226
1941,0.551613,0.57931,0.425806,0.3,0.158064,0.766667,1.75484,2.14516,1.25333,0.635484,0.17,0.458064
1942,0.358065,0.413793,0.677419,0.826667,1.19032,1.49,1.94516,1.80323,1.66,1.48065,0.816667,0.477419
1943,0.383871,1.04828,0.587097,0.606667,0.432258,0.483333,2.5129,3.7,1.51,1.29355,1.14667,0.774194
1944,0.854839,0.724138,1.0,0.49,0.883871,0.323333,1.45806,2.59355,0.686667,0.812903,1.13667,0.822581
1945,0.412903,0.803448,0.754839,0.6,0.8,1.34333,1.22903,1.66129,1.32667,0.867742,0.993333,0.445161
1946,0.390323,0.813793,0.258065,1.17667,0.348387,1.59667,2.17097,1.10645,1.53667,1.25484,0.79,0.551613
1947,0.445161,0.310345,0.63871,1.15,0.635484,1.31,2.22258,1.22581,1.79667,1.83548,1.20667,1.11613
1948,0.780645,0.382759,0.490323,0.846667,1.61935,3.38,1.27742,2.16774,2.17333,1.02581,1.84333,1.04194
1949,0.635484,0.958621,0.290323,1.48,1.5,1.33333,1.45161,1.44194,1.03333,2.14839,0.826667,0.741935
1950,0.267742,0.517241,0.648387,0.98,0.854839,1.05667,0.748387,0.790323,1.61,1.15806,0.57,0.751613
1951,0.412903,0.3,0.787097,1.34667,0.390323,2.23667,2.92581,2.20968,1.72667,1.23226,2.05333,1.26452
1952,0.906452,0.934483,0.551613,0.823333,0.451613,1.37,3.68387,1.86129,1.71667,0.158065,0.96,0.816129
1953,1.19677,0.97931,0.916129,1.26,1.44194,0.816667,2.13226,3.2871,1.44,0.735484,1.23667,0.454839
1954,0.990323,0.175862,0.690323,0.33,1.04516,2.18,2.9871,2.25161,2.58,1.49677,0.753333,1.05161
1955,0.806452,0.817241,0.809677,1.18667,0.935484,1.90333,2.77742,0.796774,1.84333,1.71613,1.11333,0.941935
1956,0.545161,0.637931,0.264516,0.223333,0.706452,2.21333,0.7,1.26452,1.59667,0.770968,0.65,0.777419
1957,1.01613,0.848276,0.354839,0.63,2.0,2.27667,1.84839,2.60968,1.52,1.31935,1.31667,0.6
1958,0.677419,1.35172,0.645161,0.693333,0.880645,1.88333,1.94839,0.909678,1.18,1.23871,0.79,0.732258
1959,1.25484,1.12414,0.564516,0.46,0.970968,1.13333,2.07742,3.18065,2.21667,1.0129,0.806667,0.722581
1960,1.00968,0.644828,0.570968,0.57,0.819355,1.63333,1.97419,2.18387,0.7,0.225806,0.626667,1.3
1961,1.1,0.882759,1.07097,0.763333,1.12258,2.87333,2.23871,2.64839,1.06667,1.79677,1.89333,1.56452
1962,1.13871,0.8,0.390323,0.966667,1.7,1.15,2.22903,1.48065,0.78,1.78065,0.883333,0.816129
1963,0.764516,0.893103,0.225806,0.286667,0.603226,1.51667,2.22258,1.82258,2.13,1.00323,1.51667,0.909678
1964,1.24516,0.465517,0.235484,0.773333,1.43871,2.15,2.55161,2.7,3.11,1.0129,0.643333,1.10968
1965,0.896774,1.18966,1.14194,0.326667,0.654839,2.45667,2.45484,3.07419,1.51,1.90968,1.28667,0.903226
1966,0.406452,0.703448,0.7,0.8,0.864516,1.38667,2.54839,2.30968,2.03667,2.26452,0.963333,0.267742
1967,0.922581,0.510345,1.20645,0.75,0.648387,1.83333,2.78065,1.53871,1.09333,3.80645,0.966667,0.790323
1968,0.496774,0.67931,0.590323,1.37333,0.703226,2.18667,1.04839,1.57742,0.726667,1.63548,0.836667,1.23548
1969,0.416129,0.172414,0.56129,0.28,0.496774,0.786667,2.03548,1.63226,1.26,1.20323,1.03667,0.419355
1970,0.609677,0.686207,0.503226,0.386667,0.270968,0.763333,2.89677,0.803226,3.15333,0.593548,0.656667,0.519355
1971,1.00968,0.482759,0.593548,1.04667,0.116129,0.566667,1.88065,3.10645,2.23667,0.948387,1.25333,0.745161
1972,0.151613,0.334483,1.23226,0.96,1.09677,1.06,2.63548,0.858065,2.13,1.48387,0.796667,0.916129
1973,1.13548,0.503448,0.651613,0.866667,0.606452,2.57,0.732258,1.2,0.833333,0.764516,2.53,0.990323
1974,0.519355,1.66552,0.167742,0.363333,0.332258,2.61333,2.99355,3.63871,2.63,0.629032,0.653333,0.841936
1975,1.01613,0.734483,0.490323,0.3,2.20645,1.77667,2.59355,1.9,1.73333,1.62581,0.583333,1.2871
1976,0.754839,0.468966,0.380645,0.273333,0.358065,1.62,2.32903,1.36129,1.53667,0.703226,1.48333,0.329032
1977,1.39355,0.558621,1.10645,1.09667,0.719355,3.37333,2.22258,0.545161,1.46333,1.45806,1.15667,0.551613
