Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,,,,,,,,19.8,57.9,8.1,50.3,35.6
1949,30.0,11.9,59.9,44.7,27.4,82.6,93.7,78.5,60.2,68.6,39.1,63.5
1950,42.7,6.9,77.0,35.1,17.5,159.3,167.6,64.8,53.3,150.4,151.6,25.4
1951,15.2,28.2,31.2,13.5,25.7,69.1,112.8,53.6,110.5,113.5,91.9,19.8
1952,66.3,93.0,62.2,43.4,15.0,58.9,71.4,122.7,80.3,66.5,42.2,23.6
1953,22.9,72.1,21.1,30.2,29.2,53.1,32.5,43.9,92.7,42.9,45.5,36.3
1954,31.8,52.1,62.7,59.2,47.2,38.6,79.5,142.2,46.0,87.9,67.3,51.6
1955,63.5,17.5,40.6,11.9,50.8,63.8,58.9,76.2,55.9,50.3,68.6,32.8
1956,81.5,56.9,15.2,39.4,44.7,74.9,90.2,102.6,131.1,124.2,38.6,35.6
1957,9.1,22.4,65.8,34.0,30.0,109.5,98.8,111.3,91.7,34.3,44.7,84.8
1958,88.4,34.0,28.2,48.3,96.5,142.2,59.7,142.0,68.6,40.6,41.7,27.4
1959,87.4,15.2,25.4,67.1,72.6,113.8,111.5,95.0,71.1,99.3,116.3,28.7
1960,17.3,84.1,6.6,63.8,26.4,118.9,126.0,111.0,123.4,71.6,45.2,45.2
1961,24.4,5.6,16.3,8.4,76.2,83.6,63.2,43.7,110.2,50.5,74.4,65.5
1962,60.2,8.9,16.8,12.2,49.0,37.8,57.9,86.4,86.9,34.8,25.7,40.9
1963,35.3,29.7,43.2,48.3,39.6,36.1,67.1,73.7,67.8,53.3,77.5,16.3
1964,46.2,14.7,55.6,13.2,51.8,83.8,84.1,128.3,66.0,52.3,64.5,56.6
1965,38.6,52.6,14.7,20.1,49.3,116.1,123.4,166.6,83.1,55.1,79.2,35.8
1966,22.1,29.7,50.3,31.2,51.8,85.1,143.8,155.7,82.3,101.6,89.9,38.1
1967,20.3,25.4,19.6,23.9,38.4,25.9,111.3,117.9,85.9,71.4,83.8,50.8
1968,19.3,58.7,24.9,72.1,20.6,63.5,85.6,88.4,135.6,115.6,22.9,71.6
1969,33.8,44.2,30.5,19.3,50.8,75.7,84.1,82.0,90.4,70.6,64.3,117.1
1970,46.5,41.9,42.9,25.1,73.7,43.9,26.9,120.4,51.6,50.0,39.1,55.9
1971,35.8,32.5,31.2,54.1,87.1,90.2,114.6,84.8,68.6,106.9,123.4,26.2
1972,48.8,32.0,62.5,19.8,22.1,52.8,82.6,60.5,94.7,58.4,61.7,28.7
1973,39.6,36.6,44.5,87.4,17.0,46.7,115.3,70.4,52.1,88.4,75.2,106.9
1974,31.5,71.4,45.2,21.1,50.3,54.1,77.2,53.3,97.5,99.3,36.8,70.1
