WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
24507,1977,76,75,73,61,58,59,63,76,73,75,,76
24507,1978,76,75,66,67,59,64,55,74,79,78,81.0,79
24507,1979,71,73,74,60,64,60,61,71,73,75,76.0,75
24507,1980,73,75,69,65,57,52,74,77,81,80,76.0,77
24507,1981,81,77,68,67,61,60,68,64,73,80,79.0,75
24507,1982,74,80,72,67,57,58,66,73,72,77,77.0,81
24507,1983,82,81,76,67,62,57,64,70,76,80,81.0,83
24507,1984,83,81,76,65,62,55,58,68,69,77,75.0,72
24507,1985,73,72,67,60,56,54,64,75,75,83,80.0,75
24507,1986,75,71,69,60,54,52,73,76,78,77,83.0,79
24507,1987,74,78,68,61,55,60,67,71,66,79,76.0,77
24507,1988,79,77,72,65,56,62,66,73,73,75,81.0,82
24507,1989,79,80,75,59,62,60,62,77,77,79,80.0,78
24507,1990,75,77,74,61,64,55,58,72,79,76,75.0,71
24507,1991,73,74,70,61,59,64,66,80,78,75,81.0,75
24507,1992,77,74,69,61,57,61,61,67,80,76,74.0,75
24507,1993,78,75,72,55,59,52,64,74,77,75,80.0,79
24507,1994,75,75,72,58,57,56,56,64,72,72,78.0,73
24507,1995,76,78,71,60,55,62,60,69,77,78,81.0,79
24507,1996,76,72,70,67,57,56,66,81,75,80,78.0,76
24507,1997,78,79,71,59,64,59,69,83,77,81,77.0,77
24507,1998,77,78,73,68,66,66,65,76,80,84,78.0,80
24507,1999,82,84,73,70,59,62,64,72,70,80,74.0,77
24507,2000,72,75,70,63,54,61,75,76,75,75,80.0,78
24507,2001,78,78,73,62,61,62,70,80,78,76,76.0,76
24507,2002,77,71,69,63,57,58,69,74,74,78,78.0,73
24507,2003,74,74,65,63,56,54,62,76,74,72,78.0,76
24507,2004,78,79,71,68,57,55,72,74,75,80,78.0,77
24507,2005,81,75,63,60,52,60,64,76,80,81,81.0,78
24507,2006,76,76,73,68,61,54,53,64,69,78,78.0,80
24507,2007,79,72,70,62,61,58,65,75,71,77,77.0,80
24507,2008,78,71,67,59,51,58,75,78,71,80,79.0,76
24507,2009,78,72,64,59,57,61,62,67,78,82,78.0,78
24507,2010,77,77,72,64,51,65,64,76,73,75,77.0,70
24507,2011,72,71,67,69,56,61,71,78,71,77,81.0,81
24507,2012,77,76,72,64,60,61,62,68,79,82,80.0,76
24507,2013,78,77,69,63,59,65,61,76,79,78,79.0,81
24507,2014,72,73,70,64,60,63,66,74,73,81,77.0,80
24507,2015,74,76,72,67,57,59,62,77,71,81,74.0,75
24507,2016,73,73,66,59,53,46,61,73,70,81,79.0,78
24507,2017,77,77,73,64,59,55,64,76,77,77,78.0,75
24507,2018,73,75,71,63,54,56,65,77,70,80,76.0,77
24507,2019,80,79,73,63,62,57,66,68,74,79,70.0,74
24507,2020,77,77,68,54,55,65,71,66,78,79,80.0,75
