Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,84.0,83.0,86.0,85.0,79.0,75.0,82.0,82.0,88.0,85.0,89.0,88.0
1967,83.0,85.0,87.0,83.0,88.0,79.0,82.0,83.0,91.0,92.0,86.0,81.0
1968,83.0,85.0,84.0,83.0,83.0,72.0,82.0,83.0,83.0,89.0,83.0,80.0
1969,80.0,76.0,78.0,77.0,86.0,73.0,73.0,84.0,90.0,88.0,80.0,82.0
1970,82.0,80.0,80.0,78.0,82.0,74.0,75.0,80.0,85.0,86.0,80.0,82.0
1971,80.0,82.0,82.0,80.0,74.0,75.0,75.0,74.0,75.0,86.0,83.0,82.0
1972,79.0,80.0,79.0,70.0,83.0,70.0,70.0,80.0,82.0,89.0,81.0,77.0
1973,73.0,76.0,76.0,79.0,77.0,73.0,77.0,88.0,85.0,88.0,82.0,79.0
1974,78.0,76.0,81.0,78.0,80.0,71.0,76.0,87.0,87.0,87.0,80.0,76.0
1975,77.0,77.0,74.0,79.0,81.0,79.0,79.0,81.0,83.0,87.0,81.0,81.0
1976,76.0,69.0,74.0,81.0,86.0,72.0,76.0,81.0,88.0,86.0,85.0,82.0
1977,86.0,84.0,84.0,80.0,81.0,78.0,80.0,88.0,84.0,87.0,86.0,85.0
1978,85.0,85.0,84.0,84.0,87.0,83.0,81.0,80.0,82.0,91.0,84.0,78.0
1979,75.0,75.0,81.0,80.0,83.0,80.0,79.0,87.0,86.0,89.0,83.0,80.0
1980,81.0,80.0,85.0,82.0,89.0,71.0,79.0,80.0,83.0,90.0,85.0,85.0
1981,83.0,83.0,85.0,82.0,79.0,78.0,76.0,79.0,88.0,94.0,86.0,80.0
1982,77.0,80.0,79.0,79.0,85.0,83.0,74.0,80.0,84.0,92.0,88.0,85.0
1983,82.0,83.0,82.0,86.0,84.0,71.0,71.0,79.0,83.0,90.0,84.0,81.0
1984,81.0,77.0,78.0,80.0,85.0,87.0,82.0,89.0,89.0,93.0,93.0,81.0
1985,83.0,88.0,81.0,83.0,92.0,82.0,81.0,85.0,91.0,86.0,87.0,82.0
1986,78.0,81.0,75.0,80.0,85.0,73.0,75.0,77.0,84.0,90.0,89.0,85.0
1987,87.0,89.0,89.0,89.0,92.0,79.0,70.0,81.0,89.0,90.0,82.0,82.0
1988,82.0,82.0,81.0,78.0,88.0,77.0,76.0,87.0,79.0,87.0,85.0,83.0
1989,81.0,82.0,86.0,80.0,83.0,76.0,75.0,79.0,91.0,87.0,83.0,80.0
1990,77.0,77.0,78.0,79.0,69.0,72.0,78.0,83.0,86.0,83.0,79.0,79.0
1991,81.0,80.0,81.0,79.0,84.0,83.0,66.0,81.0,88.0,86.0,86.0,83.0
1992,79.0,82.0,82.0,88.0,86.0,77.0,78.0,87.0,87.0,88.0,88.0,84.0
1993,83.0,84.0,82.0,83.0,86.0,76.0,80.0,87.0,83.0,89.0,82.0,82.0
1994,82.0,84.0,81.0,81.0,82.0,72.0,71.0,86.0,86.0,91.0,85.0,83.0
1995,79.0,84.0,86.0,89.0,84.0,72.0,77.0,77.0,88.0,88.0,88.0,86.0
1996,86.0,88.0,86.0,88.0,88.0,86.0,83.0,82.0,91.0,88.0,81.0,74.0
1997,76.0,77.0,76.0,,76.0,78.0,69.0,81.0,92.0,90.0,86.0,81.0
1998,81.0,80.0,80.0,82.0,83.0,70.0,71.0,84.0,86.0,85.0,81.0,76.0
1999,77.0,76.0,76.0,77.0,74.0,66.0,78.0,78.0,84.0,88.0,81.0,79.0
2000,78.0,79.0,78.0,77.0,75.0,70.0,78.0,77.0,81.0,83.0,81.0,78.0
2001,74.0,71.0,71.0,72.0,80.0,70.0,66.0,80.0,88.0,85.0,79.0,73.0
2002,67.0,64.0,67.0,64.0,66.0,53.0,63.0,73.0,80.0,85.0,79.0,75.0
2003,73.0,73.0,71.0,72.0,77.0,78.0,73.0,79.0,89.0,90.0,81.0,74.0
2004,69.0,69.0,72.0,75.0,76.0,75.0,78.0,82.0,88.0,88.0,84.0,79.0
2005,75.0,75.0,78.0,76.0,77.0,72.0,74.0,86.0,89.0,89.0,84.0,81.0
2006,78.0,77.0,75.0,72.0,71.0,69.0,78.0,83.0,87.0,83.0,78.0,71.0
2007,71.0,71.0,74.0,76.0,75.0,73.0,79.0,83.0,88.0,89.0,85.0,77.0
2008,73.0,74.0,77.0,79.0,80.0,77.0,75.0,76.0,89.0,91.0,86.0,82.0
2009,82.0,80.0,83.0,81.0,91.0,74.0,81.0,83.0,85.0,92.0,84.0,81.0
2010,77.0,79.0,81.0,86.0,85.0,81.0,68.0,81.0,89.0,90.0,88.0,83.0
2011,81.0,79.0,83.0,78.0,82.0,76.0,76.0,86.0,89.0,91.0,83.0,79.0
2012,78.0,82.0,85.0,88.0,80.0,77.0,84.0,87.0,93.0,96.0,89.0,80.0
2013,76.0,73.0,75.0,76.0,80.0,72.0,74.0,79.0,93.0,94.0,90.0,88.0
2014,86.0,87.0,87.0,93.0,81.0,77.0,80.0,80.0,85.0,91.0,81.0,78.0
2015,82.0,84.0,80.0,83.0,87.0,73.0,77.0,84.0,84.0,87.0,80.0,72.0
2016,75.0,72.0,76.0,80.0,89.0,70.0,79.0,83.0,94.0,98.0,89.0,77.0
2017,74.0,75.0,79.0,78.0,94.0,87.0,79.0,80.0,87.0,84.0,83.0,75.0
2018,68.0,74.0,70.0,78.0,84.0,74.0,72.0,74.0,88.0,88.0,78.0,68.0
2019,66.0,66.0,75.0,78.0,82.0,59.0,77.0,70.0,79.0,86.0,78.0,71.0
