Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,81,79,74,64,70,66,71,77,77,76,79,81
1967,72,78,72,62,61,68,75,79,73,74,81,84
1968,81,78,70,63,51,63,69,73,79,72,77,74
1969,74,72,68,65,58,59,69,81,81,77,79,80
1970,73,73,65,61,55,63,70,78,73,82,72,78
1971,79,75,71,61,61,64,72,78,77,70,83,80
1972,75,75,71,62,62,66,72,82,82,80,83,80
1973,80,78,74,68,61,63,73,75,71,71,86,82
1974,77,77,73,67,64,59,71,81,83,80,77,79
1975,82,79,69,65,63,64,67,76,79,74,76,77
1976,78,74,70,59,61,63,74,80,79,76,86,82
1977,82,79,69,61,60,69,69,79,70,72,85,78
1978,77,72,68,60,62,63,66,80,74,76,78,78
1979,75,73,72,66,64,65,69,79,76,80,82,79
1980,80,78,69,65,62,66,77,80,80,81,81,83
1981,83,79,69,62,62,65,79,77,80,74,80,79
1982,73,77,70,63,59,65,71,76,73,76,81,80
1983,81,76,67,64,62,55,67,79,80,79,75,82
1984,83,78,76,64,68,62,71,74,74,76,81,76
1985,81,75,75,61,58,70,75,81,79,82,85,80
1986,82,73,76,63,63,67,75,85,77,76,86,79
1987,76,77,69,70,58,70,71,75,86,83,83,86
1988,85,81,74,66,62,71,73,82,78,75,78,80
1989,80,74,70,57,58,58,66,75,74,74,81,76
1990,77,77,66,53,57,71,73,79,80,79,78,82
1991,77,76,71,63,57,65,78,81,78,76,84,86
1992,86,82,74,61,58,68,72,79,83,65,82,84
1993,81,79,72,62,58,69,69,79,74,73,80,85
1994,82,78,72,67,58,65,69,75,71,74,78,80
1995,79,81,71,63,50,71,68,74,77,75,80,75
1996,77,77,70,62,56,59,66,78,76,81,81,79
1997,78,77,70,57,60,67,70,78,74,77,78,78
1998,79,73,66,66,59,69,67,76,80,82,80,83
1999,79,81,71,67,53,66,68,78,77,79,82,84
2000,80,81,77,62,68,66,70,76,75,80,73,74
2001,72,76,64,57,59,77,76,75,81,77,85,81
2002,83,76,71,61,59,67,75,77,75,78,81,75
2003,78,78,71,62,48,60,68,73,79,77,81,77
2004,80,81,66,66,60,66,73,73,82,77,80,80
2005,84,78,64,65,61,71,76,77,83,81,88,80
2006,77,76,75,64,60,62,74,79,72,76,77,82
2007,82,78,76,60,65,68,68,76,76,77,80,81
2008,78,77,67,58,54,66,76,80,84,82,83,82
2009,82,78,69,62,64,73,68,77,78,80,80,74
2010,73,72,69,63,59,67,77,78,78,81,81,77
2011,78,79,65,60,59,67,75,79,72,82,78,83
2012,79,79,74,60,58,60,71,77,81,85,84,77
2013,81,79,69,66,70,70,71,85,83,80,84,89
2014,84,80,76,60,67,64,75,82,77,82,83,85
2015,83,74,74,68,62,65,75,80,83,86,85,89
2016,85,89,76,64,56,64,78,78,75,83,84,84
2017,83,81,72,61,61,71,78,77,87,83,86,87
2018,83,88,77,65,65,66,71,77,83,75,84,82
2019,85,79,76,60,58,71,78,81,79,76,84,87
2020,87,86,76,52,69,73,80,82,83,83,84,82
