WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
36307,1972,73,69,75.0,67.0,40.0,51.0,61.0,53.0,49.0,69.0,72.0,67.0
36307,1973,66,66,72.0,55.0,44.0,52.0,61.0,75.0,54.0,55.0,78.0,77.0
36307,1974,74,71,77.0,60.0,38.0,47.0,49.0,49.0,56.0,60.0,74.0,75.0
36307,1975,75,75,80.0,67.0,41.0,42.0,45.0,51.0,55.0,53.0,70.0,76.0
36307,1976,76,76,76.0,53.0,44.0,46.0,61.0,56.0,49.0,56.0,73.0,74.0
36307,1977,69,71,73.0,54.0,44.0,42.0,55.0,47.0,49.0,51.0,,84.0
36307,1978,77,74,82.0,64.0,42.0,40.0,50.0,47.0,43.0,55.0,79.0,82.0
36307,1979,76,78,79.0,55.0,39.0,45.0,58.0,51.0,57.0,53.0,77.0,80.0
36307,1980,75,72,79.0,72.0,39.0,50.0,51.0,49.0,53.0,58.0,71.0,76.0
36307,1981,70,72,78.0,58.0,37.0,39.0,49.0,60.0,57.0,60.0,75.0,71.0
36307,1982,71,69,75.0,59.0,43.0,50.0,53.0,59.0,55.0,54.0,73.0,79.0
36307,1983,76,77,83.0,61.0,40.0,50.0,58.0,57.0,55.0,57.0,67.0,76.0
36307,1984,71,69,76.0,55.0,44.0,51.0,60.0,63.0,58.0,57.0,70.0,69.0
36307,1985,70,69,71.0,63.0,47.0,52.0,66.0,59.0,57.0,56.0,72.0,78.0
36307,1986,77,74,81.0,53.0,41.0,53.0,59.0,55.0,56.0,57.0,75.0,74.0
36307,1987,73,73,75.0,59.0,50.0,49.0,56.0,62.0,57.0,63.0,68.0,77.0
36307,1988,74,74,79.0,57.0,51.0,53.0,57.0,50.0,50.0,62.0,74.0,85.0
36307,1989,80,78,84.0,52.0,41.0,55.0,61.0,55.0,53.0,56.0,76.0,87.0
36307,1990,78,79,84.0,51.0,43.0,55.0,59.0,65.0,53.0,55.0,74.0,80.0
36307,1991,74,75,78.0,60.0,45.0,57.0,53.0,60.0,59.0,61.0,75.0,75.0
36307,1992,73,72,78.0,59.0,46.0,45.0,59.0,62.0,61.0,58.0,77.0,79.0
36307,1993,72,77,82.0,74.0,44.0,57.0,71.0,64.0,58.0,53.0,64.0,80.0
36307,1994,79,77,80.0,,47.0,,,,,,,
36307,1995,71,70,77.0,56.0,43.0,44.0,49.0,54.0,45.0,44.0,66.0,65.0
36307,1996,61,59,63.0,42.0,37.0,42.0,46.0,50.0,51.0,45.0,67.0,66.0
36307,1997,62,62,71.0,48.0,40.0,41.0,51.0,54.0,47.0,48.0,63.0,68.0
36307,1998,66,70,,,,43.0,,,,51.0,67.0,69.0
36307,1999,65,65,64.0,45.0,33.0,,,,46.0,56.0,66.0,72.0
36307,2000,66,66,72.0,46.0,40.0,45.0,,,42.0,53.0,70.0,73.0
36307,2001,70,68,73.0,53.0,43.0,41.0,,,47.0,43.0,73.0,71.0
36307,2002,72,71,75.0,41.0,38.0,42.0,,,41.0,54.0,73.0,67.0
36307,2003,67,67,72.0,62.0,45.0,44.0,55.0,64.0,60.0,52.0,70.0,72.0
36307,2004,68,71,70.0,56.0,43.0,48.0,47.0,54.0,53.0,48.0,72.0,79.0
36307,2005,69,69,77.0,53.0,44.0,49.0,50.0,62.0,54.0,53.0,76.0,72.0
36307,2006,73,76,75.0,57.0,44.0,47.0,61.0,54.0,48.0,58.0,80.0,82.0
36307,2007,76,77,77.0,46.0,46.0,47.0,50.0,47.0,51.0,52.0,83.0,80.0
36307,2008,72,74,80.0,53.0,43.0,47.0,53.0,54.0,61.0,62.0,80.0,81.0
36307,2009,76,77,82.0,62.0,42.0,53.0,61.0,53.0,54.0,64.0,75.0,78.0
36307,2010,73,71,72.0,66.0,48.0,45.0,49.0,52.0,48.0,56.0,74.0,72.0
36307,2011,70,71,74.0,56.0,37.0,49.0,56.0,47.0,43.0,50.0,74.0,80.0
36307,2012,74,73,79.0,59.0,37.0,42.0,44.0,56.0,43.0,53.0,74.0,78.0
36307,2013,72,74,75.0,48.0,36.0,46.0,49.0,61.0,53.0,57.0,72.0,77.0
36307,2014,70,67,78.0,59.0,42.0,41.0,42.0,44.0,38.0,48.0,61.0,72.0
36307,2015,71,70,71.0,48.0,38.0,40.0,43.0,40.0,52.0,45.0,81.0,82.0
36307,2016,70,72,83.0,71.0,40.0,45.0,49.0,62.0,53.0,68.0,78.0,79.0
36307,2017,74,74,81.0,48.0,36.0,38.0,45.0,52.0,57.0,55.0,74.0,74.0
36307,2018,66,69,74.0,45.0,39.0,38.0,61.0,54.0,54.0,55.0,71.0,69.0
36307,2019,64,67,77.0,43.0,36.0,46.0,56.0,55.0,51.0,46.0,69.0,76.0
36307,2020,68,73,76.0,55.0,35.0,49.0,54.0,66.0,55.0,66.0,80.0,73.0
