Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,80.0,73,71,57,58,60,79,79,75,77,74,81.0
1967,74.0,72,67,56,56,64,74,82,76,78,78,81.0
1968,80.0,73,61,54,51,70,78,80,76,75,76,81.0
1969,80.0,72,63,62,52,58,73,80,77,77,82,87.0
1970,83.0,76,72,62,55,66,73,79,80,70,75,83.0
1971,78.0,75,64,51,52,70,78,78,78,69,81,81.0
1972,79.0,71,63,59,55,60,78,77,76,75,79,83.0
1973,79.0,74,67,61,58,63,77,81,81,72,81,84.0
1974,83.0,72,68,59,57,62,75,80,81,73,77,85.0
1975,81.0,77,64,63,55,71,75,80,79,69,76,83.0
1976,83.0,76,70,57,59,61,76,77,82,74,83,82.0
1977,81.0,75,65,63,54,62,75,74,70,69,81,82.0
1978,81.0,72,62,57,54,63,72,78,69,74,77,83.0
1979,76.0,73,67,59,57,61,71,74,76,74,77,82.0
1980,83.0,77,67,59,57,64,70,78,80,76,80,87.0
1981,87.0,81,70,56,55,66,73,76,74,71,82,85.0
1982,,73,66,59,61,68,78,78,78,70,79,84.0
1983,83.0,78,66,57,56,67,82,78,77,74,77,86.0
1984,82.0,73,71,58,59,62,77,81,76,76,82,83.0
1985,83.0,80,66,62,51,78,77,82,77,80,79,86.0
1986,85.0,80,66,57,58,78,72,76,75,73,82,81.0
1987,80.0,73,64,58,59,68,72,82,82,73,77,83.0
1988,83.0,76,64,54,61,71,80,81,82,75,79,86.0
1989,86.0,77,69,57,55,67,78,80,72,69,79,81.0
1990,81.0,76,59,48,48,59,79,82,78,75,76,83.0
1991,83.0,75,66,57,56,67,77,78,82,74,79,84.0
1992,84.0,78,63,58,55,67,68,77,78,70,79,89.0
1993,85.0,76,67,54,53,62,68,76,78,69,80,86.0
1994,85.0,77,66,63,56,71,76,80,80,75,78,85.0
1995,81.0,78,64,62,59,66,65,75,78,71,76,84.0
1996,79.0,75,66,51,52,68,76,76,75,77,76,87.0
1997,84.0,77,68,55,53,65,72,76,77,76,79,85.0
1998,83.0,72,65,58,58,66,76,79,80,72,83,84.0
1999,78.0,74,66,57,51,62,75,76,72,69,81,86.0
2000,78.0,76,65,53,54,61,79,82,74,76,78,82.0
2001,76.0,73,65,55,57,67,77,80,78,77,76,86.0
2002,81.0,72,61,53,50,69,75,74,72,74,82,88.0
2003,83.0,74,62,49,48,59,69,80,78,71,81,89.0
2004,87.0,78,65,56,57,67,75,77,74,74,77,87.0
2005,86.0,77,62,56,54,69,70,77,72,70,79,83.0
2006,78.0,72,60,50,50,65,75,76,72,67,76,83.0
2007,84.0,74,62,49,54,65,73,76,74,67,79,88.0
2008,83.0,75,58,57,49,68,75,77,79,74,78,82.0
2009,84.0,73,61,54,56,68,71,77,77,70,81,85.0
2010,77.0,75,66,59,55,66,71,77,73,68,76,83.0
2011,84.0,75,63,50,53,61,72,76,68,71,78,86.0
2012,83.0,77,66,57,53,63,77,81,73,75,79,83.0
2013,82.0,73,59,50,55,67,71,71,75,73,76,85.0
2014,83.0,72,63,52,53,68,68,73,71,69,79,91.0
2015,86.0,76,63,51,53,60,68,68,74,65,80,84.0
2016,76.0,71,59,51,47,56,67,79,75,71,79,81.0
2017,76.0,73,59,52,54,60,68,72,72,70,73,82.0
2018,77.0,75,59,53,55,61,71,73,75,71,71,73.0
2019,70.0,60,64,46,44,67,74,77,74,63,73,78.0
2020,73.0,67,54,45,53,61,66,76,75,66,73,
