WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
22217,1966,80.0,81.0,78.0,78.0,73.0,74.0,71.0,82.0,86.0,89.0,89.0,87.0
22217,1967,86.0,87.0,82.0,70.0,65.0,58.0,71.0,80.0,81.0,88.0,90.0,82.0
22217,1968,81.0,79.0,78.0,72.0,63.0,68.0,71.0,80.0,81.0,86.0,88.0,89.0
22217,1969,88.0,85.0,80.0,74.0,69.0,65.0,71.0,78.0,84.0,89.0,92.0,93.0
22217,1970,91.0,87.0,87.0,75.0,71.0,63.0,78.0,78.0,86.0,86.0,88.0,90.0
22217,1971,88.0,87.0,83.0,79.0,74.0,72.0,76.0,89.0,90.0,94.0,93.0,92.0
22217,1972,91.0,91.0,85.0,83.0,77.0,74.0,69.0,76.0,84.0,84.0,89.0,83.0
22217,1973,79.0,81.0,77.0,77.0,67.0,67.0,63.0,73.0,79.0,83.0,84.0,80.0
22217,1974,81.0,83.0,76.0,64.0,62.0,71.0,77.0,79.0,83.0,84.0,84.0,86.0
22217,1975,83.0,80.0,81.0,75.0,70.0,66.0,73.0,72.0,79.0,81.0,85.0,85.0
22217,1976,86.0,83.0,83.0,72.0,72.0,69.0,74.0,80.0,82.0,89.0,91.0,91.0
22217,1977,90.0,93.0,84.0,78.0,73.0,75.0,78.0,79.0,83.0,88.0,93.0,87.0
22217,1978,86.0,81.0,84.0,74.0,64.0,68.0,78.0,84.0,86.0,84.0,86.0,83.0
22217,1979,83.0,80.0,85.0,75.0,75.0,72.0,75.0,82.0,87.0,85.0,92.0,88.0
22217,1980,85.0,84.0,85.0,83.0,69.0,68.0,65.0,75.0,87.0,90.0,87.0,90.0
22217,1981,91.0,89.0,82.0,75.0,73.0,79.0,,82.0,86.0,90.0,89.0,85.0
22217,1982,85.0,84.0,83.0,78.0,78.0,73.0,69.0,83.0,82.0,87.0,91.0,88.0
22217,1983,88.0,81.0,82.0,81.0,79.0,74.0,71.0,76.0,88.0,90.0,85.0,86.0
22217,1984,88.0,88.0,82.0,75.0,71.0,70.0,87.0,79.0,84.0,90.0,87.0,90.0
22217,1985,80.0,82.0,85.0,71.0,70.0,68.0,65.0,81.0,86.0,84.0,90.0,
22217,1986,87.0,84.0,82.0,74.0,78.0,70.0,71.0,75.0,87.0,87.0,90.0,82.0
22217,1987,82.0,82.0,85.0,70.0,70.0,71.0,71.0,79.0,87.0,80.0,84.0,
22217,1988,84.0,86.0,84.0,68.0,63.0,64.0,71.0,,86.0,80.0,85.0,85.0
22217,1989,86.0,,85.0,80.0,71.0,67.0,73.0,74.0,83.0,89.0,91.0,83.0
22217,1990,82.0,88.0,75.0,76.0,64.0,65.0,76.0,79.0,82.0,,85.0,87.0
22217,1991,82.0,85.0,80.0,73.0,74.0,73.0,,,,,,
22217,1992,85.0,87.0,83.0,73.0,68.0,66.0,79.0,82.0,90.0,85.0,87.0,86.0
22217,1993,85.0,82.0,84.0,74.0,71.0,77.0,74.0,78.0,78.0,82.0,88.0,88.0
22217,1994,86.0,81.0,81.0,77.0,71.0,69.0,70.0,77.0,82.0,83.0,87.0,90.0
22217,1995,84.0,89.0,77.0,76.0,73.0,70.0,73.0,78.0,84.0,88.0,87.0,83.0
22217,1996,87.0,83.0,80.0,73.0,69.0,71.0,75.0,78.0,82.0,86.0,90.0,85.0
22217,1997,83.0,82.0,79.0,75.0,79.0,66.0,73.0,77.0,87.0,85.0,87.0,86.0
22217,1998,,,,,,,,,,,,
22217,1999,84.0,85.0,84.0,75.0,70.0,70.0,76.0,78.0,83.0,89.0,88.0,88.0
22217,2000,88.0,88.0,80.0,78.0,70.0,69.0,72.0,78.0,82.0,89.0,93.0,89.0
22217,2001,87.0,79.0,79.0,78.0,69.0,63.0,74.0,77.0,87.0,86.0,89.0,88.0
22217,2002,87.0,85.0,81.0,78.0,69.0,66.0,78.0,78.0,83.0,85.0,87.0,83.0
22217,2003,83.0,84.0,76.0,70.0,71.0,65.0,73.0,79.0,82.0,87.0,92.0,85.0
22217,2004,88.0,85.0,76.0,76.0,74.0,67.0,73.0,81.0,85.0,86.0,88.0,91.0
22217,2005,88.0,84.0,78.0,75.0,73.0,66.0,74.0,81.0,84.0,86.0,92.0,90.0
22217,2006,89.0,85.0,79.0,81.0,73.0,65.0,74.0,81.0,83.0,89.0,92.0,88.0
22217,2007,89.0,81.0,85.0,73.0,71.0,71.0,82.0,81.0,85.0,88.0,90.0,89.0
22217,2008,91.0,88.0,80.0,70.0,74.0,72.0,74.0,81.0,82.0,89.0,90.0,90.0
22217,2009,84.0,84.0,81.0,69.0,72.0,68.0,77.0,78.0,81.0,87.0,91.0,84.0
22217,2010,80.0,80.0,72.0,74.0,70.0,65.0,75.0,79.0,86.0,86.0,88.0,88.0
22217,2011,89.0,82.0,75.0,75.0,72.0,67.0,73.0,79.0,83.0,91.0,89.0,92.0
22217,2012,88.0,86.0,81.0,78.0,67.0,73.0,77.0,79.0,86.0,90.0,92.0,85.0
22217,2013,90.0,88.0,79.0,76.0,69.0,71.0,71.0,75.0,83.0,88.0,92.0,90.0
22217,2014,85.0,89.0,77.0,65.0,66.0,68.0,68.0,78.0,80.0,84.0,91.0,89.0
22217,2015,84.0,81.0,76.0,73.0,69.0,70.0,76.0,79.0,84.0,87.0,90.0,90.0
22217,2016,82.0,91.0,80.0,74.0,64.0,69.0,72.0,80.0,82.0,91.0,94.0,93.0
22217,2017,88.0,85.0,81.0,68.0,66.0,75.0,75.0,86.0,89.0,92.0,95.0,95.0
22217,2018,93.0,89.0,81.0,74.0,63.0,69.0,66.0,78.0,84.0,92.0,92.0,93.0
22217,2019,89.0,88.0,83.0,69.0,71.0,70.0,75.0,83.0,85.0,91.0,94.0,94.0
22217,2020,89.0,89.0,77.0,71.0,64.0,61.0,73.0,82.0,89.0,96.0,94.0,93.0
