Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,84,81,85,82.0,79.0,72.0,76.0,82.0,88.0,84.0,90.0,82.0
1967,82,87,86,81.0,75.0,68.0,72.0,75.0,86.0,92.0,91.0,86.0
1968,84,86,90,84.0,80.0,78.0,80.0,83.0,87.0,85.0,83.0,85.0
1969,83,85,80,83.0,82.0,80.0,75.0,86.0,84.0,83.0,88.0,83.0
1970,77,83,82,79.0,81.0,72.0,72.0,80.0,85.0,88.0,86.0,82.0
1971,82,75,77,79.0,78.0,73.0,72.0,84.0,84.0,88.0,87.0,83.0
1972,81,83,80,79.0,83.0,72.0,67.0,83.0,83.0,88.0,78.0,83.0
1973,77,82,81,80.0,77.0,72.0,71.0,77.0,87.0,88.0,84.0,82.0
1974,79,77,83,82.0,79.0,64.0,68.0,77.0,88.0,88.0,84.0,88.0
1975,84,82,86,83.0,85.0,80.0,79.0,84.0,86.0,89.0,87.0,85.0
1976,82,84,80,81.0,81.0,70.0,68.0,78.0,86.0,89.0,89.0,87.0
1977,85,81,83,79.0,75.0,67.0,69.0,80.0,85.0,85.0,91.0,84.0
1978,84,81,83,77.0,82.0,78.0,75.0,82.0,81.0,86.0,89.0,80.0
1979,82,81,81,82.0,75.0,77.0,75.0,86.0,86.0,88.0,91.0,87.0
1980,82,86,83,82.0,76.0,70.0,75.0,81.0,86.0,86.0,89.0,88.0
1981,90,89,77,78.0,82.0,74.0,74.0,82.0,,88.0,91.0,88.0
1982,85,87,85,84.0,74.0,74.0,74.0,87.0,82.0,85.0,86.0,84.0
1983,84,85,87,81.0,80.0,74.0,74.0,86.0,89.0,89.0,88.0,86.0
1984,85,84,84,81.0,80.0,69.0,73.0,81.0,88.0,88.0,82.0,83.0
1985,76,74,82,78.0,81.0,70.0,71.0,81.0,84.0,88.0,84.0,84.0
1986,85,81,81,80.0,79.0,69.0,85.0,83.0,84.0,88.0,86.0,75.0
1987,74,77,78,75.0,78.0,71.0,76.0,84.0,79.0,88.0,84.0,80.0
1988,80,80,82,78.0,84.0,69.0,75.0,76.0,86.0,87.0,83.0,82.0
1989,79,83,79,73.0,74.0,66.0,76.0,79.0,86.0,88.0,85.0,80.0
1990,76,82,80,78.0,75.0,68.0,69.0,83.0,87.0,86.0,80.0,82.0
1991,78,80,75,78.0,70.0,72.0,82.0,81.0,85.0,90.0,86.0,85.0
1992,84,85,85,80.0,81.0,76.0,80.0,87.0,88.0,84.0,84.0,87.0
1993,85,86,86,84.0,82.0,62.0,68.0,86.0,89.0,88.0,84.0,85.0
1994,83,77,79,81.0,76.0,63.0,69.0,78.0,,85.0,82.0,84.0
1995,84,84,83,77.0,75.0,72.0,77.0,84.0,82.0,90.0,90.0,81.0
1996,86,80,79,77.0,76.0,76.0,80.0,85.0,78.0,89.0,85.0,82.0
1997,78,78,80,80.0,76.0,73.0,,83.0,79.0,90.0,87.0,84.0
1998,83,76,80,80.0,79.0,75.0,75.0,83.0,88.0,83.0,76.0,77.0
1999,71,75,74,77.0,80.0,76.0,76.0,86.0,86.0,90.0,84.0,92.0
2000,87,92,87,88.0,76.0,70.0,67.0,88.0,86.0,94.0,89.0,83.0
2001,84,77,81,83.0,80.0,73.0,79.0,80.0,83.0,86.0,81.0,80.0
2002,75,80,82,78.0,81.0,73.0,78.0,88.0,84.0,90.0,84.0,78.0
2003,78,82,81,80.0,79.0,78.0,77.0,82.0,90.0,92.0,88.0,86.0
2004,84,85,80,81.0,81.0,78.0,67.0,84.0,86.0,94.0,92.0,87.0
2005,89,85,83,86.0,76.0,70.0,79.0,77.0,85.0,91.0,87.0,82.0
2006,74,73,79,77.0,75.0,70.0,83.0,84.0,83.0,89.0,84.0,86.0
2007,86,81,81,81.0,73.0,76.0,73.0,86.0,89.0,92.0,88.0,88.0
2008,85,82,78,75.0,77.0,71.0,72.0,83.0,90.0,93.0,89.0,90.0
2009,85,86,87,84.0,90.0,84.0,78.0,85.0,88.0,94.0,88.0,78.0
2010,80,77,83,81.0,79.0,87.0,83.0,83.0,89.0,95.0,88.0,85.0
2011,81,77,87,91.0,77.0,74.0,79.0,85.0,87.0,93.0,88.0,88.0
2012,83,79,79,82.0,79.0,76.0,81.0,85.0,87.0,91.0,90.0,87.0
2013,79,82,81,85.0,81.0,73.0,65.0,81.0,84.0,91.0,92.0,87.0
2014,79,78,88,84.0,86.0,81.0,84.0,85.0,91.0,90.0,90.0,84.0
2015,77,85,85,81.0,79.0,76.0,89.0,88.0,89.0,92.0,84.0,88.0
2016,81,90,82,,,,,,,,,
