WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
23219,1950,,,,,,,,156.0,104.0,32.0,16.0,0.0
23219,1951,3.0,64.0,165.0,158.0,125.0,213.0,236.0,143.0,69.0,18.0,18.0,0.0
23219,1952,10.0,93.0,224.0,230.0,306.0,342.0,318.0,114.0,77.0,26.0,20.0,0.0
23219,1953,9.0,56.0,155.0,207.0,259.0,356.0,231.0,236.0,100.0,27.0,29.0,0.0
23219,1954,1.0,50.0,103.0,186.0,224.0,180.0,352.0,152.0,91.0,43.0,25.0,0.0
23219,1955,4.0,53.0,232.0,221.0,202.0,169.0,284.0,103.0,119.0,36.0,18.0,0.0
23219,1956,8.0,103.0,106.0,328.0,217.0,259.0,205.0,200.0,34.0,56.0,27.0,0.0
23219,1957,0.0,34.0,200.0,174.0,156.0,212.0,367.0,283.0,71.0,49.0,16.0,0.0
23219,1958,5.0,25.0,189.0,235.0,215.0,251.0,278.0,178.0,73.0,13.0,0.0,0.0
23219,1959,0.0,42.0,115.0,204.0,153.0,335.0,265.0,170.0,60.0,55.0,11.0,0.0
23219,1960,0.0,32.0,205.0,238.0,319.0,292.0,,254.0,64.0,55.0,20.0,0.0
23219,1961,3.0,33.0,143.0,241.0,130.0,309.0,,239.0,78.0,43.0,21.0,1.0
23219,1962,8.0,33.0,140.0,192.0,207.0,245.0,358.0,129.0,88.0,66.0,7.0,0.0
23219,1963,8.0,60.0,240.0,200.0,188.0,215.0,280.0,146.0,61.0,28.0,28.0,0.0
23219,1964,3.0,67.0,162.0,318.0,258.0,246.0,344.0,187.0,96.0,22.0,14.0,0.0
23219,1965,9.0,40.0,123.0,244.0,215.0,263.0,237.0,175.0,76.0,57.0,36.0,0.0
23219,1966,,92.0,184.0,140.0,188.0,249.0,,,60.0,60.0,17.0,
23219,1967,7.0,25.0,79.0,110.0,191.0,272.0,294.0,279.0,92.0,38.0,4.0,
23219,1968,0.0,34.0,73.0,200.0,,115.0,113.0,157.0,85.0,63.0,1.0,
23219,1969,,60.0,127.0,179.0,187.0,161.0,274.0,93.0,121.0,102.0,5.0,
23219,1970,2.0,26.0,99.0,250.0,190.0,206.0,354.0,208.0,114.0,30.0,7.0,
23219,1971,0.0,83.0,133.0,213.0,201.0,246.0,328.0,91.0,62.0,52.0,13.0,
23219,1972,0.0,43.0,145.0,189.0,185.0,328.0,385.0,166.0,84.0,37.0,36.0,
23219,1973,22.0,38.0,143.0,171.0,261.0,320.0,310.0,270.0,77.0,33.0,14.0,
23219,1974,13.0,68.0,88.0,268.0,288.0,385.0,,,74.0,53.0,8.0,
23219,1975,0.0,52.0,102.0,195.0,144.0,175.0,200.0,132.0,,53.0,,0.0
23219,1976,0.0,41.0,,167.0,183.0,258.0,322.0,226.0,87.0,39.0,9.0,0.0
23219,1977,15.0,95.0,145.0,188.0,226.0,308.0,342.0,165.0,81.0,55.0,19.0,5.0
23219,1978,15.0,48.0,90.0,245.0,135.0,256.0,224.0,165.0,89.0,48.0,18.0,5.0
23219,1979,15.0,32.0,119.0,224.0,181.0,144.0,259.0,145.0,88.0,52.0,26.0,5.0
23219,1980,19.0,28.0,154.0,192.0,153.0,287.0,214.0,123.0,87.0,70.0,17.0,5.0
23219,1981,15.0,36.0,148.0,198.0,102.0,235.0,266.0,196.0,64.0,39.0,15.0,5.0
23219,1982,19.0,51.0,151.0,186.0,203.0,169.0,297.0,131.0,121.0,41.0,16.0,5.0
23219,1983,15.0,39.0,66.0,156.0,257.0,260.0,324.0,132.0,47.0,35.0,16.0,5.0
23219,1984,0.0,45.0,119.0,190.0,179.0,266.0,327.0,181.0,91.0,90.0,33.0,0.0
23219,1985,0.0,62.0,86.0,166.0,167.0,307.0,326.0,189.0,108.0,16.0,14.0,0.0
23219,1986,0.0,38.0,89.0,164.0,217.0,281.0,109.0,131.0,59.0,19.0,0.0,0.0
23219,1987,3.0,47.0,164.0,256.0,171.0,170.0,255.0,161.0,180.0,18.0,4.0,0.0
