WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29263,1956,37,124,192.0,195.0,332,284,325,223.0,,49,58,64.0
29263,1957,54,130,,183.0,157,329,309,190.0,136.0,48,49,22.0
29263,1958,53,124,168.0,269.0,268,265,360,244.0,134.0,43,21,17.0
29263,1959,45,82,149.0,163.0,249,303,218,161.0,148.0,62,42,16.0
29263,1960,22,53,152.0,175.0,330,280,208,210.0,96.0,64,24,52.0
29263,1961,49,66,221.0,208.0,257,294,307,212.0,126.0,66,57,25.0
29263,1962,21,77,145.0,237.0,265,250,300,245.0,160.0,96,41,20.0
29263,1963,53,88,173.0,167.0,224,253,283,209.0,144.0,60,40,16.0
29263,1964,19,125,180.0,268.0,276,291,361,306.0,222.0,58,43,33.0
29263,1965,56,124,165.0,273.0,252,289,282,249.0,102.0,85,77,21.0
29263,1966,51,79,163.0,239.0,174,276,329,222.0,201.0,49,43,28.0
29263,1967,46,83,125.0,264.0,252,249,310,200.0,106.0,103,85,
29263,1968,100,117,168.0,185.0,248,225,359,284.0,107.0,122,36,15.0
29263,1969,20,97,160.0,196.0,248,304,335,190.0,126.0,64,25,22.0
29263,1970,31,85,223.0,153.0,300,260,305,182.0,205.0,38,35,9.0
29263,1971,14,128,167.0,225.0,200,296,248,236.0,133.0,75,36,28.0
29263,1972,18,51,156.0,259.0,201,269,290,172.0,64.0,51,23,11.0
29263,1973,21,75,136.0,181.0,227,314,290,294.0,178.0,102,20,21.0
29263,1974,60,81,133.0,,174,289,282,227.0,120.0,85,59,4.0
29263,1975,21,76,139.0,209.0,238,282,350,205.0,139.0,68,48,10.0
29263,1976,47,63,206.0,241.0,254,344,261,,143.0,77,35,30.0
29263,1977,40,84,104.0,240.0,259,272,354,175.0,168.0,85,31,22.0
29263,1978,30,113,158.0,212.0,244,321,362,187.0,145.0,61,35,23.0
29263,1979,34,72,125.0,203.0,229,315,367,209.0,140.0,62,37,24.0
29263,1980,36,109,219.0,254.0,244,317,246,233.0,169.0,87,39,28.0
29263,1981,61,89,128.0,207.0,225,348,248,254.0,126.0,141,68,24.0
29263,1982,60,86,181.0,180.0,263,307,330,261.0,137.0,74,30,25.0
29263,1983,30,79,123.0,157.0,180,377,303,212.0,131.0,66,53,25.0
29263,1984,65,80,154.0,198.0,208,328,297,265.0,167.0,39,70,23.0
29263,1985,31,125,165.0,233.0,244,277,288,253.0,140.0,70,35,21.0
29263,1986,44,93,104.0,228.0,214,315,291,189.0,136.0,86,34,11.0
29263,1987,34,127,202.0,180.0,330,209,338,302.0,112.0,54,39,26.0
29263,1988,52,112,236.0,161.0,254,247,302,242.0,183.0,75,38,34.0
29263,1989,23,70,139.0,228.0,311,329,364,278.0,122.0,98,39,24.0
29263,1990,42,92,115.0,301.0,252,277,269,278.0,108.0,58,44,28.0
29263,1991,39,89,164.0,223.0,300,336,283,205.0,174.0,84,27,21.0
29263,1992,12,72,160.0,191.0,274,237,327,192.0,59.0,107,31,9.0
29263,1993,22,90,190.0,205.0,239,284,324,254.0,89.0,46,44,8.0
29263,1994,40,82,165.0,177.0,217,326,367,220.0,110.0,121,35,26.0
29263,1995,35,48,143.0,190.0,301,182,384,283.0,95.0,34,17,22.0
29263,1996,32,133,249.0,240.0,258,307,345,175.0,127.0,74,60,25.0
29263,1997,30,64,142.0,254.0,281,268,309,183.0,185.0,92,23,31.0
29263,1998,49,85,222.0,154.0,249,233,347,246.0,60.0,51,54,1.0
29263,1999,55,111,251.0,172.0,309,286,358,230.0,192.0,78,55,29.0
29263,2000,64,87,157.0,187.0,206,348,315,222.0,115.0,77,88,25.0
29263,2001,33,72,150.0,207.0,259,251,284,306.0,101.0,74,46,51.0
29263,2002,27,83,148.0,289.0,292,318,289,226.0,100.0,111,59,48.0
29263,2003,52,96,166.0,188.0,359,375,339,268.0,95.0,84,63,39.0
29263,2004,59,87,188.0,206.0,271,311,324,285.0,83.0,81,45,60.0
29263,2005,53,144,205.0,183.0,299,275,318,287.0,135.0,71,33,77.0
29263,2006,60,131,171.0,256.0,237,354,331,196.0,202.0,75,65,28.0
29263,2007,52,108,114.0,275.0,193,250,374,221.0,125.0,66,31,14.0
29263,2008,103,96,184.0,226.0,256,295,264,200.0,86.0,56,36,50.0
29263,2009,70,127,226.0,220.0,191,251,368,272.0,138.0,108,59,56.0
29263,2010,72,124,170.0,216.0,241,267,252,228.0,96.0,52,32,43.0
29263,2011,97,87,206.0,209.0,275,316,246,204.0,234.0,76,59,34.0
29263,2012,83,121,169.0,220.0,236,398,249,202.0,137.0,70,27,34.0
29263,2013,52,106,172.0,212.0,146,269,365,198.0,123.0,65,33,15.0
29263,2014,37,100,139.0,222.0,194,338,292,197.0,162.0,48,50,27.0
29263,2015,37,80,147.0,209.0,313,382,301,253.0,99.0,51,90,24.0
29263,2016,135,94,170.0,205.0,294,357,259,275.0,227.0,92,41,28.0
29263,2017,57,119,192.0,208.0,266,354,302,283.0,57.0,57,34,24.0
29263,2018,63,129,167.0,197.0,212,371,333,295.0,132.0,106,49,50.0
29263,2019,49,82,132.0,242.0,277,313,304,269.0,173.0,99,56,38.0
29263,2020,27,95,118.0,296.0,294,205,271,243.0,138.0,28,23,28.0
