WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29838,1959,,,,,,,311.0,261.0,225,59.0,50,43
29838,1960,,,,,,,231.0,,164,113.0,53,41
29838,1961,,,,,,,303.0,283.0,216,70.0,53,57
29838,1962,,,,,,,346.0,,190,113.0,57,43
29838,1963,,,,,,,,238.0,174,103.0,80,42
29838,1964,,,,,,,323.0,271.0,230,105.0,67,35
29838,1966,73.0,87.0,166.0,242.0,212.0,284.0,392.0,319.0,271,96.0,64,96
29838,1967,116.0,106.0,163.0,272.0,312.0,276.0,316.0,221.0,195,145.0,119,100
29838,1968,115.0,158.0,136.0,177.0,306.0,292.0,257.0,288.0,138,166.0,63,33
29838,1969,100.0,141.0,219.0,146.0,228.0,316.0,365.0,194.0,186,66.0,61,85
29838,1970,62.0,102.0,196.0,208.0,209.0,290.0,292.0,237.0,254,62.0,81,90
29838,1971,66.0,120.0,210.0,237.0,283.0,,343.0,270.0,265,177.0,90,73
29838,1972,81.0,83.0,,198.0,260.0,272.0,292.0,236.0,144,80.0,70,58
29838,1973,57.0,100.0,184.0,269.0,264.0,326.0,289.0,299.0,204,126.0,69,52
29838,1974,73.0,111.0,126.0,173.0,304.0,308.0,373.0,236.0,143,113.0,74,98
29838,1975,48.0,75.0,122.0,176.0,216.0,337.0,350.0,273.0,213,117.0,92,93
29838,1976,91.0,114.0,199.0,243.0,294.0,301.0,276.0,299.0,195,,98,50
29838,1977,110.0,103.0,143.0,286.0,298.0,331.0,349.0,217.0,193,77.0,93,65
29838,1978,68.0,109.0,155.0,170.0,288.0,305.0,314.0,243.0,238,119.0,72,75
29838,1979,82.0,94.0,202.0,227.0,257.0,294.0,331.0,279.0,230,118.0,74,67
29838,1980,105.0,186.0,258.0,260.0,357.0,303.0,282.0,247.0,215,126.0,61,61
29838,1981,82.0,124.0,157.0,238.0,280.0,409.0,332.0,306.0,174,130.0,108,74
29838,1982,89.0,107.0,193.0,223.0,281.0,362.0,300.0,260.0,201,61.0,39,54
29838,1983,42.0,73.0,144.0,209.0,256.0,352.0,344.0,285.0,121,139.0,58,41
29838,1984,55.0,128.0,175.0,198.0,284.0,326.0,274.0,279.0,189,94.0,75,59
29838,1985,85.0,130.0,168.0,138.0,276.0,286.0,305.0,278.0,215,71.0,60,54
29838,1986,73.0,149.0,154.0,238.0,213.0,296.0,336.0,254.0,216,110.0,86,60
29838,1987,51.0,77.0,203.0,203.0,276.0,286.0,352.0,307.0,147,71.0,85,43
29838,1988,71.0,134.0,227.0,256.0,247.0,349.0,321.0,277.0,218,141.0,77,65
29838,1989,47.0,109.0,206.0,157.0,305.0,299.0,322.0,302.0,217,146.0,80,52
29838,1990,54.0,77.0,169.0,307.0,294.0,344.0,286.0,259.0,188,145.0,81,48
29838,1991,72.0,100.0,194.0,258.0,292.0,342.0,327.0,262.0,200,144.0,93,47
