Year,January,February,March,April,May,June,July,August,September,October,November,December
1959,,,,,,,200,98,52,35,3,
1960,,,,,,,411,168,58,57,3,
1961,0,54,211,301,229,415,281,82,104,43,0,
1962,0,29,220,283,210,212,292,153,35,35,4,
1963,0,62,170,268,296,213,252,165,119,33,4,
1964,0,32,228,274,173,368,231,113,60,21,4,
1965,0,34,171,249,,340,,198,,30,4,
1966,0,19,184,304,,299,221,255,70,39,,
1967,0,49,163,279,184,337,226,171,70,15,,
1968,0,19,176,294,314,370,216,164,118,33,,
1969,0,45,248,255,,,373,177,42,50,5,
1970,0,51,202,286,257,308,339,148,72,68,,
1971,0,34,199,356,305,266,360,,,71,,
1972,0,44,181,285,225,,,,84,30,,
1973,0,11,219,213,,302,200,98,,73,,
1974,0,19,250,,307,300,,117,55,41,0,
1975,0,,177,242,,236,235,217,129,51,0,
1976,0,37,188,332,,389,271,169,75,73,,
1977,4,38,236,297,293,305,248,108,84,47,,
1978,4,69,168,311,278,262,220,,127,42,,
1979,4,47,174,277,255,309,200,116,95,69,14,
1980,4,46,172,291,325,315,229,220,128,54,9,
1981,4,44,175,238,283,185,273,233,84,47,13,
1982,4,47,193,280,315,237,367,214,122,54,10,
1983,4,31,203,253,261,360,273,,109,56,,
1984,4,54,194,257,229,156,217,89,92,35,9,
1985,0,26,141,289,318,334,239,167,42,52,3,
1986,0,19,194,336,234,259,248,270,62,35,2,
1987,0,55,195,306,144,242,374,163,81,60,12,
1988,0,11,213,340,309,353,324,102,141,69,2,
1989,0,40,193,364,295,244,268,229,76,36,5,
1990,0,41,162,231,347,285,196,166,58,57,4,
1991,0,45,164,247,247,167,564,197,84,76,1,
1992,0,32,190,199,181,187,291,96,83,42,0,
1993,0,19,128,304,357,344,258,161,107,55,1,
1994,0,24,204,351,377,341,325,96,116,36,0,
1995,0,44,140,284,312,338,262,283,109,52,11,
1996,0,12,153,348,240,209,242,228,53,66,2,
1997,,40,192,266,203,320,442,153,49,48,4,
1998,,21,164,268,351,327,346,108,46,58,,
1999,,22,194,351,252,311,237,224,55,36,2,
2000,,42,168,329,345,292,272,188,87,48,12,
2001,,23,225,285,157,377,440,142,76,28,14,
2002,,24,134,282,259,349,274,230,98,31,3,
2003,,58,202,282,295,167,342,209,34,53,,
2004,,44,191,246,313,284,239,219,62,31,15,
2005,,64,188,374,424,425,304,132,99,72,12,
2006,,62,189,311,329,335,211,43,94,77,13,
2007,,46,186,271,369,349,260,150,70,43,6,
2008,,77,194,310,223,275,301,356,89,70,,
2009,,33,209,288,198,242,221,213,103,27,2,
2010,,32,144,260,374,257,380,236,74,41,16,
2011,,35,103,244,251,390,308,144,79,27,3,
2012,,48,208,295,258,256,212,128,103,39,11,
2013,,66,192,290,243,290,271,189,57,79,6,
2014,,50,176,199,,,,,114,44,5,
2015,,41,227,,,,,,,,,
2016,,,,,,,,,,,,
2017,,27,175,255,,,,,,,,
