Year,January,February,March,April,May,June,July,August,September,October,November,December
1965,,,,256,351,292,467,233,78,23,0,
1966,0,58,211,298,336,317,200,242,92,70,6,
1967,0,46,210,255,201,299,189,203,77,61,5,
1968,0,31,210,282,225,341,183,171,92,37,7,
1969,0,70,274,223,262,338,283,105,49,55,4,
1970,0,52,177,311,246,249,315,108,88,61,8,
1971,0,77,192,346,304,267,307,218,124,42,13,
1972,0,65,228,262,266,321,234,196,91,28,0,
1973,0,39,278,225,360,294,292,127,67,90,1,
1974,0,40,254,320,214,249,249,172,88,78,7,
1975,0,54,192,245,395,333,255,206,114,68,6,
1976,0,48,146,272,279,293,202,197,92,88,0,
1977,0,35,213,244,277,265,257,117,61,49,2,
1978,0,58,157,294,321,246,192,238,101,40,2,
1979,,49,212,289,202,323,245,171,75,55,3,
1980,0,61,169,368,320,268,267,212,102,59,6,
1981,,72,194,221,254,173,274,271,88,78,3,
1982,,73,199,211,319,328,328,200,109,53,0,
1983,,34,203,260,277,304,236,258,81,58,4,
1984,0,52,202,206,263,144,232,142,96,36,4,
1985,0,33,102,263,280,312,215,94,49,55,4,
1986,0,34,195,308,226,280,274,199,77,53,9,
1987,0,60,170,321,237,291,262,109,137,89,4,
1988,0,28,186,258,331,351,317,139,130,53,0,
1989,0,47,199,299,337,184,234,183,87,14,0,
1990,0,3,104,224,274,324,191,236,63,23,0,
1991,0,12,143,267,281,176,473,166,95,32,1,
1992,0,10,127,238,209,227,246,132,60,26,0,
1993,0,26,105,318,329,343,227,208,52,,0,
1994,0,,181,353,262,299,344,137,143,,0,
