WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
24959,1959,,,,,,,,265.0,214.0,120.0,69.0,23.0
24959,1960,,,,,,,,282.0,101.0,106.0,58.0,16.0
24959,1961,,,,,,,314.0,283.0,176.0,68.0,67.0,24.0
24959,1962,,,,,,,351.0,332.0,209.0,112.0,,18.0
24959,1963,,,,,,,,262.0,156.0,111.0,55.0,16.0
24959,1964,,,,,,,,278.0,175.0,120.0,66.0,7.0
24959,1965,,,,,,,305.0,285.0,150.0,123.0,31.0,9.0
24959,1966,19.0,88.0,194.0,287.0,333.0,372.0,333.0,249.0,171.0,122.0,75.0,15.0
24959,1967,27.0,86.0,251.0,277.0,259.0,374.0,359.0,,174.0,100.0,70.0,5.0
24959,1968,20.0,141.0,235.0,245.0,335.0,367.0,361.0,324.0,114.0,100.0,63.0,11.0
24959,1969,23.0,97.0,239.0,281.0,345.0,313.0,331.0,275.0,126.0,70.0,42.0,0.0
24959,1970,12.0,89.0,237.0,208.0,266.0,227.0,401.0,238.0,176.0,,50.0,8.0
24959,1971,31.0,140.0,221.0,270.0,358.0,373.0,330.0,258.0,191.0,110.0,,25.0
24959,1972,7.0,120.0,254.0,218.0,288.0,364.0,263.0,264.0,172.0,100.0,48.0,1.0
24959,1973,,73.0,264.0,274.0,334.0,351.0,336.0,259.0,192.0,136.0,44.0,0.0
24959,1974,3.0,82.0,284.0,250.0,308.0,234.0,318.0,223.0,205.0,110.0,74.0,9.0
24959,1975,22.0,102.0,189.0,282.0,295.0,351.0,342.0,225.0,153.0,131.0,65.0,6.0
24959,1976,22.0,57.0,248.0,305.0,278.0,328.0,357.0,300.0,217.0,112.0,35.0,6.0
24959,1977,36.0,124.0,251.0,289.0,357.0,349.0,296.0,291.0,164.0,123.0,65.0,19.0
24959,1978,15.0,96.0,218.0,303.0,332.0,353.0,370.0,331.0,117.0,89.0,53.0,18.0
24959,1979,19.0,102.0,270.0,315.0,254.0,346.0,287.0,200.0,228.0,92.0,69.0,15.0
24959,1980,25.0,109.0,235.0,315.0,229.0,358.0,435.0,316.0,216.0,84.0,54.0,20.0
24959,1981,37.0,129.0,288.0,334.0,329.0,313.0,395.0,235.0,167.0,134.0,,22.0
24959,1982,25.0,98.0,245.0,258.0,308.0,287.0,352.0,210.0,143.0,99.0,67.0,16.0
24959,1983,35.0,70.0,239.0,242.0,339.0,312.0,391.0,298.0,153.0,98.0,55.0,18.0
