Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,0,23,89,326,240,230,280,241,111,35,0,
1962,0,26,155,220,297,342,368,257,68,33,0,
1963,0,7,132,235,295,335,236,169,67,28,0,
1964,0,14,78,274,171,170,260,161,121,41,0,
1965,0,17,168,260,,177,413,237,106,55,0,
1966,,3,217,268,200,223,340,146,69,,,
1967,,27,,,,,,165,92,,,
1968,,13,111,236,295,262,290,115,121,,,
1969,,20,144,,,187,409,236,57,53,1,
1970,0,30,135,,,247,260,175,75,59,,
1971,,25,145,322,,339,310,,62,18,,
1972,,7,161,159,328,425,286,164,98,41,,
1973,,15,164,300,304,213,282,187,,43,,
1974,0,15,122,278,297,151,281,210,110,31,0,
1975,0,14,145,258,246,322,367,,,43,0,
1976,0,3,142,256,283,264,268,196,97,48,0,
1977,,26,137,211,233,242,252,177,88,,7,
1978,,18,141,334,,268,,220,97,,7,
1979,,37,189,311,309,,,161,88,,,
1980,,41,154,288,250,234,263,207,81,35,,
1981,,33,172,223,,205,347,,122,57,6,
1982,,37,191,245,,244,312,249,82,,,
1983,,22,143,284,303,348,255,228,111,,7,
1984,,35,183,279,,337,,199,74,51,7,
1985,0,42,149,274,370,383,363,214,93,72,4,
1986,0,17,225,280,332,214,419,208,79,72,13,
1987,0,11,159,298,185,180,348,203,161,47,4,
1988,0,24,137,270,339,304,314,205,67,59,5,
1989,0,39,147,310,269,174,272,103,53,73,7,
1990,0,37,142,212,248,358,434,224,170,70,1,
1991,0,8,173,208,358,269,309,154,146,33,0,
1992,0,10,88,232,243,186,271,179,113,53,0,
1993,0,3,142,218,260,388,228,183,155,66,6,
1994,0,33,180,307,267,328,346,118,79,40,9,
1995,0,37,159,271,289,200,333,257,79,52,4,
1996,0,21,123,332,225,319,371,127,80,70,2,
1997,0,42,212,211,300,237,373,211,82,55,2,
1998,0,33,164,307,409,325,235,201,49,99,5,
1999,0,33,187,298,312,233,237,148,106,62,2,
2000,,59,209,295,276,184,406,389,70,50,,
2001,,70,240,297,395,442,337,337,56,67,,
2002,,28,158,201,293,389,292,159,59,69,,
2003,,24,162,193,190,389,266,211,114,39,6,
2004,,48,207,299,304,334,320,152,92,77,5,
2005,,42,182,304,229,344,311,116,147,36,9,
2006,,27,229,420,247,266,277,128,89,51,,
2007,,16,207,246,267,322,299,162,50,48,7,
2008,,46,179,253,297,293,278,148,154,21,,
2009,,32,136,281,256,202,282,148,115,58,6,
2010,,45,196,304,170,305,246,180,75,59,2,
2011,,52,100,267,361,189,232,200,121,55,4,
2012,,57,194,313,268,397,343,199,205,85,2,
2013,,58,229,350,309,359,451,168,84,67,1,
2014,,69,176,245,268,338,359,100,57,69,,
2015,,63,163,325,321,229,294,138,81,66,7,
2016,,55,210,272,308,346,384,199,94,32,,
2017,,58,142,252,414,286,357,157,101,39,1,
2018,,44,226,304,348,443,206,201,69,54,4,
2019,,41,163,258,395,357,362,241,107,38,8,
2020,,43,181,219,261,341,262,329,164,45,1,
