Year,January,February,March,April,May,June,July,August,September,October,November,December
1950,19.0,98.0,125.0,134.0,,,,,135,,,
1951,,,,,,,269.0,182.0,204,102.0,42.0,28.0
1952,59.0,102.0,174.0,157.0,219.0,251.0,225.0,231.0,156,73.0,54.0,36.0
1953,46.0,108.0,120.0,240.0,233.0,315.0,248.0,227.0,190,98.0,59.0,14.0
1954,55.0,86.0,145.0,191.0,185.0,200.0,217.0,248.0,162,90.0,40.0,49.0
1955,72.0,81.0,157.0,221.0,229.0,296.0,259.0,279.0,129,150.0,89.0,51.0
1956,55.0,120.0,203.0,155.0,229.0,211.0,262.0,237.0,155,79.0,76.0,38.0
1957,42.0,,192.0,132.0,183.0,263.0,253.0,190.0,196,95.0,44.0,20.0
1958,59.0,81.0,129.0,113.0,236.0,154.0,271.0,212.0,141,78.0,42.0,50.0
1959,67.0,117.0,142.0,154.0,159.0,249.0,248.0,217.0,235,65.0,41.0,11.0
1960,38.0,75.0,145.0,120.0,220.0,237.0,228.0,227.0,161,118.0,31.0,24.0
1961,40.0,43.0,173.0,150.0,222.0,198.0,238.0,230.0,173,76.0,39.0,40.0
1962,76.0,120.0,174.0,172.0,229.0,218.0,258.0,265.0,178,112.0,62.0,34.0
1963,61.0,64.0,114.0,167.0,189.0,187.0,224.0,201.0,173,93.0,57.0,37.0
1964,56.0,73.0,124.0,171.0,247.0,270.0,274.0,228.0,187,116.0,38.0,19.0
1965,15.0,66.0,211.0,198.0,187.0,203.0,210.0,200.0,131,118.0,59.0,43.0
1966,47.0,59.0,118.0,,137.0,247.0,308.0,274.0,229,85.0,45.0,45.0
1967,95.0,110.0,186.0,180.0,210.0,172.0,237.0,,158,118.0,82.0,61.0
1968,84.0,121.0,125.0,198.0,246.0,247.0,264.0,246.0,121,155.0,25.0,21.0
1969,59.0,93.0,172.0,142.0,161.0,236.0,278.0,179.0,114,113.0,54.0,17.0
1970,52.0,69.0,178.0,133.0,175.0,241.0,195.0,226.0,144,64.0,84.0,23.0
1991,53.0,109.0,167.0,229.0,274.0,263.0,287.0,259.0,194,106.0,42.0,28.0
1992,39.0,89.0,186.0,163.0,266.0,319.0,312.0,221.0,90,168.0,48.0,34.0
1993,41.0,123.0,213.0,261.0,213.0,266.0,330.0,256.0,163,135.0,58.0,33.0
1994,61.0,126.0,199.0,156.0,235.0,345.0,285.0,194.0,129,123.0,67.0,38.0
1995,73.0,98.0,170.0,211.0,240.0,218.0,317.0,241.0,173,117.0,69.0,55.0
1996,76.0,159.0,230.0,218.0,286.0,258.0,282.0,255.0,104,116.0,61.0,53.0
1997,40.0,72.0,200.0,262.0,290.0,253.0,250.0,210.0,258,151.0,71.0,47.0
1998,98.0,127.0,253.0,174.0,239.0,296.0,333.0,313.0,183,95.0,51.0,26.0
1999,50.0,113.0,215.0,186.0,298.0,305.0,330.0,237.0,203,114.0,80.0,47.0
2000,66.0,100.0,177.0,227.0,242.0,260.0,290.0,249.0,220,128.0,55.0,37.0
2001,56.0,99.0,130.0,220.0,285.0,298.0,285.0,307.0,173,122.0,69.0,43.0
2002,70.0,129.0,123.0,241.0,338.0,281.0,239.0,254.0,153,153.0,44.0,55.0
2003,77.0,121.0,204.0,215.0,277.0,313.0,270.0,252.0,185,107.0,60.0,51.0
2004,83.0,90.0,178.0,146.0,253.0,278.0,316.0,297.0,192,111.0,116.0,38.0
2005,54.0,124.0,197.0,171.0,279.0,276.0,319.0,257.0,176,110.0,34.0,49.0
2006,52.0,86.0,153.0,174.0,231.0,348.0,219.0,232.0,187,87.0,50.0,35.0
2007,73.0,83.0,193.0,240.0,193.0,266.0,301.0,244.0,209,120.0,70.0,43.0
2008,85.0,109.0,166.0,201.0,303.0,289.0,280.0,232.0,169,130.0,54.0,56.0
2009,66.0,119.0,196.0,210.0,265.0,283.0,273.0,219.0,171,101.0,77.0,50.0
2010,99.0,130.0,143.0,175.0,228.0,328.0,316.0,251.0,219,108.0,72.0,56.0
2011,85.0,107.0,231.0,261.0,303.0,314.0,256.0,266.0,248,167.0,99.0,35.0
2012,62.0,145.0,217.0,193.0,267.0,384.0,278.0,213.0,226,117.0,49.0,50.0
2013,54.0,83.0,169.0,216.0,192.0,261.0,289.0,223.0,179,119.0,62.0,37.0
2014,47.0,105.0,173.0,228.0,201.0,282.0,285.0,281.0,199,77.0,58.0,64.0
2015,71.0,125.0,156.0,203.0,295.0,341.0,339.0,291.0,163,106.0,76.0,30.0
2016,78.0,91.0,167.0,199.0,286.0,311.0,290.0,207.0,212,83.0,53.0,57.0
2017,73.0,88.0,247.0,210.0,238.0,367.0,252.0,223.0,107,107.0,68.0,41.0
2018,86.0,86.0,134.0,209.0,174.0,363.0,221.0,294.0,159,141.0,54.0,63.0
2019,60.0,150.0,193.0,210.0,260.0,247.0,197.0,237.0,178,136.0,47.0,33.0
2020,60.0,104.0,143.0,256.0,301.0,207.0,266.0,246.0,198,72.0,54.0,45.0
