WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
30433,1952,53.0,117.0,187.0,195.0,199.0,252.0,253.0,220.0,186.0,95.0,105.0,69.0
30433,1953,85.0,140.0,,252.0,250.0,314.0,275.0,183.0,173.0,82.0,85.0,42.0
30433,1954,87.0,128.0,188.0,188.0,219.0,291.0,225.0,240.0,194.0,129.0,90.0,93.0
30433,1955,75.0,130.0,195.0,213.0,173.0,237.0,244.0,257.0,123.0,126.0,74.0,62.0
30433,1956,67.0,154.0,215.0,187.0,244.0,277.0,244.0,223.0,215.0,99.0,135.0,111.0
30433,1957,69.0,165.0,199.0,173.0,216.0,218.0,255.0,145.0,93.0,80.0,68.0,46.0
30433,1958,93.0,132.0,153.0,235.0,223.0,278.0,283.0,250.0,200.0,111.0,55.0,62.0
30433,1959,82.0,150.0,173.0,209.0,157.0,232.0,238.0,171.0,230.0,131.0,48.0,49.0
30433,1960,108.0,82.0,209.0,152.0,247.0,196.0,223.0,178.0,104.0,104.0,54.0,52.0
30433,1961,25.0,102.0,193.0,178.0,224.0,176.0,280.0,218.0,169.0,140.0,87.0,81.0
30433,1962,90.0,112.0,182.0,196.0,225.0,232.0,250.0,228.0,160.0,154.0,84.0,35.0
30433,1963,104.0,133.0,203.0,165.0,212.0,225.0,256.0,274.0,179.0,110.0,94.0,72.0
30433,1964,98.0,200.0,194.0,221.0,261.0,235.0,205.0,280.0,174.0,117.0,74.0,52.0
30433,1965,81.0,144.0,198.0,261.0,249.0,267.0,272.0,216.0,157.0,156.0,85.0,60.0
30433,1966,91.0,,,256.0,,,200.0,,,,48.0,
30433,1967,91.0,111.0,151.0,234.0,268.0,,159.0,159.0,135.0,148.0,116.0,88.0
30433,1968,107.0,163.0,,204.0,268.0,246.0,237.0,211.0,162.0,155.0,,59.0
30433,1969,,97.0,195.0,,258.0,247.0,285.0,229.0,,160.0,75.0,56.0
30433,1970,72.0,125.0,228.0,,250.0,263.0,,242.0,,112.0,92.0,51.0
30433,1971,80.0,118.0,166.0,208.0,253.0,297.0,,189.0,156.0,122.0,55.0,
30433,1972,71.0,124.0,209.0,197.0,212.0,293.0,213.0,,166.0,123.0,,
30433,1973,90.0,134.0,205.0,188.0,,,,161.0,201.0,166.0,74.0,56.0
30433,1974,94.0,112.0,211.0,,237.0,264.0,256.0,244.0,125.0,111.0,99.0,60.0
30433,1975,88.0,,157.0,219.0,248.0,,,,180.0,169.0,65.0,91.0
30433,1976,108.0,102.0,207.0,258.0,219.0,271.0,272.0,,193.0,141.0,85.0,46.0
30433,1977,100.0,134.0,167.0,178.0,236.0,294.0,277.0,256.0,188.0,107.0,61.0,88.0
30433,1978,71.0,134.0,184.0,217.0,222.0,208.0,275.0,210.0,146.0,145.0,80.0,52.0
