Year,January,February,March,April,May,June,July,August,September,October,November,December
1952,3.0,76.0,,292.0,202.0,248.0,259.0,168.0,,82.0,17.0,0.0
1953,0.0,61.0,,254.0,237.0,297.0,275.0,211.0,108.0,44.0,,
1955,,,213.0,220.0,217.0,227.0,298.0,216.0,113.0,39.0,10.0,0.0
1956,0.0,98.0,208.0,257.0,290.0,304.0,244.0,169.0,124.0,47.0,,0.0
1957,0.0,87.0,138.0,220.0,152.0,264.0,234.0,214.0,72.0,45.0,16.0,0.0
1958,3.0,66.0,205.0,230.0,216.0,252.0,317.0,181.0,71.0,53.0,10.0,0.0
1959,1.0,55.0,90.0,240.0,231.0,297.0,132.0,146.0,97.0,47.0,17.0,0.0
1960,0.0,48.0,134.0,188.0,347.0,219.0,278.0,161.0,89.0,47.0,16.0,0.0
1961,2.0,46.0,161.0,205.0,280.0,214.0,197.0,111.0,98.0,69.0,25.0,0.0
1962,1.0,59.0,194.0,220.0,198.0,230.0,265.0,166.0,136.0,100.0,43.0,0.0
1963,20.0,53.0,169.0,217.0,192.0,190.0,285.0,200.0,63.0,44.0,41.0,1.0
1964,13.0,127.0,180.0,245.0,291.0,156.0,281.0,201.0,145.0,91.0,22.0,0.0
1965,15.0,89.0,184.0,259.0,224.0,208.0,291.0,191.0,100.0,53.0,31.0,0.0
1966,,62.0,188.0,244.0,266.0,258.0,286.0,248.0,100.0,94.0,31.0,0.0
1967,11.0,74.0,146.0,247.0,202.0,278.0,318.0,,53.0,48.0,64.0,1.0
1968,13.0,98.0,126.0,179.0,199.0,221.0,358.0,181.0,112.0,76.0,,
1969,2.0,56.0,174.0,195.0,301.0,211.0,340.0,148.0,99.0,,31.0,0.0
1970,0.0,65.0,238.0,146.0,236.0,242.0,362.0,142.0,115.0,78.0,23.0,0.0
1971,5.0,70.0,197.0,188.0,278.0,289.0,267.0,281.0,103.0,67.0,21.0,0.0
1972,4.0,32.0,,277.0,174.0,344.0,284.0,145.0,81.0,46.0,39.0,0.0
1973,4.0,80.0,188.0,237.0,232.0,247.0,258.0,259.0,126.0,95.0,22.0,0.0
1974,2.0,43.0,172.0,,187.0,289.0,178.0,138.0,138.0,84.0,32.0,0.0
1975,1.0,54.0,94.0,245.0,219.0,232.0,258.0,198.0,107.0,68.0,24.0,0.0
1976,0.0,30.0,207.0,,220.0,295.0,344.0,158.0,153.0,75.0,25.0,0.0
1977,,64.0,141.0,212.0,251.0,251.0,279.0,185.0,109.0,90.0,37.0,
1978,16.0,57.0,160.0,193.0,234.0,227.0,341.0,159.0,53.0,83.0,28.0,
1979,16.0,49.0,137.0,284.0,209.0,299.0,360.0,151.0,127.0,93.0,53.0,
1980,17.0,64.0,212.0,257.0,313.0,346.0,233.0,201.0,97.0,74.0,30.0,
1981,17.0,73.0,173.0,217.0,241.0,283.0,316.0,276.0,136.0,78.0,36.0,16.0
1982,22.0,63.0,189.0,178.0,234.0,303.0,278.0,166.0,113.0,108.0,23.0,16.0
1983,16.0,46.0,140.0,178.0,200.0,313.0,327.0,238.0,123.0,59.0,22.0,16.0
1984,16.0,38.0,208.0,238.0,251.0,322.0,248.0,205.0,143.0,58.0,29.0,16.0
1985,3.0,62.0,115.0,190.0,253.0,342.0,269.0,120.0,130.0,51.0,19.0,0.0
1986,7.0,57.0,152.0,184.0,339.0,344.0,194.0,175.0,86.0,59.0,21.0,0.0
1987,4.0,23.0,175.0,273.0,264.0,239.0,281.0,249.0,221.0,74.0,19.0,0.0
1988,0.0,70.0,190.0,213.0,286.0,204.0,258.0,176.0,99.0,75.0,14.0,0.0
1989,2.0,36.0,137.0,234.0,211.0,227.0,317.0,155.0,90.0,77.0,26.0,0.0
1990,1.0,58.0,101.0,264.0,210.0,304.0,360.0,232.0,57.0,55.0,44.0,0.0
1991,15.0,36.0,187.0,173.0,212.0,207.0,333.0,171.0,197.0,66.0,29.0,0.0
1992,0.0,61.0,138.0,231.0,250.0,207.0,343.0,233.0,59.0,64.0,18.0,0.0
1993,0.0,54.0,90.0,223.0,220.0,305.0,280.0,178.0,96.0,60.0,22.0,0.0
1994,1.0,28.0,147.0,186.0,193.0,214.0,296.0,199.0,56.0,89.0,32.0,0.0
1995,5.0,84.0,153.0,262.0,245.0,190.0,332.0,233.0,85.0,57.0,21.0,0.0
1996,3.0,81.0,203.0,219.0,253.0,247.0,326.0,111.0,79.0,76.0,51.0,0.0
1997,5.0,55.0,187.0,254.0,173.0,271.0,,117.0,100.0,67.0,28.0,
1998,,49.0,170.0,204.0,246.0,204.0,320.0,235.0,49.0,77.0,29.0,
1999,4.0,79.0,,215.0,252.0,211.0,366.0,175.0,126.0,72.0,25.0,
2000,10.0,114.0,228.0,202.0,292.0,270.0,191.0,206.0,80.0,73.0,27.0,
2001,4.0,74.0,180.0,191.0,222.0,286.0,292.0,189.0,91.0,64.0,25.0,
2002,12.0,69.0,159.0,230.0,259.0,319.0,246.0,158.0,77.0,48.0,41.0,
2003,9.0,80.0,146.0,218.0,295.0,349.0,262.0,184.0,119.0,69.0,30.0,
