WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29838,1838,-25.5,-17.5,-18.4,-3.0,9.6,16.0,21.1,15.8,5.3,3.8,-6.7,-14.8
29838,1839,-22.5,-15.3,-17.0,-0.1,7.6,16.7,20.0,13.8,9.4,-2.0,-14.1,-24.0
29838,1840,-18.2,-18.7,-12.0,3.6,14.1,18.6,20.3,18.4,8.1,-4.7,-14.5,-17.5
29838,1841,-22.0,-13.3,-13.8,-4.9,10.4,15.2,19.5,16.0,9.1,2.5,-12.0,-21.0
29838,1842,-16.7,-13.7,-6.6,4.5,9.9,15.5,17.6,14.3,10.3,2.1,-8.9,-13.1
29838,1843,-16.6,-13.1,-7.9,4.0,11.1,16.7,19.1,17.0,11.1,6.0,-9.7,-13.6
29838,1844,-16.0,-20.1,-5.8,-0.5,8.2,18.5,18.6,15.2,8.5,2.3,-8.4,-16.7
29838,1845,-16.8,-20.5,-10.0,3.1,11.2,18.6,19.8,16.5,9.7,2.7,-10.2,-20.7
29838,1846,-23.8,-10.2,-8.1,-5.1,11.8,19.6,19.6,16.2,11.0,-2.9,-9.1,-10.3
29838,1847,-15.1,-11.9,-10.9,2.3,11.2,16.1,18.3,15.8,7.5,2.2,-6.3,-20.4
29838,1848,-26.9,-17.8,-12.2,-1.0,8.8,17.1,20.4,17.6,9.3,1.4,-8.3,-14.5
29838,1849,-14.4,-17.5,-6.1,-0.5,7.6,16.7,18.3,16.5,7.9,3.4,-10.9,-16.3
29838,1850,-25.5,-18.7,-5.8,0.9,9.6,15.2,18.9,17.3,10.6,-3.3,-11.8,-11.8
29838,1851,-19.3,-16.0,-11.9,-5.5,7.5,16.1,19.9,17.8,7.8,1.8,-13.3,-12.1
29838,1852,-18.4,-21.8,-11.9,2.4,12.2,15.2,20.6,15.2,10.4,3.5,-11.7,-11.3
29838,1853,-24.8,-22.0,-11.0,-5.0,8.6,16.5,20.1,17.3,11.6,-0.3,-11.7,-14.5
29838,1854,-20.4,-14.8,-8.1,4.4,9.9,13.3,19.2,18.8,12.3,4.2,-9.8,-14.9
29838,1855,-21.9,-10.5,-9.7,4.7,10.8,18.0,17.9,17.9,10.5,2.9,-8.7,-16.0
