Year,January,February,March,April,May,June,July,August,September,October,November,December
1945,-32.7,-33.4,-10.0,6.5,16.0,18.5,19.7,17.1,10.9,,-17.2,-26.1
1946,-27.8,-20.0,-17.9,3.9,9.9,16.7,18.9,15.6,8.1,0.3,-13.4,-28.6
1947,-31.3,-25.8,-13.7,5.3,11.8,16.5,18.8,15.0,8.3,-0.3,-14.3,-28.8
1948,-30.6,-29.8,-15.9,4.7,9.8,15.6,19.6,15.0,8.8,-1.5,-20.2,-26.0
1949,-28.0,-22.2,-15.6,5.5,11.3,16.3,18.2,16.6,7.1,0.3,-14.0,-29.2
1950,-29.6,-31.2,-15.0,-4.0,12.9,17.4,19.9,16.0,10.2,-2.8,-17.9,-25.4
1951,-33.3,-26.8,-10.7,2.9,13.9,17.2,18.3,13.3,9.3,0.0,-14.8,-20.5
1952,-29.7,-30.8,-14.7,1.5,11.9,16.5,18.1,16.5,9.5,-1.0,-19.5,-26.0
1953,-30.2,-26.8,-13.8,2.5,12.2,18.6,19.2,15.0,10.5,-0.1,-16.9,-24.7
1954,-30.8,-26.8,-17.6,1.1,7.1,16.6,15.9,17.2,9.7,0.8,-11.7,-34.0
1955,-34.1,-23.1,-15.3,2.3,12.0,17.0,18.1,17.4,8.6,-1.7,-16.4,-26.7
1956,-35.9,-28.2,-18.5,2.2,11.7,15.1,19.1,16.3,8.6,0.2,-20.7,-32.9
1957,-34.5,-26.3,-15.6,2.7,10.3,18.6,17.2,14.3,9.2,-1.2,-13.1,-24.3
1958,-32.7,-21.8,-15.3,1.5,11.0,14.1,17.7,16.5,8.4,-0.6,-16.0,-22.7
1959,-29.5,-25.4,-11.0,3.1,10.7,16.6,18.5,16.6,11.4,-0.2,-18.3,-29.5
1960,-28.8,-22.9,-15.1,3.3,9.0,16.4,18.3,15.7,8.8,-2.6,-12.5,-26.6
1961,-28.6,-22.5,-15.2,6.7,11.0,14.0,18.5,14.9,8.9,-5.4,-13.6,-24.0
1962,-31.9,-24.4,-8.9,3.0,13.6,17.2,18.3,16.7,10.7,-0.6,-18.1,-23.7
1963,-29.6,-26.1,-10.0,-0.8,11.1,16.5,19.1,17.3,8.2,-0.3,-11.9,-26.1
1964,-30.1,-35.3,-14.6,1.6,11.7,18.9,19.3,16.4,9.3,-4.2,-16.3,-20.8
1965,-25.2,-26.1,-14.7,1.5,14.4,19.1,19.8,15.6,9.5,-0.8,-13.3,-21.6
1966,-23.0,-19.0,-8.3,2.9,11.4,18.3,18.6,17.8,12.6,0.4,-11.2,-29.7
1967,-30.9,-24.3,-8.0,4.4,13.9,15.1,17.7,13.8,7.7,1.4,-14.6,-26.0
1968,-30.4,-26.2,-3.3,2.8,12.1,17.6,19.0,15.1,6.4,-2.8,-16.6,-24.6
