Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,,-38.44,-29.480000000000008,-19.040000000000003,-2.964285714285714,11.396428571428572,13.93,7.4870967741935495,-1.457142857142857,-19.259999999999998,-29.628571428571426,-37.593333333333334
1961,-41.233333333333334,-38.214814814814815,-34.21923076923077,-21.553571428571434,-6.248387096774193,11.793103448275861,11.864516129032257,6.34,0.6821428571428572,-14.793548387096775,-26.225,-35.18518518518518
1962,-40.35652173913043,-40.065384615384616,-29.84333333333333,-16.162068965517243,-2.4266666666666667,6.126666666666666,10.24516129032258,7.196296296296294,-3.5533333333333332,-14.416666666666668,-28.413793103448278,-38.91851851851852
1963,-38.06666666666667,-37.65714285714285,-28.612903225806452,-18.069999999999997,-6.441935483870968,5.55357142857143,10.703225806451613,8.803333333333336,-1.2633333333333332,-17.062962962962963,-29.013333333333332,-34.50645161290322
1964,-42.88709677419355,-26.22758620689655,-29.31612903225807,-18.82,-5.332258064516129,11.355555555555556,9.261290322580646,7.024137931034482,-2.412,-17.048275862068966,-35.62,-36.830000000000005
1965,-40.21935483870968,-40.76428571428571,-32.53793103448276,-18.343333333333337,-3.5733333333333337,10.955172413793106,15.089655172413794,8.35483870967742,-0.021428571428571224,-13.606451612903227,,-40.20333333333333
1966,-43.52258064516129,-41.177777777777784,-32.15483870967742,-19.356,-0.30666666666666675,10.448275862068964,10.293548387096775,10.02258064516129,1.5892857142857142,-16.682758620689654,-26.07826086956522,-33.712500000000006
1967,-44.44444444444445,-37.71923076923077,-28.982758620689655,-19.556666666666665,-0.8533333333333334,8.145833333333334,10.570967741935485,6.451724137931035,1.6037037037037036,-12.633333333333333,-30.417241379310347,-39.08333333333333
1968,-34.34,-28.051999999999992,-27.69677419354839,-14.951724137931034,-3.360714285714286,9.303448275862069,10.55,8.334482758620691,1.2034482758620684,-13.938709677419357,-35.653571428571425,-39.77241379310345
1969,-34.67333333333334,-41.05185185185184,-34.24285714285714,-19.59333333333333,-2.3774193548387097,11.266666666666667,12.016129032258064,10.342857142857143,-0.37999999999999995,-16.50967741935484,-33.596666666666664,-34.835483870967735
1970,-38.18064516129032,-37.65714285714285,-29.135483870967743,-21.706896551724146,-2.873333333333333,9.225925925925926,14.080645161290322,5.96,1.8827586206896556,-15.048275862068964,-30.67666666666667,-34.36
1971,-44.72999999999999,-34.38928571428572,-27.064516129032263,-17.103448275862068,0.5193548387096775,7.8590909090909085,13.879310344827589,9.716129032258065,3.0068965517241377,-12.883870967741935,-30.213333333333335,-37.010714285714286
1972,-42.044444444444444,-38.36666666666667,-29.019354838709674,-16.323333333333334,-0.4225806451612902,5.283333333333333,11.448275862068968,5.9483870967741925,-0.6633333333333333,-9.841935483870966,-33.36,-38.161290322580655
1973,-35.961290322580645,-34.6,-33.016129032258064,-16.969999999999995,-1.8806451612903228,11.779310344827588,15.235483870967743,8.129032258064518,0.224137931034483,-14.523333333333335,-31.83333333333333,-36.12413793103449
1974,-39.35806451612902,-38.31071428571429,-29.96451612903226,-17.040000000000003,-2.4741935483870967,9.306666666666668,13.94516129032258,7.97741935483871,-1.03,-17.803225806451607,-32.97333333333333,-36.854838709677416
1975,-35.47096774193549,-36.214285714285715,-29.048387096774192,-15.766666666666664,-0.5870967741935481,9.86896551724138,9.496774193548386,8.551612903225806,-0.6379310344827587,-15.464516129032257,-26.25862068965517,-29.670967741935478
1976,-38.20645161290324,-37.737931034482756,-29.425806451612903,-14.446666666666665,-2.670967741935484,8.186666666666666,10.038709677419353,6.883870967741936,0.03103448275862052,-19.10967741935484,-34.760000000000005,-40.86896551724137
1977,-34.909677419354836,-39.003571428571426,-35.81612903225806,-15.66,-0.6709677419354839,10.206666666666667,12.470967741935485,7.116129032258065,-1.6066666666666667,-19.0,-34.88666666666667,-39.78064516129032
1978,-40.76451612903225,-37.278571428571425,-27.661290322580644,-17.080000000000002,-6.145161290322581,8.826666666666666,8.835483870967742,8.980645161290322,0.02666666666666663,-15.816129032258065,-27.309999999999995,-34.92580645161291
1979,-40.28709677419355,-40.12857142857142,-33.15806451612903,-20.039999999999996,-1.4387096774193548,7.8533333333333335,9.09032258064516,6.6322580645161295,-2.563333333333333,-18.74193548387097,,-35.38387096774194
1980,-35.70967741935485,-35.37241379310345,-29.996774193548386,-21.683333333333337,-1.8548387096774195,7.863333333333333,11.038709677419355,10.477419354838707,2.73,-14.54516129032258,-34.59666666666667,-34.84838709677419
1981,-31.387096774193544,-36.339285714285715,-28.403225806451616,-16.330000000000002,-1.9838709677419348,8.706666666666667,11.470967741935484,9.103225806451613,-0.9433333333333334,-17.816129032258065,-29.75,-33.1483870967742
1982,-41.42903225806452,-34.86785714285715,-32.938709677419354,-15.613333333333335,-7.893548387096775,7.47,13.129032258064516,7.725806451612902,1.8866666666666665,-16.903225806451612,-33.699999999999996,-36.62903225806453
1983,-38.32903225806452,-34.03214285714286,-30.022580645161288,-19.456666666666667,-0.503225806451613,9.610000000000001,12.038709677419357,10.577419354838707,1.8933333333333338,-15.035483870967742,-31.026666666666664,-36.380645161290325
1984,-33.41612903225806,-42.91724137931034,-31.909677419354843,-15.379999999999999,-1.8419354838709676,5.84,8.95806451612903,5.799999999999999,-2.6266666666666665,-13.751612903225805,-28.776666666666667,-38.65483870967742
1985,-36.70967741935484,-28.97142857142857,-27.912903225806453,-18.923333333333336,-4.132258064516129,8.606666666666667,12.361290322580647,6.041935483870966,1.8166666666666667,-17.21935483870968,-31.136666666666667,-30.493548387096777
1986,-39.593548387096774,-35.00000000000001,-29.503225806451614,-16.999999999999996,-2.8741935483870966,10.693333333333333,9.845161290322578,8.138709677419355,-0.22666666666666666,-12.16451612903226,-31.723333333333336,-36.02258064516129
1987,-39.89354838709678,-39.814285714285724,-31.529032258064515,-20.59,-6.829032258064517,8.776666666666667,13.929032258064515,8.758064516129032,-0.6633333333333333,-20.43225806451613,-34.166666666666664,-40.16129032258064
1988,-40.20967741935484,-33.08275862068965,-27.39032258064516,-15.256666666666664,-0.6967741935483869,10.833333333333334,15.235483870967743,6.251612903225807,3.0733333333333333,-14.051612903225807,-29.549999999999997,-32.9
1989,-36.91935483870968,-33.53928571428571,-26.658064516129034,-18.083333333333332,-1.7064516129032257,8.276666666666666,11.129032258064516,7.890322580645161,1.473333333333333,-18.306451612903224,-29.669999999999998,-33.00645161290323
1990,-38.39032258064517,-32.385714285714286,-20.203225806451613,-12.950000000000001,2.7677419354838704,10.05,8.66774193548387,9.112903225806454,-1.1700000000000002,-15.590322580645159,-30.62,-39.37096774193548
1991,-37.07096774193549,-38.14642857142858,-31.700000000000006,-14.97333333333333,-3.067741935483871,6.336666666666667,18.793548387096774,13.43548387096774,0.7099999999999997,-13.170967741935485,-26.483333333333334,-28.62580645161291
1992,-41.02903225806452,-36.57241379310344,-28.887096774193544,-17.723333333333336,-3.170967741935484,7.250000000000001,11.361290322580645,5.445161290322582,-1.1099999999999999,-16.73548387096774,-34.230000000000004,-36.035483870967745
1993,-35.309677419354834,-37.71071428571429,-28.448387096774198,-18.779999999999994,-0.9483870967741936,9.346666666666664,11.364516129032259,7.658064516129033,0.26666666666666666,-16.2258064516129,-31.583333333333332,-42.354838709677416
1994,-36.56774193548387,-30.31785714285714,-30.8483870967742,-19.893333333333334,2.3419354838709676,10.286666666666665,13.358064516129035,6.351612903225806,2.6333333333333337,-13.164516129032258,-28.34666666666667,-31.954838709677414
1995,-38.64193548387097,-28.582142857142856,-30.22580645161291,-18.839999999999996,-0.532258064516129,12.120000000000005,13.603225806451613,10.5,1.1466666666666663,-14.422580645161291,-26.540000000000003,-34.00645161290322
1996,-37.351612903225806,-30.079310344827583,-31.46451612903227,-16.549999999999997,-2.8967741935483873,4.693333333333333,9.048387096774196,8.412903225806453,-1.8200000000000003,-15.741935483870966,-30.60666666666667,-38.18064516129032
1997,-36.906451612903226,-33.285714285714285,-30.990322580645163,-14.730000000000002,-4.97741935483871,10.706666666666669,14.758064516129032,10.209677419354835,-0.8099999999999999,-12.7,-33.47,-42.632258064516115
1998,-35.57419354838709,-37.271428571428565,-31.55483870967742,-18.966666666666672,-3.6580645161290315,11.509999999999998,13.141935483870965,6.758064516129031,-0.4266666666666666,-18.270967741935483,-29.843333333333337,-40.89032258064517
1999,-37.73548387096775,-39.535714285714285,-34.63225806451614,-20.27333333333333,-2.8548387096774195,11.216666666666667,11.477419354838712,9.032258064516132,-0.8266666666666667,-16.429032258064513,-35.08,-34.06451612903225
2000,-34.58709677419355,-30.417241379310337,-30.712903225806453,-15.770000000000001,-0.6612903225806452,9.48666666666667,12.54516129032258,7.548387096774193,0.9366666666666669,-14.125806451612904,-35.02666666666667,-35.04838709677419
2001,-38.07096774193548,-37.33571428571429,-29.66774193548387,-17.70333333333333,0.3516129032258065,9.153333333333332,18.593548387096774,7.022580645161289,-2.673333333333333,-16.68387096774193,-29.759999999999998,-33.58064516129032
