Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-12.7,-12.2,-7.5,0.3,6.3,11.5,16.8,12.4,8.4,4.0,-6.8,-13.3
1902,-8.4,-10.7,-7.2,-1.6,3.5,9.4,9.5,8.6,5.0,-0.5,-5.6,-11.9
1903,-12.2,-6.1,-2.5,-1.2,5.4,9.5,11.7,9.7,7.5,-0.7,-4.8,-7.6
1904,-7.8,-12.8,-6.4,0.0,3.9,9.0,11.0,9.8,6.9,1.4,-7.4,-9.0
1905,-10.7,-8.7,-4.4,-2.1,4.7,12.9,12.2,10.2,6.3,-2.4,-5.3,-6.0
1906,-9.8,-9.1,-6.2,0.1,5.7,10.5,12.3,10.4,7.1,1.9,-3.0,-10.2
1907,-10.9,-9.1,-4.3,-0.2,3.6,10.4,10.9,8.0,5.7,4.3,-4.0,-10.5
1908,-8.8,-7.8,-7.0,-0.6,4.2,9.4,12.3,10.8,6.4,2.0,-6.5,-7.6
1909,-8.1,-10.9,-8.1,-1.9,2.6,9.4,11.3,9.2,6.1,3.8,-6.4,-9.4
1910,-11.1,-6.3,-3.6,0.3,6.7,11.0,12.2,11.7,7.1,1.3,-6.4,-7.1
1911,-9.4,-7.8,-5.3,-0.5,7.4,10.1,12.1,11.8,7.5,-0.6,-6.1,-6.1
1912,-12.3,-10.0,-3.6,-1.3,4.9,11.6,14.4,11.4,5.4,0.6,-5.1,-5.8
1913,-12.1,-7.1,-3.5,0.9,6.3,10.2,12.3,10.2,7.0,1.7,-2.0,-9.6
1914,-10.4,-5.5,-5.5,1.4,4.1,11.1,16.8,11.5,7.4,0.6,-5.9,-6.9
1915,-12.5,-8.7,-7.9,-0.9,2.9,8.1,11.4,10.7,5.2,-1.9,-6.6,-15.3
1916,-8.8,-9.3,-7.5,0.3,5.2,10.0,13.7,9.6,5.5,-0.2,-2.4,-8.6
1917,-15.4,-10.4,-8.8,-2.9,4.0,12.2,11.5,14.1,6.9,1.2,-4.1,-9.2
1918,-13.3,-8.5,-4.8,0.6,5.9,8.9,13.6,11.2,5.6,2.9,-2.8,-9.7
1919,-9.8,-11.3,-6.8,-1.4,7.7,9.4,13.3,8.5,6.8,0.0999999,-9.3,-12.1
1920,-9.9,-6.5,-1.9,1.0,6.7,10.1,12.9,9.8,7.2,1.3,-3.2,-8.7
1921,-9.6,-7.9,-2.2,2.5,5.8,7.6,10.8,9.2,5.9,1.8,-7.4,-7.1
1922,-13.4,-10.6,-5.8,-1.7,4.8,9.4,12.3,10.3,6.3,-0.1,-4.3,-6.4
1923,-7.6,-11.9,-4.6,-1.5,3.2,5.9,12.1,9.5,6.2,1.5,-6.8,-11.4
1924,-10.7,-11.6,-9.1,-2.2,3.6,8.6,12.9,11.8,8.2,3.0,-3.7,-4.5
1925,-6.6,-6.9,-8.0,0.2,6.0,9.8,15.7,11.8,7.0,-0.9,-8.2,-12.3
1926,-10.7,-9.7,-5.0,0.8,4.4,11.2,13.1,11.5,6.4,-2.6,-3.4,-9.1
1927,-9.0,-8.0,-2.9,-1.6,2.4,8.9,15.3,12.8,6.5,0.3,-7.4,-12.6
1928,-10.1,-9.2,-5.6,0.6,4.3,7.6,9.5,9.8,6.1,1.2,-4.2,-8.1
1929,-12.0,-13.2,-3.2,-3.2,5.7,8.8,10.8,9.2,7.1,1.7,-3.2,-4.9
1930,-6.0,-8.4,-4.5,2.0,6.7,12.1,14.6,13.0,6.5,2.5,-5.1,-6.0
1931,-11.9,-10.1,-9.4,-1.3,6.0,7.2,13.5,9.6,4.7,0.4,-2.2,-8.1
1932,-6.2,-6.2,-7.0,-0.7,5.5,8.7,13.6,11.0,6.0,-0.7,-4.4,-5.5
1933,-7.8,-10.3,-4.8,-0.9,5.4,14.0,14.1,11.0,8.1,1.8,-6.3,-8.3
1934,-6.1,-5.8,-4.3,-0.2,6.1,10.1,14.0,13.1,9.8,2.7,-4.0,-6.0
1935,-9.4,-7.9,-6.6,-0.4,3.0,10.8,12.3,11.6,6.6,1.3,-2.1,-7.7
1936,-9.8,-11.0,-5.0,-1.4,6.6,12.8,14.2,11.6,6.1,0.4,-3.4,-4.9
1937,-9.2,-11.5,-7.5,2.7,7.7,10.8,15.5,14.3,7.7,3.9,-5.4,-11.5
1938,-8.7,-5.7,-1.8,-0.4,4.4,9.2,13.8,12.8,8.2,3.2,-1.3,-7.2
1939,-10.5,-4.8,-4.9,-0.7,5.2,10.2,13.2,13.7,7.9,-0.3,-3.7,-10.3
1940,-14.6,-16.1,-8.8,-1.7,7.8,11.5,12.3,9.5,5.8,1.5,-4.4,-9.7
1941,-16.2,-13.0,-7.3,-1.8,4.2,9.9,16.3,10.8,7.1,0.2,-5.5,-9.7
1942,-17.9,-13.8,-10.6,0.0,4.4,8.7,11.4,11.3,6.8,2.0,-3.6,-8.1
1943,-11.5,-5.4,-2.1,0.3,5.6,11.2,12.5,9.6,7.6,3.7,-4.7,-6.9
1944,-8.4,-7.4,-5.9,-2.1,3.3,9.0,13.8,11.3,7.1,3.0,-5.0,-5.9
1945,-13.5,-7.9,-3.1,0.8,5.1,10.4,14.0,12.5,6.6,1.3,-4.4,-9.3
1946,-10.6,-11.5,-6.1,0.7,6.1,9.8,13.7,11.6,8.3,0.8,-3.5,-7.0
1947,-10.5,-16.9,-9.8,-0.6,7.3,11.7,14.1,12.7,8.6,1.0,-7.5,-10.1
1948,-13.9,-8.6,-2.6,1.9,6.1,9.7,13.9,10.1,7.2,0.3,-4.3,-4.7
1949,-7.4,-6.0,-6.1,0.8,6.3,9.6,12.1,10.0,9.9,2.2,-3.3,-7.7
1950,-11.5,-8.4,-4.1,0.7,5.5,10.2,12.5,13.3,7.4,2.6,-5.2,-9.9
1951,-12.6,-8.1,-8.5,-1.1,3.5,8.9,10.7,12.8,8.2,2.6,-3.8,-5.3
1952,-11.5,-8.5,-7.1,1.8,5.4,8.9,11.5,9.9,4.2,-0.4,-7.5,-10.2
1953,-10.3,-11.3,-2.1,0.6,5.4,14.5,13.1,11.3,6.8,3.8,-2.3,-6.4
1954,-11.8,-12.8,-5.0,-0.9,8.2,9.5,12.5,10.8,6.6,1.0,-4.6,-6.6
1955,-10.6,-12.8,-7.5,-2.3,2.5,8.8,14.2,12.8,8.1,0.3,-4.1,-11.7
1956,-12.0,-13.8,-5.9,-1.7,5.4,9.1,12.3,9.3,6.5,1.1,-7.1,-7.2
1957,-7.6,-9.1,-6.1,-1.0,3.7,8.1,13.2,10.4,5.9,2.1,-3.8,-8.5
1958,-12.5,-14.5,-11.4,-1.6,3.7,9.8,11.6,11.5,8.4,4.2,-1.6,-10.4
1959,-13.9,-7.0,-2.7,1.2,5.4,10.6,13.2,12.4,6.9,2.0,-2.0,-6.8
1960,-12.7,-11.5,-4.1,0.2,6.0,11.2,12.6,11.4,7.5,-1.6,-4.6,-8.8
1961,-11.2,-6.1,-2.9,-0.3,5.2,11.1,12.0,10.1,8.7,6.0,-2.0,-10.3
1962,-9.0,-7.9,-9.6,-0.5,4.0,8.5,10.6,9.6,6.7,2.9,-5.6,-10.1
