Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-6.2,-14.2,-7.6,1.6,7.6,15.9,17.6,14.7,9.7,5.2,-6.0,-13.9
1902,-14.5,-11.7,-9.3,-3.5,5.3,10.2,13.8,12.4,6.8,-1.4,-5.8,-10.2
1903,-11.3,-6.6,-1.4,3.0,8.4,14.8,14.7,13.3,8.6,-1.1,-1.9,-6.3
1904,-6.0,-12.1,-5.8,2.6,6.1,12.0,13.1,12.4,8.4,3.7,-6.3,-10.8
1905,-12.1,-8.2,-3.8,0.6,9.6,15.0,15.6,12.8,7.6,1.0,-2.9,-6.6
1906,-7.7,-8.5,-8.3,3.1,11.9,14.8,17.4,12.1,6.5,1.8,-3.7,-7.8
1907,-17.2,-8.1,-2.8,2.0,5.2,14.9,16.7,12.4,7.4,4.8,-2.9,-16.4
1908,-12.6,-10.2,-6.8,1.9,6.1,13.2,15.8,13.0,7.7,2.5,-6.4,-5.9
1909,-6.6,-12.2,-6.5,-3.3,4.1,12.3,15.9,13.7,9.9,6.4,-5.5,-7.4
1910,-9.4,-4.3,-2.7,3.1,8.6,13.7,15.7,11.2,8.7,4.3,-4.6,-6.2
1911,-9.4,-14.9,-5.1,-0.6,8.3,12.7,14.9,15.4,8.3,1.0,-0.9,-6.0
1912,-15.3,-16.1,-3.9,-2.2,5.8,14.3,15.6,14.9,7.7,-1.3,-3.6,-7.0
1913,-10.0,-10.9,-3.7,3.6,6.3,11.7,17.2,15.2,9.2,0.4,-1.9,-9.5
1914,-12.7,-7.5,-6.5,0.8,8.5,16.1,18.6,11.5,8.4,0.9,-3.7,-4.8
1915,-12.0,-10.6,-11.5,0.5,6.7,11.4,17.6,12.8,7.4,0.7,-6.4,-17.5
1916,-8.9,-6.7,-7.9,0.3,5.0,12.8,17.8,11.4,6.3,-0.8,-0.2,-7.2
1917,-14.2,-16.8,-12.7,0.0,4.9,17.2,14.9,16.4,9.0,4.8,-2.8,-8.6
1918,-15.7,-10.2,-5.5,2.7,4.7,11.4,15.4,10.7,8.2,5.1,-0.8,-8.0
1919,-9.5,-13.9,-9.6,0.0,7.7,14.8,18.3,13.3,10.1,2.5,-7.6,-11.0
1920,-13.4,-7.2,-0.8,4.6,11.7,14.0,18.2,15.1,11.0,0.5,-1.6,-6.4
1921,-12.2,-11.4,-1.6,5.5,12.0,14.6,14.0,14.0,8.2,0.0,-7.9,-9.5
1922,-11.9,-11.1,-6.4,0.3,7.8,13.8,16.3,13.8,9.9,0.9,-4.1,-9.5
1923,-7.1,-14.8,-6.4,-1.9,5.5,10.7,15.6,11.1,9.4,4.0,-1.2,-7.6
1924,-13.0,-11.2,-6.7,-1.4,7.1,11.7,15.7,15.8,10.8,4.5,-2.1,-5.1
1925,-4.1,-5.5,-8.5,2.5,8.2,11.4,18.9,14.3,8.6,0.0999999,-6.6,-11.2
1926,-15.1,-11.7,-5.4,-1.2,7.4,13.6,15.4,13.1,8.5,-0.1,-1.6,-10.3
1927,-14.1,-8.8,-4.9,-0.1,5.7,12.9,19.0,16.1,8.1,0.3,-6.1,-10.4
1928,-9.3,-9.7,-5.1,0.5,7.9,10.6,13.9,13.2,8.3,1.5,-2.9,-6.8
1929,-13.5,-17.1,-7.1,-4.4,8.9,12.2,15.3,14.3,8.5,4.5,0.0,-2.6
1930,-3.9,-9.7,-5.2,1.5,9.2,13.6,16.1,15.5,6.7,3.1,-1.9,-9.7
