Year,January,February,March,April,May,June,July,August,September,October,November,December
1959,-32.30840277777777,-19.67544114774115,-26.87484126984127,-11.584929914529914,-1.218878205128205,11.602622521511408,13.506365955473097,9.091590423465425,2.9468463121240904,-7.936132139465473,-24.33094851136518,-27.2242002868926
1960,-33.22412543119273,-22.72160900827568,-23.257535893225555,-13.710714818514818,1.3038059163059164,12.816747050335286,12.454827430633882,10.298011974584556,3.1489156491656494,-7.061267697256541,-24.814795313382263,-23.76344086021506
1961,-29.22204301075268,-31.8875,-27.092876344086022,-19.61652777777777,-0.2936155913978497,10.723677536231884,14.6627688172043,9.885215053763442,3.3975,-10.222983870967742,-21.92125,-33.145564516129035
1962,-22.94986559139785,-22.80193452380952,-25.20954301075269,-13.837361111111113,-2.484677419354839,10.716111111111111,14.02056451612903,13.640725806451613,2.5148611111111108,-3.8939516129032254,-19.47972222222222,-21.62782258064517
1963,-30.106048387096774,-28.593005952380945,-24.1369623655914,-8.74472222222222,1.563037634408602,10.38375,14.017473118279572,12.038440860215056,2.2197222222222224,-8.078897849462365,-24.7555303030303,-22.135887096774194
1964,-30.959811827957,-28.219827586206897,-30.359408602150538,-19.41736111111112,-0.9620967741935484,7.490694444444444,12.124193548387094,10.515725806451613,1.9852777777777773,-5.743010752688172,-19.194166666666668,-29.836559139784946
1965,-32.59516129032258,-36.148809523809526,-16.73763440860215,-10.395277777777778,-1.5724462365591398,8.642500000000002,14.522498831229546,10.996505376344084,2.8970833333333337,-10.84502688172043,-16.741944444444446,-26.92325268817204
1966,-36.83306451612903,-30.710565476190474,-25.879032258064512,-17.73013888888889,-0.0999999999999999,11.25347222222222,14.291397849462363,9.98991935483871,4.733472222222221,-7.019220430107526,-21.08875,-24.08991935483871
1967,-26.939381720430102,-30.968154761904763,-22.09260752688172,-10.721388888888889,-0.6948924731182798,8.804305555555555,12.470564516129034,9.172043010752688,2.1688888888888886,-9.136021505376345,-18.286250000000003,-22.90309139784947
1968,-27.90994623655914,-30.299712643678163,-19.901344086021503,-14.824861111111112,0.0197580645161295,10.339722222222225,15.288978494623654,10.411021505376349,2.9906944444444443,-5.949731182795699,-22.321388888888883,-29.59758064516129
1969,-32.32204301075269,-31.102827380952384,-24.10483870967742,-9.892916666666668,-0.4869623655913979,10.697638888888887,11.435483870967744,5.693548387096774,3.0273611111111114,-2.662231182795699,-24.786388888888887,-20.04529569892473
1970,-30.654166666666665,-27.94151785714285,-23.445026881720427,-13.476805555555558,-1.0844086021505377,9.3825,14.721639784946236,11.758467741935483,-0.1909722222222222,-12.073387096774194,-17.171666666666663,-29.06639784946237
1971,-34.0991935483871,-32.54375,-26.319489247311832,-17.121527777777775,-0.438709677419355,13.752777777777776,14.834946236559135,7.353897849462364,3.3272222222222223,-8.038440860215054,-20.602916666666665,-27.95537634408603
1972,-28.04637096774193,-30.05977011494253,-24.859543010752684,-15.154305555555554,-2.8599462365591406,10.544027777777776,15.064112903225809,12.327150537634411,0.6174999999999999,-6.042069892473117,-20.34152777777778,-21.928629032258065
1973,-26.14462365591398,-25.671428571428567,-27.861021505376343,-12.172638888888889,0.9883064516129032,11.289583333333333,13.87862903225806,10.686693548387098,6.0495833333333335,-6.91491935483871,-20.344722222222224,-23.51653225806452
1974,-25.09489247311829,-33.031101190476186,-26.66021505376344,-17.68138888888889,-0.2502688172043012,7.295,12.711290322580648,9.694892473118278,2.015555555555556,-13.76706989247312,-22.3025,-31.107795698924736
1975,-34.77150537634409,-26.945982142857137,-19.921236559139786,-13.101388888888886,-0.0912634408602151,10.311666666666666,13.623790322580646,9.81478494623656,1.989305555555556,-9.380779569892471,-25.39958333333333,-29.96075268817204
1976,-30.13440860215054,-31.09497126436781,-25.82177419354839,-8.26388888888889,0.8213709677419355,9.057083333333336,14.2502688172043,12.358602150537632,6.019305555555556,-7.775268817204303,-13.6,-31.14032258064516
1977,-25.365994623655915,-23.32053571428571,-27.890725806451616,-13.69972222222222,0.8643817204301073,10.113194444444444,13.014247311827958,12.912634408602152,5.13888888888889,-6.271505376344085,-22.16930555555556,-24.77392473118279
1978,-22.69247311827957,-22.34181547619048,-20.06720430107526,-12.233611111111111,-4.595295698924732,7.412083333333334,14.288037634408605,8.785215053763443,5.94263888888889,-12.104301075268818,-14.991805555555556,-24.65470430107527
1979,-21.236827956989245,-31.07946428571428,-28.26747311827957,-13.244166666666665,0.9634408602150538,9.895555555555555,17.43454301075269,14.72473908918406,4.811626984126983,-4.291168564199874,-9.264629629629628,-25.866129032258065
1980,-27.66922043010753,-21.14037356321839,-24.603897849462363,-16.045972222222222,-1.2982526881720429,13.3875,11.803897849462366,10.3752688172043,-0.3887500000000001,-3.760752688172043,-19.419166666666666,-30.637231182795706
1981,-13.561693548387094,-25.84553571428572,-20.243682795698927,-11.239444444444446,3.057123655913979,9.946944444444444,12.743010752688171,9.84368279569892,2.5168055555555555,-5.520967741935484,-20.215138888888887,-22.2973644226274
1982,-34.67634408602151,-23.939732142857142,-23.917876344086025,-13.577916666666663,-2.743145161290323,10.758611111111112,15.565456989247313,9.50981182795699,5.578333333333332,-10.818145161290325,-28.41638888888889,-28.00376344086021
1983,-32.349999999999994,-29.86354166666667,-26.458198924731185,-12.92138888888889,-5.72284946236559,11.836527777777778,15.41438172043011,11.510618279569892,0.8638888888888889,-11.85456989247312,-14.900555555555558,-22.86411290322581
1984,-28.40779569892473,-34.32255747126437,-25.29502688172043,-13.345416666666669,1.2426075268817205,13.731666666666664,12.506720430107526,9.126209677419356,3.960277777777777,-8.852284946236558,-24.939444444444447,-30.0508064516129
1985,-23.0877688172043,-31.267857142857142,-19.092741935483872,-18.77736111111112,1.6956989247311829,11.581111111111111,9.913709677419355,9.961155913978493,4.173611111111112,-9.756854838709677,-20.25277777777778,-21.1880376344086
1986,-31.566666666666663,-23.685714285714283,-26.23467741935483,-17.85875,-3.3514784946236564,11.205833333333333,13.227822580645162,9.904166666666669,5.777638888888888,-7.074865591397847,-25.94013888888889,-23.21115591397849
1987,-23.97674731182796,-27.53586309523809,-22.42849462365591,-17.180972222222223,-2.724731182795698,13.110555555555557,14.735618279569891,10.352688172043012,4.628749999999999,-2.7485215053763445,-20.975416666666664,-21.279704301075267
1988,-26.43158602150537,-24.52025862068965,-19.3627688172043,-10.281944444444443,0.454435483870968,12.351388888888888,15.49838709677419,10.516935483870965,3.3466666666666667,-9.985483870967744,-27.893472222222226,-20.25067204301075
1989,-32.43776881720431,-12.381994047619049,-23.453360215053763,-8.762638888888887,0.2833333333333337,12.061805555555557,16.541263440860217,15.686424731182797,5.2276388888888885,-7.865994623655915,-27.90875,-25.958870967741937
1990,-32.55026881720431,-34.29702380952381,-15.97284946236559,-7.483472222222222,1.743548387096774,11.550972222222224,15.874327956989246,10.06868279569892,3.4022222222222225,-6.978225806451612,-26.729444444444447,-28.482795698924733
1991,-24.66317204301075,-27.89181547619048,-23.48319892473118,-7.998611111111111,5.757258064516129,10.419583333333332,12.40268817204301,8.97728494623656,3.963194444444445,-7.051209677419355,-23.78569444444445,-29.187096774193545
1992,-28.15013440860216,-27.68692528735632,-15.896639784946236,-14.87375,-1.5196236559139775,11.778333333333334,14.498135811126696,11.717204301075272,-0.967638888888889,-9.939247311827955,-18.628055555555555,-24.52755376344086
1993,-22.44153225806452,-20.604166666666668,-17.630645161290325,-9.58611111111111,1.0236559139784949,12.793194444444444,15.631854838709677,11.24771505376344,4.257499999999999,-3.690456989247312,-17.121249999999996,-22.298387096774192
1994,-30.976209677419355,-27.06145833333333,-21.36989247311828,-12.01888888888889,2.9321294997662464,10.22,18.56948924731183,14.781182795698928,1.4413888888888886,-5.021639784946236,-22.40666666666667,-24.863575268817208
1995,-23.02997311827957,-25.64776785714286,-24.639516129032256,-7.38625,4.89502688172043,12.301666666666668,14.706451612903225,9.789725338943432,6.944559178743962,-6.432135343618514,-18.78015371102328,-27.98404745208041
1996,-25.819390736659315,-22.83645506792059,-18.62394927536232,-14.141392914653782,-0.2722815461770579,12.295547211242864,14.08467741935484,7.719354838709677,0.1605012077294685,-13.08698574100047,-18.36699275362319,-22.88451219771345
1997,-27.154488078541373,-24.219578157349893,-24.481206489863567,-10.164641523935002,0.0481182795698924,11.959609683794463,14.342473118279566,12.844185366993925,6.245223429951691,-8.69020737327189,-12.736250000000002,-24.03474170172978
1998,-30.10127077223851,-22.532819264069257,-15.187500000000002,-1.2940277777777782,6.421822006885122,13.7320229468599,17.21544530154278,13.616532258064517,6.331111111111111,-5.156141888733053,-15.238573232323231,-19.84890029325513
1999,-27.658736559139783,-24.269914596273285,-23.463575268817205,-13.230833333333337,0.8452314165497898,11.776527777777776,11.443707233626588,12.14814749883123,4.340229468599034,-9.69747545582048,-19.721805555555555,-26.32096774193549
2000,-23.15777816736792,-22.855459770114944,-23.49802477793361,-14.135416666666666,-4.087833099579242,12.658611111111112,14.05752688172043,8.301209677419354,2.927916666666666,-8.38965053763441,-17.36638888888889,-26.00282258064517
2001,-20.04314516129032,-21.260947204968943,-25.44126344086021,-11.206944444444446,-4.013172043010752,10.929722222222225,13.557398316970549,11.519914178855274,6.040869565217393,-6.514112903225806,-17.988943236714974,-21.38354371201496
2002,-24.361191236025203,-27.27455357142857,-19.0351683029453,-11.969202898550725,1.2308730715287517,9.473055555555554,12.856989247311832,8.181854838709677,6.149166666666665,-4.976478494623656,-13.014444444444443,-15.145833333333334
2003,-26.86478494623656,-24.19508928571429,-23.22930107526881,-8.460972222222221,-0.2807737260402053,10.582916666666668,14.286693548387095,9.791935483870969,2.925972222222223,-2.311424731182796,-17.107361111111114,-24.26465053763441
2004,-29.3369623655914,-30.00186781609196,-26.752016129032253,-11.120416666666667,-1.3907258064516133,13.835277777777776,14.581451612903225,11.283064516129034,2.089861111111111,-7.560618279569892,-20.968055555555555,-27.859005376344083
2005,-22.359408602150538,-23.85252976190477,-19.7125,-11.791449275362318,1.2196236559139784,9.751388888888888,10.178225806451612,10.664919354838704,3.569444444444444,-5.450672043010751,-21.003725490196075,-19.038440860215047
2006,-26.89045698924731,-15.754761904761908,-24.05779569892473,-14.575972222222225,1.8732526881720435,13.410833333333333,14.6380376344086,12.406989247311826,7.631944444444445,-3.513306451612903,-19.73208333333333,-17.822446236559138
2007,-23.199596774193544,-28.65863095238096,-27.03131720430107,-8.726666666666667,-2.2917484805984105,12.697777777777777,16.11720430107527,11.187365591397848,4.280972222222221,-8.435349462365592,-15.914166666666665,-22.316462131837305
2008,-24.201344086021507,-25.74870689655172,-25.10967741935483,-8.742916666666668,1.6760752688172045,13.78263888888889,14.585139083683965,7.242964001870031,1.953405797101449,-9.55549322113137,-15.48611111111111,-23.40891771856008
2009,-25.519086021505377,-22.789583333333336,-27.29706054230949,-9.735555555555552,0.7424146797568955,10.493635265700483,12.747095605423096,9.718863955119216,4.717958937198069,-4.805276998597475,-19.45036835748792,-20.2627863487611
2010,-26.679973118279573,-21.88399327122153,-19.78494623655914,-3.0985084541062804,3.52258064516129,10.410706521739126,14.424945280292404,13.412186025755451,4.066135265700485,-5.704604955586722,-13.027240338164251,-26.2396877257852
2011,-24.552962833099585,-19.985119047619044,-18.109782608695653,-15.257590579710149,2.119250484204902,10.453454106280194,15.629821178120617,11.750864890135578,5.201641963109354,-4.172925432445068,-22.07387077294685,-21.420410982192188
2012,-27.018191912108463,-21.08384557721139,-28.62625058438523,-10.135549516908211,1.8154346763568363,15.065307971014493,17.51739130434783,13.78532661821582,7.218182641633728,-2.978930408067856,-17.932141523935,-27.55069860597561
2013,-28.41972634074668,-28.094491274770785,-22.67028773003528,-16.553897672375932,-1.1952436355136216,12.196750658761529,14.6693511198946,12.501075268817203,4.117638888888889,0.5520562011620916,-14.177083333333334,-24.1258064516129
