Year,January,February,March,April,May,June,July,August,September,October,November,December
1830,-15.8,-12.8,-8.6,1.7,8.6,14.9,20.0,14.0,8.5,-1.4,-7.7,-16.0
1831,-21.0,-23.7,-11.6,0.9,8.9,16.8,18.0,14.7,7.8,-0.7,-13.6,-18.3
1832,-23.3,-17.5,-8.4,3.2,8.8,15.5,17.4,15.0,7.4,,-8.6,-21.8
1833,-23.1,-18.1,-11.8,-0.1,11.1,13.1,19.2,14.8,9.9,0.3,-10.0,-19.7
1834,-25.8,-17.5,-4.2,1.5,10.7,15.9,19.3,15.0,11.6,0.7,-6.4,-16.6
1835,-19.2,-11.6,-9.2,4.4,9.8,14.2,16.9,14.6,8.3,-1.4,-9.3,-15.8
1836,-18.2,-16.8,-6.4,1.8,10.0,15.0,18.3,17.4,8.6,2.9,-14.5,-15.3
1837,-21.5,-16.3,-10.3,-0.4,10.0,13.9,20.4,17.7,8.9,2.6,-13.1,-14.2
1838,-23.6,-16.8,-8.2,3.8,8.9,15.9,20.7,18.0,9.7,2.4,-11.3,-15.6
1839,-20.4,-15.6,-9.2,1.1,6.8,15.8,19.7,16.8,12.2,0.0,-12.5,-19.9
1840,-22.0,-17.8,-10.8,4.8,10.3,15.8,18.6,17.1,10.6,-2.9,-14.8,-17.5
1841,-26.4,-14.5,-13.9,,,16.3,19.0,15.6,9.4,1.4,-14.6,-24.4
1842,-20.7,-17.3,-3.1,6.0,9.6,15.9,17.3,15.4,11.4,3.8,-9.8,-16.3
1843,-20.0,-13.8,-6.4,5.4,9.6,13.5,18.5,17.2,11.3,2.9,-11.8,-12.0
1844,-14.6,-16.1,-5.9,1.8,8.2,15.8,18.4,17.5,,,,
1845,,,,,,,,,,,,
1846,,,,,,,,,,,,
1847,,,,,,,,,,,,
1848,,,,,,,,,,,,
1849,,,,,,,,,,,,
1850,,,,,,,,,,,,
1851,,,,,,,,,,,,
1852,,,,,,,,,,,,
1853,,,,,,,,,,,,
1854,,,,,,,,,,,,
1855,,,,,,,,,,,,
1856,,,,,,,,,,,,
1857,,,,0.4,7.9,15.3,19.3,16.7,10.6,2.7,-9.9,-14.4
1858,-15.4,-14.0,-7.1,3.6,8.0,15.3,18.4,18.4,9.8,2.1,-5.2,-17.3
1859,-15.5,-15.9,-5.6,4.0,10.5,13.4,18.2,17.8,9.0,0.8,-6.5,-13.4
1860,-22.3,-17.6,-14.8,1.1,,,,,,,,
1861,,,,,,,,,,,,
1862,-26.3,-16.4,-9.7,-1.2,9.1,14.1,17.3,18.0,8.4,2.4,-13.2,-19.8
1863,-15.8,,,,,,,,,,,
1864,-21.3,-16.9,-8.0,0.5,8.3,13.0,17.8,13.3,6.8,1.9,-8.2,-21.3
1865,-17.6,-20.6,-10.6,2.1,10.8,16.5,20.1,16.4,12.0,2.5,-10.2,-13.6
1866,-13.3,-13.3,-7.0,4.8,7.7,15.0,19.4,15.6,9.1,2.2,-7.3,-9.9
1867,-15.1,-14.2,-5.2,4.9,9.9,,,,,,,
1868,,,,,,,,,,,,
1869,,,,,,,,,,,,
1870,,,,,,,,,,,,
1871,,,,,,,,,,,,
1872,,,,,,,,,,,,
1873,-26.1,-15.3,-10.5,0.8,6.8,14.6,18.0,15.1,9.6,2.6,-9.3,-14.3
1874,-16.7,-14.3,-9.5,4.6,9.4,15.0,17.2,14.8,10.7,-2.2,-7.8,-18.5
1875,-20.2,-20.2,-7.6,1.0,9.1,17.4,18.7,15.4,8.2,-1.3,-16.4,-16.7
1876,-22.6,-17.1,-8.0,3.0,9.0,16.1,19.4,16.0,6.0,2.0,-10.3,-21.0
1877,-23.2,-20.9,-8.3,1.3,9.1,18.7,18.3,18.2,10.7,1.0,-9.3,-22.3
1878,-27.5,-19.1,-3.8,2.0,11.0,16.3,21.2,17.8,9.6,-1.4,-14.2,-22.8
1879,-25.3,-20.5,-9.3,-3.6,5.3,16.0,20.0,15.4,9.4,-0.5,-10.6,-16.2
1880,-26.8,-19.2,-6.6,1.6,8.4,16.1,16.6,14.8,6.1,-0.5,-7.1,-18.1
1881,-16.6,-22.0,-10.3,1.0,7.3,12.3,18.2,,,,,
1882,-15.8,-14.8,-3.8,3.0,8.4,13.3,17.5,16.2,8.3,-1.8,-13.5,-28.4
1883,-20.6,-18.5,-7.4,-1.3,6.7,13.4,17.3,13.9,6.0,2.8,-13.6,-12.4
1884,-17.8,-18.3,-12.8,-1.1,9.8,13.3,17.5,13.2,7.8,-0.3,-10.8,-18.3
1885,-21.0,-21.4,-10.2,-0.7,7.2,15.5,16.5,13.9,8.5,0.0,-10.7,-13.6
1886,-18.9,-20.7,-10.5,1.3,8.6,13.0,16.9,16.1,11.0,-1.4,-11.0,-11.8
1887,-25.4,-15.6,-8.0,1.4,8.6,13.8,19.7,13.3,7.7,1.7,-7.4,-16.2
1888,-21.9,-21.0,-9.0,-1.8,7.4,15.6,17.5,16.2,7.8,-1.0,-10.2,-16.9
1889,-26.3,-17.5,-10.5,-0.2,8.2,16.3,18.5,14.8,7.4,-4.8,-11.9,-18.1
1890,-21.1,-17.9,-12.1,-0.6,8.7,13.4,15.4,14.2,6.2,1.7,-10.3,-18.2
1891,-19.6,-16.6,-9.6,-0.6,8.4,13.4,17.3,15.0,8.2,-0.7,-11.7,-16.5
1892,-22.7,-21.6,-14.4,0.1,8.5,15.1,16.1,14.2,7.4,1.1,-15.8,-17.3
1893,-29.9,-19.7,-5.7,4.2,7.2,15.0,17.5,14.6,7.1,1.0,-8.0,-17.9
1894,-20.4,-15.0,-7.9,-1.0,8.5,13.7,17.4,14.5,8.7,1.9,-10.8,-18.6
1895,-27.0,-22.8,-10.0,1.8,7.7,14.2,17.4,14.2,9.2,0.6,-7.8,-16.8
1896,-19.9,-18.6,-12.0,0.9,7.5,17.6,18.0,15.0,7.4,-0.2,-7.2,-17.8
1897,-20.8,-21.7,-14.1,0.6,6.6,15.9,18.0,15.8,8.1,1.6,-10.4,-21.6
1898,-17.1,-21.5,-17.8,1.5,6.0,15.2,15.5,15.6,7.2,1.6,-7.1,-12.9
