Индекс ВМО,Year,January,February,March,April,May,June,July,August,September,October,November,December
20891,1906,-38.3,-33.0,-26.6,-15.3,-4.4,4.9,10.6,11.2,1.6,,-20.2,
20891,1907,,,,,,,,,,,,
20891,1908,,,-33.1,-22.0,-4.3,11.4,14.8,10.9,4.9,-9.4,-29.9,-35.3
20891,1909,-37.7,-25.9,-33.1,-24.2,-7.9,4.8,12.9,10.9,0.1,-14.7,-26.3,-29.1
20891,1910,,,,,,,,,,,,
20891,1911,,,,,,,,,,,,
20891,1912,,,,,,,,,,,,
20891,1913,,,,,,,,,,,,
20891,1914,,,,,,,,,,,,
20891,1915,,,,,,,,,,,,
20891,1916,,,,,,,,,,,,
20891,1917,,,,,,,,,,,,
20891,1918,,,,,,,,,,,,
20891,1919,,,,,,,,,,,,
20891,1920,,,,,,,,,,,,
20891,1921,,,,,,,,,,,,
20891,1922,,,,,,,,,,,,
20891,1923,,,,,,,,,,,,
20891,1924,,,,,,,,,,,,
20891,1925,,,,,,,,,,,,
20891,1926,,,,,,,,,,,,
20891,1927,,,,,,,,,,,,
20891,1928,,,,,,,,,,,,
20891,1929,-36.0,-31.6,-26.1,-18.0,-8.4,1.4,14.2,7.4,2.1,-7.2,-26.4,-31.6
20891,1930,-26.2,-35.7,-25.8,-19.5,-6.8,6.0,12.1,,,,,
20891,1931,,,,,,,,,,,,
20891,1932,,,,,,,,,,,,
20891,1933,,-29.8,-27.9,-17.4,-10.0,2.7,10.7,10.9,-1.8,-10.5,-29.6,-29.5
20891,1934,-29.7,-17.2,-24.0,-19.1,-6.1,5.3,12.9,8.7,1.2,-8.8,-24.9,-32.0
20891,1935,-36.4,-22.6,-34.0,-21.5,-1.4,6.8,12.8,9.5,1.8,-14.5,-26.1,-28.8
20891,1936,-39.5,-34.0,-26.2,-13.7,-7.0,4.2,14.5,8.2,5.4,-11.5,-26.5,-23.8
20891,1937,-19.9,-25.5,-33.9,-18.6,-4.4,6.3,12.0,5.7,1.6,-13.9,-22.6,-29.0
20891,1938,-24.8,-31.2,-23.6,-12.8,-6.2,6.4,11.0,9.8,3.8,-14.0,-22.3,-29.2
20891,1939,-35.8,-27.1,-27.7,-21.0,-10.0,5.9,11.2,9.7,1.4,-11.3,-23.9,-21.6
20891,1940,-31.8,-28.6,-28.6,-16.8,-5.9,7.1,11.1,8.8,2.4,-14.5,-24.6,-35.1
20891,1941,-37.1,-36.2,-34.6,-23.1,-6.1,9.8,15.5,10.3,2.0,-8.0,-27.7,-33.6
20891,1942,-24.6,-30.6,-35.3,-22.8,-3.8,7.6,12.0,7.9,3.2,-11.4,-27.0,-21.2
20891,1943,-31.3,-22.8,-24.2,-8.4,-3.6,9.2,11.2,10.4,2.6,-8.1,-25.3,-34.9
20891,1944,-25.7,-30.4,-26.0,-16.9,-6.1,2.2,,,,,,
20891,1945,,,,,,,,,,,,
