Year,January,February,March,April,May,June,July,August,September,October,November,December
1963,-19.0,-17.6,-6.4,-7.0,5.0,10.9,13.3,12.2,4.0,-4.2,-10.6,-17.0
1964,-20.3,-25.9,-10.4,-2.4,5.4,13.6,13.6,12.2,5.3,-6.4,-9.8,-12.6
1965,-17.3,-16.4,-9.1,-2.9,8.3,12.6,13.9,10.6,5.8,-2.3,-11.8,-19.3
1966,-18.5,-14.3,-8.8,-3.4,4.5,12.1,12.6,12.5,8.4,-1.5,-11.6,-25.8
1967,-22.0,-18.2,-8.5,-1.5,9.0,10.1,13.0,9.1,3.8,-1.4,-14.8,-22.7
1968,-23.9,-22.1,-8.4,-3.1,6.4,12.4,14.0,10.2,2.2,-4.3,-11.0,-17.1
1969,-28.8,-23.7,-10.6,-1.3,4.6,11.8,14.8,8.9,3.8,-2.2,-11.4,-19.5
1970,-18.4,-16.3,-13.6,-2.3,4.4,10.6,12.7,11.2,4.6,-3.3,-13.8,-20.2
1971,-18.0,-17.9,-12.5,0.1,5.1,10.8,12.0,12.1,5.5,-1.5,-10.3,-18.4
1972,-19.7,-19.5,-9.1,0.4,6.6,12.8,11.7,11.6,3.8,-2.5,-9.8,-18.9
1973,-20.2,-19.6,-10.3,-0.7,3.2,11.8,12.6,12.0,6.9,-1.9,-8.8,-18.0
1974,-19.1,-20.7,-11.4,0.7,7.4,11.3,15.4,12.9,3.9,-3.7,-12.5,-22.6
1975,-17.2,-15.8,-8.2,-4.7,4.1,11.1,13.4,11.4,5.5,-3.5,-10.7,-20.5
1976,-20.4,-15.3,-12.1,-1.6,5.5,13.0,11.5,10.3,,,-16.0,-20.2
1977,-28.0,-17.5,-9.1,0.1,5.2,13.6,12.8,11.8,7.9,-0.6,-10.9,-16.5
1978,-17.7,-18.8,-9.8,0.9,5.1,13.8,13.5,9.6,6.7,-2.2,-12.1,-16.2
1979,-18.1,-10.8,-10.2,-3.2,6.4,13.9,14.8,10.5,5.8,0.2,-10.5,-12.9
1980,-19.2,-17.8,-13.1,-2.5,7.1,11.5,13.0,13.1,6.4,-3.2,-10.2,-18.4
1981,-26.7,-18.1,-8.0,0.8,8.3,13.8,13.4,10.5,5.8,-4.7,-14.6,-18.2
1982,-17.3,-19.7,-11.1,1.5,7.5,12.9,12.4,,6.7,0.7,-11.1,-16.8
1983,-21.4,-17.3,-9.4,-4.1,5.0,10.0,12.5,11.9,4.0,-0.2,-8.6,-19.5
1984,-23.6,-24.1,-8.9,-3.9,5.9,10.9,,9.8,5.5,-2.2,-14.2,-23.8
1985,-18.8,-17.2,-14.8,-0.8,4.2,8.9,12.7,11.3,5.2,-3.7,-13.3,-18.5
1986,-19.7,-20.3,-10.1,-2.1,8.8,11.2,13.9,11.5,7.3,-3.4,-14.4,-17.5
1987,-16.9,-13.1,-11.8,-0.8,5.5,10.2,14.3,12.6,5.7,-4.9,-15.7,-16.1
1988,-20.7,-19.0,-10.4,-0.8,5.0,11.2,12.6,12.2,8.5,-4.1,-9.5,-15.9
1989,-20.3,-19.3,-7.9,-1.1,7.6,10.6,13.7,12.5,6.8,-0.4,-13.1,-15.2
1990,-21.1,-15.2,-7.9,-1.6,8.4,11.9,13.9,10.6,6.4,1.5,-11.4,-15.5
1991,-21.1,-16.1,-11.4,-2.1,5.8,12.3,14.7,12.0,6.5,0.6,-10.0,-18.1
1992,-19.1,-20.0,-11.9,-0.2,7.8,11.8,14.2,10.9,2.4,-3.1,-9.0,-15.9
1993,-21.1,-13.5,-8.6,-1.6,4.1,11.5,13.1,11.7,5.6,-1.4,-12.7,-19.0
1994,-16.6,-16.7,-9.3,0.4,5.2,,12.3,,5.1,,,
1995,-20.8,-16.2,-7.4,0.3,6.0,12.1,16.0,12.9,6.9,0.5,-9.6,-16.0
1996,-21.5,-18.8,-12.6,-1.6,8.1,12.4,16.5,12.3,6.6,-2.8,-9.4,-12.6
1997,-18.6,-17.2,-5.7,4.4,11.0,13.3,13.6,11.5,7.6,0.5,-11.5,-15.9
1998,-19.9,-13.1,-9.5,-0.6,8.0,13.4,15.0,14.5,7.3,-0.1,-9.6,-14.6
1999,-17.7,-14.6,-14.7,0.2,9.1,13.4,15.7,13.1,5.4,-1.0,-11.5,-15.3
2000,-22.4,-17.3,-8.3,1.8,8.2,13.7,15.2,13.8,7.5,-5.5,-14.1,-14.7
2001,-18.8,-16.2,-7.5,0.2,9.4,15.1,14.9,14.4,6.4,-0.9,-11.8,-21.6
2002,-18.2,-15.8,-8.5,-1.5,9.3,14.9,16.5,15.0,8.2,-2.3,-9.4,-21.5
2003,-18.3,-15.7,-10.2,-2.7,7.2,14.4,14.1,11.6,7.5,-1.5,-12.8,-18.3
2004,-20.4,-13.1,-10.5,1.7,9.2,13.8,15.6,13.0,6.4,-0.8,-11.6,-18.6
2005,-26.8,-27.3,-10.2,-0.2,6.9,12.3,15.7,12.7,6.7,-0.8,-12.7,-22.7
2006,-20.4,-16.5,-9.2,-1.3,4.9,13.2,13.9,11.1,6.4,-0.4,-8.6,-16.2
2007,-19.3,-13.5,-9.7,2.6,8.9,14.0,17.5,13.7,8.3,-2.6,-9.9,-17.0
2008,-22.6,-16.8,-4.9,1.1,8.8,14.3,15.9,13.6,6.6,-0.6,-9.4,-17.1
2009,-19.7,-16.3,-7.7,2.5,8.8,12.3,15.0,11.7,6.4,-0.9,-11.2,-18.3
2010,-22.4,-21.6,-14.2,-5.3,5.4,14.4,14.7,11.8,7.7,-1.5,-7.9,-17.6
2011,-28.1,-16.2,-10.7,2.6,7.3,14.0,13.7,13.6,5.6,-1.1,-11.7,-19.9
2012,-24.4,-21.0,-9.5,1.6,7.1,15.6,15.7,11.9,7.1,-1.4,-12.0,-20.0
2013,-19.4,-17.1,-4.4,1.7,5.6,11.5,13.7,12.9,5.9,-1.8,-9.2,-16.7
2014,-17.6,-20.3,-6.8,2.1,5.9,11.7,14.8,12.8,4.9,-1.1,-11.1,-19.8
2015,-18.1,-15.4,-8.3,1.1,8.4,14.0,16.5,14.1,4.6,-0.9,-11.8,-14.9
2016,-25.8,-16.7,-6.2,1.6,4.8,13.3,15.7,11.1,8.4,-4.6,-12.7,-15.6
2017,-18.0,-15.1,-6.6,2.5,8.9,15.3,15.1,12.3,5.7,-3.4,-9.0,-17.6
2018,-23.5,-15.9,-4.0,0.3,5.6,15.1,13.1,13.3,5.5,0.3,-11.6,-21.9
2019,-21.5,-21.4,-5.9,1.8,5.5,12.7,13.4,13.3,8.0,-0.7,-10.7,-16.9
2020,-19.8,-14.2,-7.9,4.4,9.7,11.4,14.4,11.5,5.5,-2.1,-10.0,-18.6
