WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29263,1891,0.9,1.6,2.5,3.3,6.8,11.6,14.9,15.1,8.8,4.4,2.0,1.6
29263,1892,0.9,0.8,2.0,3.3,7.3,13.7,16.3,14.0,8.9,5.7,1.5,1.6
29263,1893,0.4,1.3,3.7,5.5,6.4,11.5,15.9,12.9,8.5,5.3,3.7,1.3
29263,1894,1.6,2.4,2.7,3.2,6.0,10.1,15.5,14.3,9.9,5.5,2.1,1.5
29263,1895,0.5,0.8,2.4,3.3,6.4,10.5,18.5,14.8,10.5,5.3,2.9,1.2
29263,1896,1.2,1.5,2.4,3.9,7.1,14.5,17.4,16.1,9.3,5.7,2.7,1.7
29263,1897,,,,,6.5,14.0,18.1,15.0,8.5,5.5,3.1,1.1
29263,1898,2.0,1.3,1.1,4.1,5.5,12.7,15.9,14.5,8.7,5.1,3.3,2.7
29263,1899,,,,,,,,,,,,
29263,1900,,,,,,,,,,,,
29263,1901,1.2,1.7,2.9,4.3,7.1,10.9,15.6,14.8,8.8,3.6,,0.5
29263,1902,1.6,2.0,1.9,2.8,4.9,10.9,14.4,13.8,9.5,4.3,2.1,1.1
29263,1903,1.6,3.1,2.5,4.3,6.9,10.0,16.1,12.7,8.8,4.3,2.8,1.3
29263,1904,0.9,1.2,2.1,3.6,7.5,14.1,15.4,15.1,8.5,5.5,3.3,1.6
29263,1905,1.9,1.2,1.7,3.6,6.4,10.1,18.5,13.8,8.7,5.3,2.7,1.1
29263,1906,0.8,0.9,3.7,5.5,6.4,15.8,14.5,18.1,9.7,4.9,1.5,2.3
29263,1907,1.1,1.3,2.8,4.9,7.7,11.9,13.3,16.5,10.8,5.2,1.6,1.1
29263,1908,1.2,1.3,2.1,4.0,9.1,14.7,18.2,15.0,9.6,5.2,2.3,1.5
29263,1909,1.1,1.3,2.0,4.0,6.3,11.7,16.9,14.4,8.0,4.4,3.1,1.5
29263,1910,,,,,,,,,,,,
29263,1911,,,,,,,,,,,,
29263,1912,1.6,1.5,1.6,5.5,7.9,10.4,16.8,10.9,7.9,3.5,2.0,
29263,1913,1.3,,3.3,3.7,,,16.3,15.0,8.7,5.6,2.8,2.3
29263,1914,,,,,,12.3,14.7,14.7,9.2,4.7,2.3,1.5
29263,1915,,,,,7.6,12.7,16.8,,7.6,3.5,2.5,1.3
29263,1916,1.7,1.6,1.5,2.9,5.9,10.1,15.2,13.2,9.5,4.9,2.4,0.5
