WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
30710,1891,1.2,1.3,2.0,3.3,6.3,9.9,12.9,11.2,7.5,4.4,2.3,1.7
30710,1892,1.1,0.9,1.5,3.6,6.0,10.9,13.7,11.5,7.7,5.1,1.6,1.6
30710,1893,0.5,1.1,2.9,4.3,5.1,10.4,14.3,12.4,7.9,5.3,2.9,1.6
30710,1894,1.1,1.6,2.4,3.7,6.7,9.5,14.3,12.9,9.1,4.8,2.5,1.5
30710,1895,0.7,0.8,2.1,3.9,5.5,10.5,13.5,12.3,8.4,5.1,2.8,1.6
30710,1896,1.3,1.1,1.9,4.0,5.1,11.3,15.7,13.6,8.1,4.3,3.1,1.5
30710,1897,1.1,0.9,1.7,3.9,5.5,11.2,14.8,11.9,8.1,5.2,2.5,1.2
30710,1898,1.3,1.2,1.2,4.0,5.3,9.3,11.9,13.3,7.6,4.9,3.2,2.1
30710,1899,1.6,1.3,2.4,4.4,6.5,10.8,13.6,11.9,7.9,5.3,3.3,1.3
30710,1900,0.7,1.7,2.3,3.5,6.4,9.3,13.9,13.3,9.2,4.7,2.1,1.5
30710,1901,1.2,1.1,2.5,3.7,5.6,10.1,13.3,13.5,8.9,4.3,2.9,0.9
30710,1902,1.3,1.9,2.8,3.3,4.8,9.9,12.8,10.9,8.5,4.8,2.5,1.5
30710,1903,1.2,1.6,2.3,3.7,5.6,8.9,14.0,11.9,7.5,4.0,2.3,1.3
30710,1904,0.8,1.1,1.9,3.7,6.3,11.2,13.1,13.6,6.8,4.7,3.1,1.9
30710,1905,1.6,0.9,1.7,3.5,6.3,9.3,14.9,13.6,7.9,4.5,2.3,1.5
30710,1906,0.9,0.9,2.7,4.5,5.6,11.3,13.9,13.9,8.4,4.4,1.7,2.1
30710,1907,1.3,0.9,2.1,4.5,6.8,10.7,12.3,13.1,8.8,4.7,2.1,1.5
30710,1908,1.1,1.1,1.7,3.5,6.8,11.3,16.3,13.2,7.9,4.4,2.3,1.7
30710,1909,0.9,1.2,1.6,3.6,5.6,9.1,14.5,14.3,7.2,3.7,2.8,1.3
30710,1910,0.8,1.3,1.6,3.5,6.0,9.9,15.6,13.9,7.5,4.5,2.0,0.9
30710,1911,1.3,1.5,2.1,4.1,5.6,9.5,14.5,14.3,8.4,5.5,3.3,1.1
30710,1912,1.3,1.6,1.6,4.1,6.5,10.4,16.4,11.1,6.4,3.3,2.1,1.2
30710,1913,1.1,1.3,2.8,3.6,5.5,10.8,13.5,12.4,7.6,4.8,2.8,1.6
30710,1914,1.9,1.6,1.7,4.4,5.9,10.1,13.6,13.9,8.4,5.2,2.4,1.3
30710,1915,0.8,1.1,2.3,3.6,6.4,9.5,15.5,13.2,7.3,3.5,2.7,2.0
30710,1916,1.3,1.3,1.9,3.3,5.6,8.8,12.8,12.5,7.7,4.7,2.5,0.8
30710,1917,0.8,1.2,2.4,3.6,6.1,11.5,13.6,12.3,7.3,4.4,2.8,1.1
30710,1918,1.3,1.6,2.8,4.1,5.5,10.3,14.8,12.3,8.5,4.1,2.0,1.1
30710,1919,0.5,1.6,2.0,3.2,5.7,10.8,16.1,12.8,8.4,5.2,2.0,1.3
30710,1920,1.3,0.8,2.3,4.3,6.0,9.7,14.3,12.8,6.4,4.9,2.4,1.1
30710,1921,1.5,1.5,2.3,3.2,5.3,10.1,15.5,13.1,7.7,4.8,2.3,1.6
30710,1922,0.7,1.1,2.3,4.4,5.2,10.8,16.5,11.9,6.8,4.4,2.0,1.3
30710,1923,0.9,0.8,2.3,3.9,5.2,8.1,14.7,12.5,8.1,4.1,2.0,1.6
30710,1924,1.3,0.9,1.9,3.6,6.3,9.9,13.6,12.5,7.9,4.3,2.9,1.5
30710,1925,1.7,1.1,1.7,3.7,5.2,9.3,13.9,12.4,8.5,5.6,3.1,1.7
30710,1926,1.2,1.2,2.7,4.3,5.1,10.0,14.7,14.1,9.1,4.4,2.7,1.1
30710,1927,1.2,1.5,2.0,3.9,6.9,10.4,14.0,11.7,9.1,4.4,2.9,1.5
30710,1928,1.2,1.3,2.1,4.4,5.7,11.7,13.9,12.7,7.6,4.5,2.4,0.9
30710,1929,0.9,0.8,2.8,3.9,6.0,9.7,12.7,11.9,8.4,4.5,2.7,0.8
30710,1930,1.1,1.3,2.3,3.5,6.3,9.5,14.8,13.7,7.9,4.7,2.5,1.3
30710,1931,1.1,0.9,2.3,3.6,4.9,11.6,14.8,13.5,7.9,5.1,2.4,1.5
30710,1932,1.7,1.3,2.1,4.4,5.2,11.1,17.5,12.9,10.8,5.7,3.1,1.9
30710,1933,0.7,1.2,2.0,3.5,5.7,10.9,13.7,13.5,7.9,4.1,2.8,1.9
30710,1934,1.1,1.5,1.7,3.5,6.1,10.9,13.9,12.4,7.3,4.7,2.3,1.5
30710,1935,0.9,1.7,2.7,3.2,5.5,9.7,13.7,13.6,8.5,4.8,1.6,0.8
30710,1936,0.9,1.1,1.8,2.7,5.0,8.9,14.7,12.8,7.6,5.6,2.4,1.5
30710,1937,1.0,1.2,1.4,3.2,6.3,8.6,14.4,12.2,8.0,4.9,2.4,1.0
30710,1938,0.8,1.6,2.9,4.6,6.3,12.1,15.3,13.0,7.6,5.0,3.0,1.1
30710,1939,1.2,1.6,2.7,4.9,6.0,12.5,16.4,14.6,8.2,4.3,2.3,2.0
30710,1940,0.7,1.3,2.8,4.4,6.5,12.4,13.9,12.4,8.2,4.3,2.6,1.6
30710,1941,1.2,1.0,2.3,3.7,6.0,11.6,15.4,14.0,8.4,4.8,2.6,1.4
30710,1942,1.0,0.8,2.6,4.2,4.9,11.0,14.9,12.6,8.8,4.8,2.7,1.8
