Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-0.9940904637058723,-0.10091119007088878,-0.2109926665961157,1.5703099099052729,3.041662278154501,4.525967332773526,4.838234160039166,3.3482557255216125,2.103726763886348,0.8411377578644794,-0.010458033279760137,-0.20091369247844826
1902,-0.3529284206125758,-0.09716150430832515,0.4735881067992582,1.3782388509561359,2.3621532804293315,3.867427133990433,2.2463246185200845,1.9528462726065854,1.6257741145468465,0.5837583050121777,0.26021430094120124,-0.143124147919365
1903,-0.5009111900708887,-0.29849949085753025,0.3948869710320366,1.057218624301239,2.469924759715644,3.9463246185200846,4.105003692373208,2.5055267226044453,2.2543782599729667,0.4886953902683304,-0.07255460844265205,0.16125938298965492
1904,-0.3935775509717203,-0.012266858257164115,-0.09077437208338868,1.4277649430079578,2.4846435747774747,3.2564791819287926,3.2874064294318845,2.0858391066181596,2.040631784563467,0.48146933620569676,-0.4830229573730995,-0.20479417727861193
1905,-0.19716150430832524,-0.02977681836451085,0.5674426460172577,0.4620246360613445,2.046569793796799,5.023927335400879,3.0617994518768192,2.2118705657934985,1.4416622781545012,0.03619404442243468,-0.24152673799381796,-0.3672535985461023
1906,-0.5961851772355531,-0.5293998786792136,-0.02950043619670506,1.4811819011632643,2.0570157010385746,3.56148552290688,3.2547579495776375,3.377790686220445,1.9768826352682112,0.7259313283557329,-0.40697190683045026,-0.2873279619297726
1907,-0.23985475997757755,-0.12939987867921365,0.403127053609575,1.3290615899463862,2.3172566062741824,4.477790686220445,3.2012210464160784,1.510790579469818,1.8570157010385744,0.9127421422878212,-0.18814472674855942,-0.15376479615187044
1908,0.24501590231650372,-0.3935775509717203,-0.26889458547081313,1.1360478707871948,2.0551851539971757,3.7674261339904334,4.354758949577638,3.5155387659556396,1.5071504290075044,1.0757609627859264,0.17894922092110388,0.16125938298965492
1909,-0.37420893673219036,-0.03985475997757737,-0.47420893673219044,1.247524739605773,1.8814437921613187,3.7674261339904334,3.4490074140980056,1.6110284619674307,1.3118774057253137,0.928499898539977,0.4092256279166113,-0.3020368431812779
1910,-0.2818548345937728,-0.3602581587619822,0.6608076834916199,1.2703099099052721,3.1060227232935773,3.987406429431884,4.2618004518768196,4.105003692373208,1.9768826352682112,1.0335023166764357,-0.09077437208338868,0.202232671477367
1911,0.09796315681872203,0.4064224490282795,0.2584732620061816,1.1837583050121783,3.3843747178759793,4.329639379255315,4.069376580603469,3.1953053653836854,2.2543782599729667,0.5360478707871943,-0.49849949085753,-0.39849949085753034
1912,0.48014281851041396,-0.04212680284539472,0.4608076834916197,1.5119638610544475,2.665670358684789,4.71522554447745,4.735638275381337,3.437228478714312,1.469924759715644,0.906166727519027,-0.1747281075145959,-0.004020022533476109
1913,-0.4818078057573718,-0.4977673285226327,0.8987699972203296,1.5446630648386677,3.241662278154501,4.4118695657934985,4.454757949577639,2.9118685657934975,2.0085509207149492,1.0272143998898056,0.004611912676231178,-0.34949219945250887
1914,-0.1317994010032213,-0.10728883156257174,0.092711168437428,1.4814693362056968,2.29798432310223,4.27409743193148,5.9382341600391655,3.4259683327735253,2.184374717875979,0.5061677275190268,-0.33576102433948085,-0.5397920338601501
1915,-0.5572816499942008,-0.02977681836451085,0.2793303354076744,0.9950546859249307,2.0386742232179538,2.8833674095575637,1.9372294787143112,2.8303560812863644,1.747098365949629,-0.05247526039422734,0.3489109278897913,-0.4205757965408252
1916,-0.0549840976834961,-0.1780197885448973,0.3890073334038844,1.5703099099052729,3.247098365949629,4.247892523247529,4.414027115692081,2.4256890222779433,1.731906225517295,0.7290615899463857,0.23619304442243472,-0.10436609650865947
1917,0.06481451502741553,0.5682005989967789,0.24501590231650372,1.1327834317976726,2.6411377578644792,4.46179945187682,3.8259683327735257,4.722848879001814,1.6406317845634675,0.5858398397310056,0.17533142342381414,-0.2538079398920239
1918,0.29908630752155174,0.021249541681283013,0.4274453915573475,1.4061677275190263,3.1836673438223233,3.3798899736071952,4.413272547283789,3.6612965810376963,1.6942692026841852,1.0386742232179538,-0.12715512680731145,-1.1729332931954017
1919,-0.7961851772355528,-0.32317186719465374,0.48954196672023986,0.8670505135492741,3.395657674663557,2.667427133990433,3.6144460455261527,1.8780636796622243,1.7731230935205122,0.7811818568853708,-0.3780197885448975,-0.0818078057573719
1920,-0.21924922543028869,-0.22105077907889648,0.5475247396057732,1.191421866301865,3.006022723293577,3.4296403792553143,3.7239273354008784,1.28584010661816,1.5456290705455107,1.2335013166764357,1.1144273500926918,-0.12977681836451094
1921,-0.34949219945250887,0.1793303354076743,0.41976069680818995,1.62968973754084,2.0201477390419544,2.5248051829383362,3.3155387659556403,1.4110294619674306,1.1836673438223233,0.676416377084955,0.11697704262690056,0.3022326714773671
1922,-0.7182037876487379,-0.475551728967579,0.09597997746652398,0.934335962534953,1.6059362351399091,3.667427133990433,3.354757949577637,2.594586519313138,2.3416622781545016,0.7782281707184726,0.6031270536095747,0.30922562791661123
1923,-0.3387406170103451,-0.3431241479193652,0.4968997548961096,1.1224762746699035,1.8988944952207678,1.4836673438223231,3.2693775806034697,1.4463246185200838,1.3765719606857676,0.4297425695120678,-0.41045803327976005,-0.1435773753462395
1924,-0.09716150430832515,-0.28388856959422704,-0.029399878679213565,0.8197606968081894,2.2172566062741828,2.9528462726065854,3.523927335400879,2.5953053653836857,2.0563808864184434,0.7917463856858591,0.32313705801866277,-0.36796581542691253
1925,-0.15108907211020872,-0.43979203386015,-0.447546279656617,1.3256025810268097,2.6475765512020626,2.78584010661816,5.154208965959821,3.0953053653836857,2.0085509207149492,0.3950546859249302,-0.2006591666931925,0.08014281851041405
1926,-0.09716150430832515,-0.3729332931954019,0.3590644730610344,1.3982021959498727,1.9706571879713133,4.461296581037697,3.518064931923842,3.025968332773525,1.307150429007505,-0.1461054856443873,0.23702602127556993,-0.22939987867921374
1927,-0.7047941772786119,0.15245372034338311,0.2327834317976727,0.6782388509561361,1.6782607822361362,3.479890973607195,4.706584179341789,3.5276930193097336,1.2730384929537966,0.7703089099052729,0.11697704262690056,0.024237559832627653
1928,-0.06481926580306396,-0.2538079398920239,0.16021430094120115,1.706167727519027,1.8127421422878207,2.5248051829383362,2.2463246185200845,2.28584010661816,1.511877405725314,0.6858398397310053,-0.4609116665488635,0.025791063267809555
1929,-0.06254585285217029,-0.38347863855153563,2.0144273500926917,1.0144273500926917,2.657015701038574,3.3037566241656826,2.7155387659556407,2.2110294619674296,1.7768826352682119,0.22721439988980574,-0.48557264990730786,-0.006878312809465825
1930,-0.1672535985461021,0.04707157938742412,0.4320341845730873,1.375760962785927,2.706022723293577,4.169377580603468,4.947147057386314,3.720717064077089,1.873038492953797,1.0296897375408394,-0.1747281075145959,-0.3672535985461023
1931,-0.4431241479193653,-0.4648192658030639,-0.0020368431812780585,0.8119638610544477,2.347576551202062,2.245629070545511,4.413092705546802,2.2256910222779442,1.4465697937967992,0.9153054778598397,-0.58023930319181,0.025791063267809555
1932,-0.02950043619670506,-0.3295004361967049,0.23110541452918687,1.088695390268331,2.231906225517295,3.228075823889098,4.013272547283789,2.0874064294318835,0.7475765512020622,0.4886953902683304,0.06744264601725813,-0.6072888315625722
1933,-0.4935775509717204,-0.40965423020393343,0.4274453915573475,0.9950546859249307,2.8699247597156443,5.319767264807245,4.422848879001814,3.2874064294318845,1.9833674095575642,0.676416377084955,-0.4602581587619823,0.5731015092276603
1934,0.001500509142469575,-0.20402002253347584,-0.3968729463904248,1.0290615899463855,2.211877405725314,3.4296403792553143,4.319767264807245,3.8180649319238427,2.9858401066181592,0.6335247093070535,-0.18814472674855942,-0.8672535985461023
1935,0.09796315681872203,-0.4206696645923258,-0.15108907211020872,1.231829111796885,2.091746385685859,3.7155387659556407,3.2547579495776375,2.915225544477451,1.4393285585630409,0.23350231667643495,-0.037975363938655526,-0.6662683884815026
1936,-0.2961851772355528,-0.5609408081415896,0.2590644730610343,0.7670505135492744,3.23932855856304,5.027693019309734,4.326519344766567,2.6152255444774504,1.3118774057253137,0.5153054778598394,0.4370260212755701,-0.006878312809465825
1937,-0.1538079398920238,-0.6638158658822566,-0.4109926665961159,1.733524709307054,3.6956576746635568,3.9155377659556407,5.029136773618459,3.630781520400326,2.2956576746635573,1.5846435747774743,-0.27453644469692984,-0.06381586588225652
1938,-0.02977681836451085,0.8279711634142601,0.7907653430523638,1.231829111796885,1.9706571879713133,2.7110294619674296,5.115359213643513,3.727693019309733,2.356379886418443,0.3988944952207678,0.31196386105444773,0.4735881067992582
1939,-0.15376479615187044,0.22744539155734778,0.3931216871905341,1.088695390268331,2.547098365949629,3.611870565793499,4.415973676331435,4.51402711569208,2.4386481619832594,0.6802627242779797,0.22313705801866224,-0.5096542302039335
1940,-0.11476638891943014,-0.43404471220397034,0.14501590231650363,0.7343359625349528,4.06693793223922,4.825968332773526,3.654757949577638,1.9463246185200838,1.120147739041954,0.5297425695120674,0.06744264601725813,-0.3729332931954019
1941,-0.14769161144572296,-0.14816927361980992,0.44517010048116257,1.0907653430523645,2.6551851539971754,3.3666275712448837,5.944785946449182,3.115538765955641,2.576882635268211,0.42560258102680937,0.19271116843742808,-0.2729332931954018
1942,-0.36261572176344603,-0.08593619617915782,-0.1755517289675792,1.7277649430079576,1.8706571879713128,3.3280768238890976,2.937229478714311,2.849006414098005,1.6731230935205126,0.4757609627859267,0.4608076834916197,0.025791063267809555
1943,-0.3638158658822568,0.025463555303069985,1.462024636061344,1.4703099099052723,2.5942692026841847,4.461296581037697,3.842295442113775,1.7256910222779442,2.324805182938336,1.6727048620291596,-0.03796254573507607,0.26020796613984976
1944,-0.052928420612575966,0.31697704262690074,0.06423897566051906,0.4620246360613445,1.2529740555545246,3.656479181928792,5.215359213643513,3.049006414098006,1.9768826352682112,1.291746385685859,-0.14093552693896516,0.6642389756605191
1945,-0.23535001021417767,-0.12066966459232598,0.5535767606294844,1.6982021959498725,2.4862494612891313,3.677790686220444,4.319767264807245,3.7422954421137753,1.6393285585630402,0.6335023166764353,-0.13255735398274204,-0.1780197885448973
1946,-0.7755517289675793,-0.7638158658822567,0.10150050914246966,1.45203762569749,2.9118774057253134,3.0858391066181596,3.9140271156920807,3.21522554447745,1.7298332535665093,1.298202195949873,0.6987699972203298,0.13110541452918678
1947,-0.05376479615187035,-0.6400149353543054,-0.19618517723555273,1.2360478707871945,4.014792377926456,4.705002692373208,4.522848879001813,4.132011399991898,2.8528462726065857,0.691421866301865,-0.8109926665961158,-0.564819265803064
1948,-0.9025176466346079,0.19563390349134036,0.9538945143556128,2.0259313283557328,2.4118774057253134,3.1055287226044452,5.1172716550323845,2.0296403792553157,1.645628070545511,0.07030990990527286,0.10312705360957519,0.26203745426492375
1949,0.016977042626900474,-0.1672535985461021,0.20150050914246975,1.598202195949873,2.6416622781545014,2.9256900222779443,3.3693775806034694,2.1478935232475287,2.6666255712448823,0.57637115575948,-0.5244222099957181,-0.46626838848150287
1950,-0.3638158658822568,-0.25292842061257614,0.47533142342381396,1.1520376256974902,2.3319062255172955,3.311870565793498,3.9422954421137746,4.314446045526152,1.8843747178759784,1.081443792161319,-0.208257899859142,-0.41924922543028886
1951,-0.47576244016737235,0.12579106326780964,-0.5787504583187171,0.7028171241295276,2.662153280429332,2.679890973607195,2.4303570812863633,4.3276930193097325,2.5563808864184434,1.3814437921613187,0.0857561109439704,0.3584732620061817
1952,-0.6638158658822566,-0.07875045831871708,0.4022326714773672,1.7764163770849555,2.7699247597156447,2.679890973607195,3.225968332773526,1.8666275712448837,1.255185153997175,0.031829111796884746,-0.6109926665961156,-0.4873279619297728
1953,-0.2096542302039337,-0.6231718671946536,1.362024636061344,1.706167727519027,2.469924759715644,6.041092490399258,3.3180649319238427,2.7490064140980053,0.6731230935205126,1.5284998985399767,0.8778178951465163,-0.19077437208338877
1954,-0.12354149974041961,-0.31226685825716394,0.15906447306103466,1.19505468592493,4.256380886418443,2.846323618520085,2.842295442113775,2.615538765955641,1.3393285585630395,0.2914218663018646,-0.10310024510389049,0.048910927889791456
1955,-0.2755517289675793,-0.8122668582571639,-0.11099266659611562,0.6778178951465161,1.8296897375408392,3.1037576241656826,5.426519344766566,4.127693019309733,1.9833674095575642,-0.22969009009472785,0.17533142342381414,-0.8037967092704208
1956,-0.5625458528521703,-0.285936196179158,0.5642389756605191,0.8343359625349525,2.669924759715644,2.333524568418696,3.9547579495776386,1.9889962010971303,1.7730384929537975,0.5384802416779104,-0.4977673285226327,-0.5264118932007418
1957,-0.43874061701034517,-0.9293998786792139,0.20150050914246975,0.9487616951723581,1.9727048620291594,2.283366409557564,3.9159736763314346,2.377790686220445,1.6836673438223233,0.22590699711412032,-0.4142438890560296,0.021249541681283013
1958,-0.5572816499942008,-1.199133106662088,-0.6435773753462395,1.0782388509561356,1.07270486202916,3.28584010661816,2.71522554447745,3.225968332773526,2.4037267638863486,1.3551851539971755,0.7782388509561358,-0.6317994010032213
1959,-1.0025176466346075,0.13110541452918678,0.7132145266919165,1.7858398397310058,3.0699247597156445,4.045673495778589,3.4159736763314346,3.5482557255216136,2.040631784563467,0.27576096278592654,0.4046109126762305,0.8895419667202398
1960,-0.3940904637058722,-0.3638158658822568,0.975331423423814,1.52560258102681,3.047576551202062,4.161296581037696,3.4368797723788003,2.6372294787143122,1.954378259972966,-0.8217611490438639,-0.20310024510389013,-0.7549840976834963
1961,-0.4025981025879646,-0.09849949085753051,0.5327834317976725,1.1802627242779797,2.3470983659496287,3.6740954319314802,3.577489694500171,2.3296393792553154,2.8280768238890968,2.4475765512020624,0.804611912676231,-0.2096542302039337
1962,-0.20479417727861193,0.2793303354076744,0.3505078005474913,0.5837583050121777,1.8411377578644794,2.978063679662224,2.5456734957785887,1.9256900222779443,2.006022723293577,1.0386742232179538,-0.5397856990587986,-0.06481926580306396
1963,0.6341024675157045,0.1852336110805699,0.2337316115184973,1.2811819011632641,3.366937932239221,4.8372294787143115,2.6372294787143122,3.8368797723788006,1.866937932239221,1.3917463856858596,-0.6082578998591424,0.552453720343383
1964,0.56020796613985,0.24619206010797612,1.1320341845730875,1.7914218663018646,3.373038492953797,2.1889942010971293,2.849006414098005,2.347893523247528,0.9570157010385749,1.2763711557594801,0.17533142342381414,0.006422449028279598
1965,-0.33179940100322103,0.47310150922766026,0.2397418412380179,1.9982021959498724,2.712742142287821,4.030357081286365,2.4777906862204446,2.1858401066181585,2.503757624165683,0.9814437921613193,-0.3475462796566169,-1.3352659444692074
1966,-0.2351854849725845,-1.5779131105065494,-0.2907743720833884,-0.0855726499073084,2.025774114546847,5.818064931923843,2.969377580603469,2.377790686220445,1.5765719606857678,0.23350231667643495,-0.040935526938965516,0.1793303354076743
