Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.42579106326780947,-0.1973729073428636,0.38075077456971096,1.1327834317976726,1.8859342600235038,4.877489694500172,5.168941958790191,2.261485522906879,1.614792377926456,1.5386732232179545,0.024448271032420976,0.05767333731026336
1902,-0.45332219135556184,-0.3202806781977692,0.1391181166143971,0.5642389756605191,2.1335023166764353,2.673038492953797,2.811870565793498,2.1256910222779446,1.3284998985399774,0.025271892485403846,0.44707157938742403,0.07413948669035975
1903,0.28179621235126207,0.09740189741203542,0.4279711634142602,0.49876999722032966,2.262153280429332,3.78584010661816,2.9303570812863633,2.311870565793498,0.8465697937967995,-0.3602581587619822,0.025791063267809555,0.5462352038481297
1904,0.07413948669035975,-0.20875862767349784,0.27060012132078626,1.9487616951723576,2.438674223217954,4.247893523247528,3.5259673327735257,2.311870565793498,1.776571960685768,1.2446630648386678,-0.13535001021417759,-0.731234734976463
1905,0.06973171696155833,-0.05143487212852493,0.5793303354076742,0.9370260212755697,2.60593523513991,4.474097431931481,4.913272547283789,2.730357081286364,1.2083228040686027,0.41185527325144067,-0.32586051330964017,0.48140458138102193
1906,-0.15376479615187044,0.01819219424262819,-0.5481692736198098,1.5475247396057727,2.0411377578644796,4.06148552290688,4.51402711569208,1.9037267638863486,1.5862494612891318,0.69505468592493,-0.5258605133096403,0.3361841341177434
1907,0.13461092310909928,0.5601452400224225,0.4279711634142602,1.8119638610544473,2.1259313283557333,5.577489694500171,3.9368797723788003,2.6858401066181585,0.9979843231022301,0.8982021959498727,0.41185527325144067,0.4008668933379118
1908,0.18103945180687964,-0.13026828303844162,0.4461920601079763,1.462024636061344,2.4859342600235035,3.81102946196743,4.532011399991898,3.8155387659556403,0.9059362351399098,0.7703099099052721,0.0990888099291114,0.7505078005474912
1909,0.22706670680459817,0.16464998978582246,-0.3235414997404198,1.0015005091424696,1.8914218663018652,3.2563808864184427,4.914027115692081,3.4259683327735253,1.2475765512020622,0.5605908822021508,0.005909536294127715,0.1990888099291115
1910,0.3341024675157045,0.3451701004811625,0.06125938298965483,0.9370260212755697,2.5979843231022297,3.311029461967431,2.9303570812863633,2.203757624165682,0.6706571879713135,0.6930280931695494,-0.12977681836451094,0.21819219424262837
1911,0.5764585002595801,0.16595528779602953,0.6612593829896549,0.6753314234238137,2.8289321993305325,3.4528462726065854,3.9547579495776386,3.6953053653836854,1.8416622781545016,0.4857561109439703,-0.3387406170103451,0.2337316115184973
1912,0.4036446224665673,0.025080828170188085,0.020010601071498435,1.12797116341426,2.12590699711412,3.1858401066181585,3.986133162837577,2.3945865193131386,0.5979843231022297,0.24866284456095133,-0.0006591666931923257,0.1059095362941278
1913,-0.04967156690734531,-0.018203787648737757,-0.009654230203933523,0.6361940444224352,2.285934260023504,3.833524568418696,5.596245223427939,2.6740974319314805,1.8319062255172955,0.16203745426492366,0.2397418412380179,-0.1514348721285248
