Year,January,February,March,April,May,June,July,August,September,October,November,December
1935,,,,,,,,9.6,8.0,,,
1936,,,,,,7.6,10.9,10.7,7.7,,,
1937,,,,,,,,9.9,7.6,,,
1938,1.6,1.6,2.8,3.8,5.6,8.8,11.6,10.4,8.2,4.1,2.9,1.8
1939,1.3,1.7,1.8,3.2,4.2,8.1,10.7,9.0,6.0,4.4,4.0,2.2
1940,0.7,1.6,1.6,3.4,4.1,7.0,11.3,12.6,8.6,3.8,3.1,0.9
1941,0.6,1.2,1.0,2.1,5.4,8.0,8.2,9.9,7.3,4.8,2.8,0.9
1942,1.0,1.6,0.8,3.0,4.7,8.1,12.0,10.4,8.0,3.6,2.7,2.2
1943,1.1,2.7,2.1,4.5,5.5,8.4,10.9,10.9,8.6,5.1,4.0,2.3
1944,2.0,2.3,2.2,3.6,5.0,7.4,10.6,9.7,8.5,6.5,3.5,2.5
1945,1.9,1.2,1.2,3.2,4.9,8.7,9.8,11.9,8.5,4.4,2.2,1.0
1946,1.6,1.2,1.9,3.3,4.2,6.6,8.8,11.5,6.3,3.7,2.6,2.3
1947,2.0,1.0,1.6,4.0,4.4,6.9,9.0,9.9,7.8,5.5,2.5,2.0
1948,1.8,1.3,1.6,3.8,5.9,7.5,9.8,9.0,7.7,5.8,3.7,1.4
1949,2.6,0.7,2.0,4.0,4.5,7.8,8.2,11.4,6.8,5.0,3.2,2.3
1950,1.1,1.2,2.8,4.9,4.8,7.9,10.0,9.3,7.8,5.6,2.6,2.8
1951,1.6,1.3,2.3,5.0,4.1,6.7,11.6,11.0,8.2,5.4,3.1,2.5
1952,2.0,2.1,1.1,2.9,4.0,7.0,11.6,9.4,8.0,3.8,2.4,1.5
1953,1.4,1.2,1.5,4.3,4.7,8.0,11.5,13.3,5.9,4.6,2.0,3.0
1954,1.8,1.2,2.4,3.9,4.9,8.7,12.8,9.7,8.1,5.5,2.7,2.5
1955,2.3,1.0,1.3,3.7,5.6,8.2,10.9,8.9,7.0,5.6,1.8,0.8
1956,1.6,1.0,2.9,1.6,5.1,7.7,11.8,11.2,6.0,4.0,1.6,2.2
1957,1.6,1.9,1.0,3.4,5.4,8.1,11.2,,8.8,4.5,,
1958,,,,,4.0,6.8,9.4,8.8,5.7,5.4,3.4,0.7
1959,1.8,1.7,2.6,2.1,5.0,7.9,11.9,10.8,7.6,3.5,3.5,2.3
1960,1.1,0.8,1.0,3.6,4.2,7.6,9.8,,7.4,3.5,2.2,2.6
1961,2.1,2.1,3.1,2.7,4.8,8.4,11.2,10.9,7.2,5.2,2.7,1.6
1962,2.1,2.6,2.0,4.3,5.9,7.6,12.8,9.6,8.8,4.2,4.0,1.5
1963,1.2,1.4,0.6,3.2,5.4,9.0,11.1,11.2,7.7,5.4,2.2,1.2
1964,0.8,1.4,1.4,1.6,4.7,7.1,11.8,9.6,7.3,5.2,1.5,2.7
1965,1.6,1.1,2.4,3.1,3.6,8.0,11.0,10.7,7.2,3.6,1.4,2.1
1966,1.3,0.4,1.5,2.9,4.8,6.5,11.9,10.0,7.3,3.2,3.5,1.3
1967,1.0,1.8,3.9,4.8,4.4,7.1,11.8,9.9,7.1,5.8,4.4,2.0
1968,0.9,1.8,2.9,2.4,4.8,7.0,8.7,10.1,6.2,3.7,1.1,1.2
1969,0.8,1.1,1.6,2.7,3.2,6.0,10.7,8.8,7.4,3.6,3.6,2.0
1970,1.1,1.3,2.8,2.6,3.8,5.8,10.7,8.4,8.7,4.2,2.4,1.9
1971,1.7,0.9,1.7,2.1,4.1,6.1,9.6,9.4,7.6,3.4,3.1,2.1
1972,0.9,1.8,2.2,3.0,3.4,7.2,10.0,10.6,6.2,4.7,1.4,2.6
1973,1.3,1.9,2.0,3.9,5.0,7.7,9.8,10.6,6.2,3.9,2.6,1.6
1974,1.3,1.3,2.9,2.3,4.0,7.0,13.8,10.4,8.5,4.7,1.1,3.4
1975,1.6,1.4,2.6,3.7,4.5,7.2,10.5,9.7,8.6,3.6,2.7,2.3
