Year,January,February,March,April,May,June,July,August,September,October,November,December
1963,1.1,1.2,2.3,1.8,3.9,6.4,8.5,7.8,5.0,2.9,2.0,1.1
1964,0.8,0.5,1.7,2.8,4.3,6.8,10.2,8.8,4.8,2.4,1.8,1.6
1965,1.1,1.0,1.6,2.4,4.8,7.0,8.8,7.8,4.9,3.0,1.6,1.0
1966,1.0,1.3,1.9,2.6,4.1,7.0,8.4,8.6,6.0,3.2,1.7,0.7
1967,0.8,0.9,1.8,2.8,5.2,6.6,8.9,7.4,4.0,3.0,1.4,0.8
1968,0.7,0.8,2.0,2.4,5.0,5.8,8.2,6.6,4.1,3.1,2.1,1.4
1969,0.5,0.7,1.6,2.9,4.4,6.9,9.3,6.9,4.9,3.0,1.6,1.0
1970,1.0,1.1,1.4,3.2,3.7,6.1,8.9,7.9,4.5,2.7,1.5,0.9
1971,1.0,0.9,1.3,2.9,3.8,5.8,7.8,5.2,4.5,2.6,1.6,1.1
1972,0.8,0.7,1.6,3.0,4.2,6.8,7.4,6.6,3.7,3.0,1.7,0.9
1973,0.8,0.9,1.6,2.8,3.4,6.7,7.4,6.9,5.0,2.7,1.9,1.0
1974,0.8,0.8,1.4,3.2,4.0,6.1,7.9,7.2,4.1,2.4,1.4,0.3
1975,1.0,1.1,1.8,2.5,3.7,6.7,8.1,7.2,4.7,3.1,1.8,1.0
1976,1.0,1.4,1.5,3.0,,,9.4,8.2,,,1.3,1.0
1977,,,,3.2,5.0,8.3,9.7,8.2,6.2,2.8,1.6,1.2
1978,1.0,1.1,1.5,2.7,5.4,6.3,7.3,,,,,
1979,,1.5,1.4,2.4,3.8,7.1,8.3,,,,,1.3
1980,0.8,0.9,1.0,2.2,5.1,7.0,8.4,7.5,5.0,2.7,2.2,1.2
1981,0.6,1.1,1.9,3.2,4.7,7.8,8.1,7.7,5.3,2.6,1.5,1.1
1982,1.3,0.9,1.5,2.8,4.5,6.9,8.7,,5.2,3.7,1.8,1.4
1983,0.9,1.1,1.8,2.2,3.8,5.8,8.0,8.0,4.8,3.4,2.1,1.0
1984,0.8,0.7,1.8,2.4,4.7,7.6,,7.8,5.7,3.1,1.6,0.7
1985,1.0,1.1,1.2,3.1,4.1,6.8,9.7,8.5,4.7,3.0,1.5,1.1
1986,1.0,0.9,1.7,2.8,5.5,7.5,9.2,7.9,5.4,2.9,1.5,1.2
1987,1.3,1.6,1.5,3.1,5.0,6.4,9.3,8.6,5.6,2.9,1.5,1.5
1988,0.9,0.9,1.7,3.1,4.8,7.3,9.0,8.7,6.2,3.0,2.1,1.7
1989,1.1,1.1,2.2,3.3,5.0,7.9,10.4,8.9,6.0,3.9,1.7,1.9
1990,0.9,1.5,2.4,3.1,5.5,8.7,11.1,9.2,5.7,4.0,2.0,1.6
1991,1.0,1.3,1.8,3.1,5.3,9.2,10.9,8.8,6.2,4.4,2.3,1.4
1992,1.2,1.2,1.9,4.2,6.6,8.8,12.0,10.3,6.0,3.8,2.8,1.7
1993,1.1,1.8,2.7,3.8,4.9,8.4,11.9,9.7,6.0,3.7,1.9,1.3
1994,1.3,1.1,1.9,3.5,5.6,,10.0,,6.1,,,
1995,1.0,1.4,2.7,4.4,6.4,8.4,10.3,9.9,6.1,4.4,,1.4
1996,0.9,1.1,1.6,3.6,6.9,9.0,11.9,9.1,6.3,3.4,2.3,1.9
1997,1.1,1.2,2.6,5.1,7.7,9.0,10.0,9.7,7.4,,2.0,1.5
1998,1.0,1.7,2.1,,,,11.3,10.7,7.2,,2.7,1.6
1999,1.3,1.5,1.5,,,9.2,11.9,10.7,6.5,4.2,2.1,
2000,,1.2,2.1,4.0,6.4,10.6,11.4,10.4,7.1,3.2,1.7,
2001,,,,,6.7,10.2,11.4,11.1,6.5,3.9,2.1,0.9
2002,1.3,1.4,2.4,3.8,,,12.0,10.4,7.5,,,1.0
2003,1.2,1.4,2.3,3.7,6.9,10.8,12.5,9.2,7.4,4.1,1.8,1.3
2004,1.1,1.9,2.2,5.3,7.9,10.4,11.6,9.7,7.4,4.4,2.2,1.4
2005,0.6,0.6,2.1,4.3,7.1,9.1,11.7,10.7,7.4,4.3,2.0,0.9
2006,1.0,1.3,2.1,4.3,5.9,9.2,10.9,9.2,6.4,4.3,2.6,1.5
2007,1.1,1.6,2.2,4.8,6.8,8.7,11.2,9.0,6.9,3.6,2.1,1.3
2008,0.8,1.3,2.9,4.5,6.4,9.1,11.3,9.8,6.9,4.3,2.4,1.3
2009,1.1,1.4,2.7,4.8,6.1,8.6,10.7,8.4,6.2,4.1,2.2,1.2
2010,0.9,1.0,1.7,3.1,5.4,9.1,10.0,8.2,6.7,4.1,2.6,1.3
2011,0.5,1.3,2.0,5.1,6.4,9.2,8.8,7.5,4.3,3.6,1.7,1.0
2012,0.7,0.8,1.6,3.7,4.2,8.0,9.5,8.8,5.7,3.7,1.8,1.0
2013,1.1,1.2,3.1,4.6,5.6,7.7,8.4,7.8,5.8,3.8,2.2,1.3
2014,1.1,0.9,2.2,3.7,4.8,7.0,7.8,7.6,5.0,3.8,1.8,0.9
2015,1.1,1.3,1.9,3.4,5.1,7.3,8.2,6.8,5.0,3.2,1.9,1.5
2016,0.6,1.4,2.4,3.8,4.1,7.6,10.0,8.5,6.6,2.8,1.9,1.4
2017,1.1,1.2,2.1,3.8,4.4,7.3,8.1,7.8,5.0,2.7,2.1,1.1
2018,0.7,1.1,2.8,3.1,4.0,7.1,8.7,8.3,4.8,3.4,1.6,0.8
2019,0.8,0.8,1.8,3.1,3.5,6.9,9.3,8.7,5.6,3.2,2.2,1.4
2020,1.0,1.5,1.9,3.2,5.0,6.8,9.8,8.6,5.0,2.9,2.0,1.0
