Year,January,February,March,April,May,June,July,August,September,October,November,December
1936,,,,,,8.2,16.2,12.7,7.9,,,
1937,,,,,,8.7,13.2,9.7,7.3,,,
1938,,,,,4.8,8.2,11.2,11.4,7.0,2.9,1.1,0.3
1939,0.3,1.1,1.3,3.0,4.2,10.4,10.4,10.2,6.4,,,
1940,,,,,,9.6,12.3,11.0,,,,
1941,0.1,0.2,0.8,2.0,5.4,11.0,13.8,11.3,7.5,3.7,1.1,0.4
1942,0.4,0.3,0.9,2.4,4.0,8.8,12.6,10.0,7.0,2.6,0.8,1.0
1943,0.4,0.8,1.6,3.8,5.2,9.6,13.2,10.6,8.4,,,
1944,,,,2.6,4.3,8.6,12.4,11.1,7.8,,,
1945,,,,,,11.3,13.0,11.0,7.8,,,
1946,,,,2.4,3.8,7.9,14.0,10.8,4.6,3.3,,
1947,0.3,0.4,1.2,3.2,5.5,10.5,12.3,9.5,6.8,,,
1948,,,,,5.5,8.3,14.8,12.3,7.4,4.2,1.5,0.4
1949,0.5,0.5,1.2,3.2,5.4,8.4,11.4,11.5,7.1,4.0,0.6,0.5
1950,0.1,0.5,1.1,2.3,5.0,8.8,12.1,11.2,6.4,3.8,0.6,0.4
1951,0.3,0.2,1.2,3.0,5.8,8.0,10.3,9.0,6.3,3.9,1.3,1.1
1952,0.3,0.4,0.8,2.4,5.2,10.1,12.2,11.2,7.4,2.2,0.4,0.2
1953,0.3,0.6,1.6,3.5,5.9,10.8,15.8,8.7,7.0,3.8,0.7,0.7
1954,0.2,0.2,,,,,12.6,12.3,6.1,3.6,0.9,0.5
1955,0.6,0.2,0.7,2.4,4.9,8.6,11.5,9.6,5.8,3.6,1.0,0.2
1956,0.4,0.6,0.9,2.1,4.2,9.6,8.5,10.2,6.4,3.4,1.2,0.3
1957,0.6,0.2,1.2,2.1,4.8,9.2,12.2,9.7,6.2,2.9,0.5,0.4
1958,0.4,0.7,0.8,1.6,4.5,7.4,12.7,9.8,5.8,3.0,0.7,0.3
1959,0.2,0.5,1.8,2.3,4.0,9.3,11.4,11.4,8.0,3.2,1.0,0.4
1960,0.2,0.4,0.8,3.0,4.7,9.9,12.7,10.0,7.0,2.9,0.6,0.7
1961,0.2,0.5,2.0,2.8,4.4,7.3,11.1,10.5,8.1,2.7,1.0,0.3
1962,0.9,0.9,1.3,2.8,4.4,10.4,13.1,12.6,7.2,2.7,0.7,0.4
1963,0.4,0.9,1.4,2.4,4.5,8.9,12.7,12.2,7.5,4.8,1.2,0.5
1964,0.4,0.6,0.8,2.1,4.1,8.8,12.6,11.1,7.4,2.9,1.0,0.4
1965,0.4,0.2,1.4,2.4,4.8,6.5,11.7,12.8,6.9,4.2,0.4,0.5
1966,0.4,0.2,1.0,1.7,4.3,7.6,10.5,10.1,7.6,2.8,0.4,0.5
1967,0.5,0.6,1.5,3.0,4.9,9.1,12.5,9.6,6.1,4.9,1.2,0.8
1968,0.3,0.5,2.4,3.7,5.4,7.2,13.1,9.2,5.2,3.2,0.3,0.3
1969,0.1,0.1,0.9,1.8,3.7,8.3,12.4,11.1,5.6,2.6,1.3,0.7
1970,0.4,0.3,1.0,2.5,3.6,7.6,12.4,9.6,6.4,2.8,1.3,0.5
1971,0.4,0.3,0.9,2.4,4.3,8.2,11.8,10.2,6.7,3.4,1.7,0.4
1972,0.2,0.5,0.9,2.4,4.4,7.5,10.1,10.7,5.5,2.8,0.4,0.3
1973,0.5,0.5,1.3,2.0,4.6,7.3,11.3,10.0,7.1,3.2,1.0,0.5
1974,0.1,0.3,1.1,2.4,4.0,6.9,10.7,11.4,6.9,2.0,0.4,0.4
1975,0.6,0.3,1.5,2.6,4.9,9.5,13.2,10.7,6.8,3.6,1.1,0.8
1976,0.4,0.4,0.8,2.7,4.3,8.5,10.7,9.9,6.4,2.9,1.1,0.3
1977,0.2,0.3,1.1,2.6,4.7,8.2,9.9,9.5,6.1,2.2,1.2,0.4
1978,0.2,0.8,1.3,3.0,4.4,8.3,10.4,10.2,6.5,3.9,2.2,0.4
